set_mw,measured_mw,error_mw,error_pct,wavelength_nm,timestamp
0.1,7.632262689e-06,-0.099992367737311,-99.992367737311,,2026-02-09T14:01:36.405314
0.25,7.267798895999999e-06,-0.249992732201104,-99.9970928804416,,2026-02-09T14:01:36.405314
0.5,7.220936783000001e-06,-0.499992779063217,-99.9985558126434,,2026-02-09T14:01:36.405314
0.75,7.200105534e-06,-0.749992799894466,-99.99903998592879,,2026-02-09T14:01:36.405314
0.8,7.1324233619999995e-06,-0.799992867576638,-99.99910844707975,,2026-02-09T14:01:36.405314
0.85,7.075154815999999e-06,-0.849992924845184,-99.99916762884517,,2026-02-09T14:01:36.405314
0.9,7.2625919049999995e-06,-0.899992737408095,-99.99919304534389,,2026-02-09T14:01:36.405314
0.95,6.494694308999999e-05,-0.94993505305691,-99.99316347967473,,2026-02-09T14:01:36.405314
0.96,6.695670649e-05,-0.9599330432935099,-99.99302534307395,,2026-02-09T14:01:36.405314
0.97,0.00019257209080000002,-0.9698074279091999,-99.98014720713402,,2026-02-09T14:01:36.405314
0.98,0.0001912860469,-0.9798087139531,-99.98048101562244,,2026-02-09T14:01:36.405314
0.99,0.000188438014,-0.989811561986,-99.98096585717171,,2026-02-09T14:01:36.405314
1.0,0.0003816043319,-0.9996183956681,-99.96183956681,,2026-02-09T14:01:36.405314
1.1,0.001092596927,-1.0989074030730002,-99.90067300663638,,2026-02-09T14:01:36.405314
1.2,0.003098287515,-1.1969017124849999,-99.74180937374999,,2026-02-09T14:01:36.405314
1.3,0.004822745403999999,-1.295177254596,-99.6290195843077,,2026-02-09T14:01:36.405314
1.4,0.006737255762000001,-1.393262744238,-99.51876744557143,,2026-02-09T14:01:36.405314
1.5,0.012734361199999997,-1.4872656388,-99.15104258666668,,2026-02-09T14:01:36.405314
1.6,0.01795701538,-1.5820429846200001,-98.87768653875001,,2026-02-09T14:01:36.405314
1.7,0.026003851789999997,-1.6739961482099999,-98.47036165941176,,2026-02-09T14:01:36.405314
1.8,0.04113511605,-1.75886488395,-97.714715775,,2026-02-09T14:01:36.405314
1.9,0.04753960202,-1.8524603979799998,-97.49791568315788,,2026-02-09T14:01:36.405314
2.0,0.05468471791,-1.94531528209,-97.2657641045,,2026-02-09T14:01:36.405314
2.1,0.07677056056,-2.02322943944,-96.34425902095238,,2026-02-09T14:01:36.405314
2.2,0.09503440525000001,-2.1049655947500003,-95.68025430681818,,2026-02-09T14:01:36.405314
2.3,0.1186558134,-2.1813441865999996,-94.84105159130434,,2026-02-09T14:01:36.405314
2.4,0.18106879290000003,-2.2189312071,-92.4554669625,,2026-02-09T14:01:36.405314
2.5,0.22886535010000003,-2.2711346499,-90.845385996,,2026-02-09T14:01:36.405314
2.6,0.2696199256,-2.3303800744000003,-89.63000286153847,,2026-02-09T14:01:36.405314
2.7,0.3520918515000001,-2.3479081485,-86.95956105555555,,2026-02-09T14:01:36.405314
2.8,0.39445451690000005,-2.4055454830999996,-85.91233868214286,,2026-02-09T14:01:36.405314
2.9,0.4522934234,-2.4477065766,-84.40367505517241,,2026-02-09T14:01:36.405314
3.0,0.5178192920999999,-2.4821807079,-82.73935693,,2026-02-09T14:01:36.405314
3.25,0.6269522477,-2.6230477522999998,-80.70916160923076,,2026-02-09T14:01:36.405314
3.5,0.7951020147000001,-2.7048979852999997,-77.28279957999999,,2026-02-09T14:01:36.405314
3.75,0.9405391289999999,-2.809460871,-74.91895656,,2026-02-09T14:01:36.405314
4.0,1.093519874,-2.906480126,-72.66200315,,2026-02-09T14:01:36.405314
4.25,1.2463520869999998,-3.003647913,-70.67406854117647,,2026-02-09T14:01:36.405314
4.5,1.408335938,-3.091664062,-68.70364582222223,,2026-02-09T14:01:36.405314
4.75,1.523486315,-3.226513685,-67.92660389473684,,2026-02-09T14:01:36.405314
5.0,1.671816978,-3.328183022,-66.56366044,,2026-02-09T14:01:36.405314
6.0,2.292291588,-3.707708412,-61.7951402,,2026-02-09T14:01:36.405314
7.0,2.8908634089999996,-4.109136591,-58.70195130000001,,2026-02-09T14:01:36.405314
8.0,3.462389298,-4.537610702,-56.720133775,,2026-02-09T14:01:36.405314
9.0,4.0935586200000005,-4.9064413799999995,-54.51601533333332,,2026-02-09T14:01:36.405314
10.0,4.684388637,-5.315611363,-53.15611363,,2026-02-09T14:01:36.405314
12.0,5.875266995,-6.124733005,-51.039441708333335,,2026-02-09T14:01:36.405314
15.0,7.655753520999999,-7.344246479000001,-48.96164319333334,,2026-02-09T14:01:36.405314
18.0,9.084033593,-8.915966407,-49.53314670555556,,2026-02-09T14:01:36.405314
20.0,10.02477717,-9.97522283,-49.87611415,,2026-02-09T14:01:36.405314
20,10.02370772,-9.97629228,-49.88146139999999,,2026-02-09T14:01:36.405314
