power_limit_mw,voltage_v,measured_mw,reading_index,timestamp_iso,status
5.000,0.0000,0.0000,0,2026-03-16T13:55:58.291203+00:00,OK
5.000,0.0500,0.0000,1,2026-03-16T13:55:59.359274+00:00,OK
5.000,0.1000,0.0000,2,2026-03-16T13:56:00.427762+00:00,OK
5.000,0.1500,0.0000,3,2026-03-16T13:56:01.495342+00:00,OK
5.000,0.2000,0.0000,4,2026-03-16T13:56:02.561746+00:00,OK
5.000,0.2500,0.0000,5,2026-03-16T13:56:03.596844+00:00,OK
5.000,0.3000,0.0000,6,2026-03-16T13:56:04.647830+00:00,OK
5.000,0.3500,0.0000,7,2026-03-16T13:56:05.716879+00:00,OK
5.000,0.4000,0.0000,8,2026-03-16T13:56:06.766657+00:00,OK
5.000,0.4500,0.0001,9,2026-03-16T13:56:07.800977+00:00,OK
5.000,0.5000,0.0009,10,2026-03-16T13:56:08.851949+00:00,OK
5.000,0.5500,0.0021,11,2026-03-16T13:56:09.919728+00:00,OK
5.000,0.6000,0.0038,12,2026-03-16T13:56:11.003385+00:00,OK
5.000,0.6500,0.0063,13,2026-03-16T13:56:12.071144+00:00,OK
5.000,0.7000,0.0098,14,2026-03-16T13:56:13.155681+00:00,OK
5.000,0.7500,0.0156,15,2026-03-16T13:56:14.225144+00:00,OK
5.000,0.8000,0.0254,16,2026-03-16T13:56:15.311212+00:00,OK
5.000,0.8500,0.0375,17,2026-03-16T13:56:16.409255+00:00,OK
5.000,0.9000,0.0445,18,2026-03-16T13:56:17.477285+00:00,OK
5.000,0.9500,0.0540,19,2026-03-16T13:56:18.529203+00:00,OK
5.000,1.0000,0.0676,20,2026-03-16T13:56:19.595815+00:00,OK
5.000,1.0500,0.0879,21,2026-03-16T13:56:20.613739+00:00,OK
5.000,1.1000,0.1200,22,2026-03-16T13:56:21.682315+00:00,OK
5.000,1.1500,0.1638,23,2026-03-16T13:56:22.732612+00:00,OK
5.000,1.2000,0.2189,24,2026-03-16T13:56:23.766568+00:00,OK
5.000,1.2500,0.2759,25,2026-03-16T13:56:24.801971+00:00,OK
5.000,1.3000,0.3323,26,2026-03-16T13:56:25.902082+00:00,OK
