power_limit_mw,voltage_v,measured_mw,reading_index,timestamp_iso,status
5.000,0.0000,0.0042,0,2026-03-16T13:28:33.203840+00:00,OK
5.000,0.0500,0.0041,1,2026-03-16T13:28:34.219931+00:00,OK
5.000,0.1000,0.0040,2,2026-03-16T13:28:35.248882+00:00,OK
5.000,0.1500,0.0040,3,2026-03-16T13:28:36.261354+00:00,OK
5.000,0.2000,0.0040,4,2026-03-16T13:28:37.327133+00:00,OK
5.000,0.2500,0.0039,5,2026-03-16T13:28:38.384628+00:00,OK
5.000,0.3000,0.0039,6,2026-03-16T13:28:39.416285+00:00,OK
5.000,0.3500,0.0039,7,2026-03-16T13:28:40.463583+00:00,OK
5.000,0.4000,0.0039,8,2026-03-16T13:28:41.494438+00:00,OK
5.000,0.4500,0.0040,9,2026-03-16T13:28:42.554352+00:00,OK
5.000,0.5000,0.0049,10,2026-03-16T13:28:43.607302+00:00,OK
5.000,0.5500,0.0062,11,2026-03-16T13:28:44.659861+00:00,OK
5.000,0.6000,0.0081,12,2026-03-16T13:28:45.760180+00:00,OK
5.000,0.6500,0.0108,13,2026-03-16T13:28:46.826576+00:00,OK
5.000,0.7000,0.0147,14,2026-03-16T13:28:47.911878+00:00,OK
5.000,0.7500,0.0209,15,2026-03-16T13:28:48.996722+00:00,OK
5.000,0.8000,0.0317,16,2026-03-16T13:28:50.014757+00:00,OK
5.000,0.8500,0.0451,17,2026-03-16T13:28:51.082275+00:00,OK
5.000,0.9000,0.0527,18,2026-03-16T13:28:52.099626+00:00,OK
5.000,0.9500,0.0630,19,2026-03-16T13:28:53.149937+00:00,OK
5.000,1.0000,0.0778,20,2026-03-16T13:28:54.200653+00:00,OK
5.000,1.0500,0.1002,21,2026-03-16T13:28:55.268750+00:00,OK
5.000,1.1000,0.1351,22,2026-03-16T13:28:56.320803+00:00,OK
5.000,1.1500,0.1823,23,2026-03-16T13:28:57.371897+00:00,OK
5.000,1.2000,0.2425,24,2026-03-16T13:28:58.456155+00:00,OK
5.000,1.2500,0.3045,25,2026-03-16T13:28:59.506769+00:00,OK
5.000,1.3000,0.3676,26,2026-03-16T13:29:00.563962+00:00,OK
