Index	Time (s)	Voltage (V)
1	-3.200000000e+00	-2.621440000e+02
2	-3.199680000e+00	-2.621440000e+02
3	-3.199360000e+00	-2.621440000e+02
4	-3.199040000e+00	-2.621440000e+02
5	-3.198720000e+00	-2.621440000e+02
6	-3.198400000e+00	-2.621440000e+02
7	-3.198080000e+00	-2.621440000e+02
8	-3.197760000e+00	-2.621440000e+02
9	-3.197440000e+00	-2.621440000e+02
10	-3.197120000e+00	-2.621440000e+02
11	-3.196800000e+00	-2.621440000e+02
12	-3.196480000e+00	-2.621440000e+02
13	-3.196160000e+00	-2.621440000e+02
14	-3.195840000e+00	-2.621440000e+02
15	-3.195520000e+00	-2.621440000e+02
16	-3.195200000e+00	-2.621440000e+02
17	-3.194880000e+00	-2.621440000e+02
18	-3.194560000e+00	-2.621440000e+02
19	-3.194240000e+00	-2.621440000e+02
20	-3.193920000e+00	-2.621440000e+02
21	-3.193600000e+00	-2.621440000e+02
22	-3.193280000e+00	-2.621440000e+02
23	-3.192960000e+00	-2.621440000e+02
24	-3.192640000e+00	-2.621440000e+02
25	-3.192320000e+00	-2.621440000e+02
26	-3.192000000e+00	-2.621440000e+02
27	-3.191680000e+00	-2.621440000e+02
28	-3.191360000e+00	-2.621440000e+02
29	-3.191040000e+00	-2.621440000e+02
30	-3.190720000e+00	-2.621440000e+02
31	-3.190400000e+00	-2.621440000e+02
32	-3.190080000e+00	-2.621440000e+02
33	-3.189760000e+00	-2.621440000e+02
34	-3.189440000e+00	-2.621440000e+02
35	-3.189120000e+00	-2.621440000e+02
36	-3.188800000e+00	-2.621440000e+02
37	-3.188480000e+00	-2.621440000e+02
38	-3.188160000e+00	-2.621440000e+02
39	-3.187840000e+00	-2.621440000e+02
40	-3.187520000e+00	-2.621440000e+02
41	-3.187200000e+00	-2.621440000e+02
42	-3.186880000e+00	-2.621440000e+02
43	-3.186560000e+00	-2.621440000e+02
44	-3.186240000e+00	-2.621440000e+02
45	-3.185920000e+00	-2.621440000e+02
46	-3.185600000e+00	-2.621440000e+02
47	-3.185280000e+00	-2.621440000e+02
48	-3.184960000e+00	-2.621440000e+02
49	-3.184640000e+00	-2.621440000e+02
50	-3.184320000e+00	-2.621440000e+02
51	-3.184000000e+00	-2.621440000e+02
52	-3.183680000e+00	-2.621440000e+02
53	-3.183360000e+00	-2.621440000e+02
54	-3.183040000e+00	-2.621440000e+02
55	-3.182720000e+00	-2.621440000e+02
56	-3.182400000e+00	-2.621440000e+02
57	-3.182080000e+00	-2.621440000e+02
58	-3.181760000e+00	-2.621440000e+02
