Index	Time (s)	Raw_ADC_Code
1	-3.200000000e+00	-32768
2	-3.199680000e+00	-32768
3	-3.199360000e+00	-32768
4	-3.199040000e+00	-32768
5	-3.198720000e+00	-32768
6	-3.198400000e+00	-32768
7	-3.198080000e+00	-32768
8	-3.197760000e+00	-32768
9	-3.197440000e+00	-32768
10	-3.197120000e+00	-32768
11	-3.196800000e+00	-32768
12	-3.196480000e+00	-32768
13	-3.196160000e+00	-32768
14	-3.195840000e+00	-32768
15	-3.195520000e+00	-32768
16	-3.195200000e+00	-32768
17	-3.194880000e+00	-32768
18	-3.194560000e+00	-32768
19	-3.194240000e+00	-32768
20	-3.193920000e+00	-32768
21	-3.193600000e+00	-32768
22	-3.193280000e+00	-32768
23	-3.192960000e+00	-32768
24	-3.192640000e+00	-32768
25	-3.192320000e+00	-32768
26	-3.192000000e+00	-32768
27	-3.191680000e+00	-32768
28	-3.191360000e+00	-32768
29	-3.191040000e+00	-32768
30	-3.190720000e+00	-32768
31	-3.190400000e+00	-32768
32	-3.190080000e+00	-32768
33	-3.189760000e+00	-32768
34	-3.189440000e+00	-32768
35	-3.189120000e+00	-32768
36	-3.188800000e+00	-32768
37	-3.188480000e+00	-32768
38	-3.188160000e+00	-32768
39	-3.187840000e+00	-32768
40	-3.187520000e+00	-32768
41	-3.187200000e+00	-32768
42	-3.186880000e+00	-32768
43	-3.186560000e+00	-32768
44	-3.186240000e+00	-32768
45	-3.185920000e+00	-32768
46	-3.185600000e+00	-32768
47	-3.185280000e+00	-32768
48	-3.184960000e+00	-32768
49	-3.184640000e+00	-32768
50	-3.184320000e+00	-32768
51	-3.184000000e+00	-32768
52	-3.183680000e+00	-32768
53	-3.183360000e+00	-32768
54	-3.183040000e+00	-32768
55	-3.182720000e+00	-32768
56	-3.182400000e+00	-32768
57	-3.182080000e+00	-32768
58	-3.181760000e+00	-32768
59	-3.181440000e+00	-32768
60	-3.181120000e+00	-32768
61	-3.180800000e+00	-32768
62	-3.180480000e+00	-32768
63	-3.180160000e+00	-32768
