Time (s)	Voltage (V)
-3.200000000e+00	-1.024000000e+00
-3.199680000e+00	-1.024000000e+00
-3.199360000e+00	-1.024000000e+00
-3.199040000e+00	-1.024000000e+00
-3.198720000e+00	-1.024000000e+00
-3.198400000e+00	-1.024000000e+00
-3.198080000e+00	-1.024000000e+00
-3.197760000e+00	-1.024000000e+00
-3.197440000e+00	-1.024000000e+00
-3.197120000e+00	-1.024000000e+00
-3.196800000e+00	-1.024000000e+00
-3.196480000e+00	-1.024000000e+00
-3.196160000e+00	-1.024000000e+00
-3.195840000e+00	-1.024000000e+00
-3.195520000e+00	-1.024000000e+00
-3.195200000e+00	-1.024000000e+00
-3.194880000e+00	-1.024000000e+00
-3.194560000e+00	-1.024000000e+00
-3.194240000e+00	-1.024000000e+00
-3.193920000e+00	-1.024000000e+00
-3.193600000e+00	-1.024000000e+00
-3.193280000e+00	-1.024000000e+00
-3.192960000e+00	-1.024000000e+00
-3.192640000e+00	-1.024000000e+00
-3.192320000e+00	-1.024000000e+00
-3.192000000e+00	-1.024000000e+00
-3.191680000e+00	-1.024000000e+00
-3.191360000e+00	-1.024000000e+00
-3.191040000e+00	-1.024000000e+00
-3.190720000e+00	-1.024000000e+00
-3.190400000e+00	-1.024000000e+00
-3.190080000e+00	-1.024000000e+00
-3.189760000e+00	-1.024000000e+00
-3.189440000e+00	-1.024000000e+00
-3.189120000e+00	-1.024000000e+00
-3.188800000e+00	-1.024000000e+00
-3.188480000e+00	-1.024000000e+00
-3.188160000e+00	-1.024000000e+00
-3.187840000e+00	-1.024000000e+00
-3.187520000e+00	-1.024000000e+00
-3.187200000e+00	-1.024000000e+00
-3.186880000e+00	-1.024000000e+00
-3.186560000e+00	-1.024000000e+00
-3.186240000e+00	-1.024000000e+00
-3.185920000e+00	-1.024000000e+00
-3.185600000e+00	-1.024000000e+00
-3.185280000e+00	-1.024000000e+00
-3.184960000e+00	-1.024000000e+00
-3.184640000e+00	-1.024000000e+00
-3.184320000e+00	-1.024000000e+00
-3.184000000e+00	-1.024000000e+00
-3.183680000e+00	-1.024000000e+00
-3.183360000e+00	-1.024000000e+00
-3.183040000e+00	-1.024000000e+00
-3.182720000e+00	-1.024000000e+00
-3.182400000e+00	-1.024000000e+00
-3.182080000e+00	-1.024000000e+00
-3.181760000e+00	-1.024000000e+00
-3.181440000e+00	-1.024000000e+00
-3.181120000e+00	-1.024000000e+00
-3.180800000e+00	-1.024000000e+00
-3.180480000e+00	-1.024000000e+00
-3.180160000e+00	-1.024000000e+00
-3.179840000e+00	-1.024000000e+00
-3.179520000e+00	-1.024000000e+00
-3.179200000e+00	-1.024000000e+00
-3.178880000e+00	-1.024000000e+00
-3.178560000e+00	-1.024000000e+00
-3.178240000e+00	-1.024000000e+00
-3.177920000e+00	-1.024000000e+00
-3.177600000e+00	-1.024000000e+00
-3.177280000e+00	-1.024000000e+00
-3.176960000e+00	-1.024000000e+00
-3.176640000e+00	-1.024000000e+00
-3.176320000e+00	-1.024000000e+00
-3.176000000e+00	-1.024000000e+00
-3.175680000e+00	-1.024000000e+00
-3.175360000e+00	-1.024000000e+00
-3.175040000e+00	-1.024000000e+00
-3.174720000e+00	-1.024000000e+00
-3.174400000e+00	-1.024000000e+00
-3.174080000e+00	-1.024000000e+00
-3.173760000e+00	-1.024000000e+00
-3.173440000e+00	-1.024000000e+00
-3.173120000e+00	-1.024000000e+00
-3.172800000e+00	-1.024000000e+00
-3.172480000e+00	-1.024000000e+00
-3.172160000e+00	-1.024000000e+00
-3.171840000e+00	-1.024000000e+00
-3.171520000e+00	-1.024000000e+00
-3.171200000e+00	-1.024000000e+00
-3.170880000e+00	-1.024000000e+00
-3.170560000e+00	-1.024000000e+00
-3.170240000e+00	-1.024000000e+00
-3.169920000e+00	-1.024000000e+00
-3.169600000e+00	-1.024000000e+00
-3.169280000e+00	-1.024000000e+00
-3.168960000e+00	-1.024000000e+00
-3.168640000e+00	-1.024000000e+00
-3.168320000e+00	-1.024000000e+00
-3.168000000e+00	-1.024000000e+00
-3.167680000e+00	-1.024000000e+00
-3.167360000e+00	-1.024000000e+00
-3.167040000e+00	-1.024000000e+00
-3.166720000e+00	-1.024000000e+00
-3.166400000e+00	-1.024000000e+00
-3.166080000e+00	-1.024000000e+00
-3.165760000e+00	-1.024000000e+00
-3.165440000e+00	-1.024000000e+00
-3.165120000e+00	-1.024000000e+00
-3.164800000e+00	-1.024000000e+00
-3.164480000e+00	-1.024000000e+00
-3.164160000e+00	-1.024000000e+00
-3.163840000e+00	-1.024000000e+00
-3.163520000e+00	-1.024000000e+00
-3.163200000e+00	-1.024000000e+00
-3.162880000e+00	-1.024000000e+00
-3.162560000e+00	-1.024000000e+00
-3.162240000e+00	-1.024000000e+00
-3.161920000e+00	-1.024000000e+00
-3.161600000e+00	-1.024000000e+00
-3.161280000e+00	-1.024000000e+00
-3.160960000e+00	-1.024000000e+00
-3.160640000e+00	-1.024000000e+00
-3.160320000e+00	-1.024000000e+00
-3.160000000e+00	-1.024000000e+00
-3.159680000e+00	-1.024000000e+00
-3.159360000e+00	-1.024000000e+00
-3.159040000e+00	-1.024000000e+00
-3.158720000e+00	-1.024000000e+00
-3.158400000e+00	-1.024000000e+00
-3.158080000e+00	-1.024000000e+00
-3.157760000e+00	-1.024000000e+00
-3.157440000e+00	-1.024000000e+00
-3.157120000e+00	-1.024000000e+00
-3.156800000e+00	-1.024000000e+00
-3.156480000e+00	-1.024000000e+00
-3.156160000e+00	-1.024000000e+00
-3.155840000e+00	-1.024000000e+00
-3.155520000e+00	-1.024000000e+00
-3.155200000e+00	-1.024000000e+00
-3.154880000e+00	-1.024000000e+00
-3.154560000e+00	-1.024000000e+00
-3.154240000e+00	-1.024000000e+00
-3.153920000e+00	-1.024000000e+00
-3.153600000e+00	-1.024000000e+00
-3.153280000e+00	-1.024000000e+00
-3.152960000e+00	-1.024000000e+00
-3.152640000e+00	-1.024000000e+00
-3.152320000e+00	-1.024000000e+00
-3.152000000e+00	-1.024000000e+00
-3.151680000e+00	-1.024000000e+00
-3.151360000e+00	-1.024000000e+00
-3.151040000e+00	-1.024000000e+00
-3.150720000e+00	-1.024000000e+00
-3.150400000e+00	-1.024000000e+00
-3.150080000e+00	-1.024000000e+00
-3.149760000e+00	-1.024000000e+00
-3.149440000e+00	-1.024000000e+00
-3.149120000e+00	-1.024000000e+00
-3.148800000e+00	-1.024000000e+00
-3.148480000e+00	-1.024000000e+00
-3.148160000e+00	-1.024000000e+00
-3.147840000e+00	-1.024000000e+00
-3.147520000e+00	-1.024000000e+00
-3.147200000e+00	-1.024000000e+00
-3.146880000e+00	-1.024000000e+00
-3.146560000e+00	-1.024000000e+00
-3.146240000e+00	-1.024000000e+00
-3.145920000e+00	-1.024000000e+00
-3.145600000e+00	-1.024000000e+00
-3.145280000e+00	-1.024000000e+00
-3.144960000e+00	-1.024000000e+00
-3.144640000e+00	-1.024000000e+00
-3.144320000e+00	-1.024000000e+00
-3.144000000e+00	-1.024000000e+00
-3.143680000e+00	-1.024000000e+00
-3.143360000e+00	-1.024000000e+00
-3.143040000e+00	-1.024000000e+00
-3.142720000e+00	-1.024000000e+00
-3.142400000e+00	-1.024000000e+00
-3.142080000e+00	-1.024000000e+00
-3.141760000e+00	-1.024000000e+00
-3.141440000e+00	-1.024000000e+00
-3.141120000e+00	-1.024000000e+00
-3.140800000e+00	-1.024000000e+00
-3.140480000e+00	-1.024000000e+00
-3.140160000e+00	-1.024000000e+00
-3.139840000e+00	-1.024000000e+00
-3.139520000e+00	-1.024000000e+00
-3.139200000e+00	-1.024000000e+00
-3.138880000e+00	-1.024000000e+00
-3.138560000e+00	-1.024000000e+00
-3.138240000e+00	-1.024000000e+00
-3.137920000e+00	-1.024000000e+00
-3.137600000e+00	-1.024000000e+00
-3.137280000e+00	-1.024000000e+00
-3.136960000e+00	-1.024000000e+00
-3.136640000e+00	-1.024000000e+00
-3.136320000e+00	-1.024000000e+00
-3.136000000e+00	-1.024000000e+00
-3.135680000e+00	-1.024000000e+00
-3.135360000e+00	-1.024000000e+00
-3.135040000e+00	-1.024000000e+00
-3.134720000e+00	-1.024000000e+00
-3.134400000e+00	-1.024000000e+00
-3.134080000e+00	-1.024000000e+00
-3.133760000e+00	-1.024000000e+00
-3.133440000e+00	-1.024000000e+00
-3.133120000e+00	-1.024000000e+00
-3.132800000e+00	-1.024000000e+00
-3.132480000e+00	-1.024000000e+00
-3.132160000e+00	-1.024000000e+00
-3.131840000e+00	-1.024000000e+00
-3.131520000e+00	-1.024000000e+00
-3.131200000e+00	-1.024000000e+00
-3.130880000e+00	-1.024000000e+00
-3.130560000e+00	-1.024000000e+00
-3.130240000e+00	-1.024000000e+00
-3.129920000e+00	-1.024000000e+00
-3.129600000e+00	-1.024000000e+00
-3.129280000e+00	-1.024000000e+00
-3.128960000e+00	-1.024000000e+00
-3.128640000e+00	-1.024000000e+00
-3.128320000e+00	-1.024000000e+00
-3.128000000e+00	-1.024000000e+00
-3.127680000e+00	-1.024000000e+00
-3.127360000e+00	-1.024000000e+00
-3.127040000e+00	-1.024000000e+00
-3.126720000e+00	-1.024000000e+00
-3.126400000e+00	-1.024000000e+00
-3.126080000e+00	-1.024000000e+00
-3.125760000e+00	-1.024000000e+00
-3.125440000e+00	-1.024000000e+00
-3.125120000e+00	-1.024000000e+00
-3.124800000e+00	-1.024000000e+00
-3.124480000e+00	-1.024000000e+00
-3.124160000e+00	-1.024000000e+00
-3.123840000e+00	-1.024000000e+00
-3.123520000e+00	-1.024000000e+00
-3.123200000e+00	-1.024000000e+00
-3.122880000e+00	-1.024000000e+00
-3.122560000e+00	-1.024000000e+00
-3.122240000e+00	-1.024000000e+00
-3.121920000e+00	-1.024000000e+00
-3.121600000e+00	-1.024000000e+00
-3.121280000e+00	-1.024000000e+00
-3.120960000e+00	-1.024000000e+00
-3.120640000e+00	-1.024000000e+00
-3.120320000e+00	-1.024000000e+00
-3.120000000e+00	-1.024000000e+00
-3.119680000e+00	-1.024000000e+00
