sample,section,sweep_index,sweep_prefix,file_name,Voltage_V,Current_A,Time_s
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.0,1.763e-08,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.1,1.017e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.2,1.961e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.3,2.919e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.4,3.931e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.5,4.826e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.5,4.825e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.4,3.853e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.3,2.823e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.2,1.927e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.1,9.691e-06,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.0,1.708e-08,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.1,-9.808e-06,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.2,-2.178e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.3,-3.341e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.4,-4.513e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.5,-5.597e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.5,-5.667e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.4,-4.529e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.3,-3.417e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.2,-2.238e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.1,-1.104e-05,1758000000.0
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,-0.0,4.006e-09,1758000000.0
7_ITO,A,2,2-FS-3v-0.1sv-0.05sd-Py,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.0,3.535e-09,1758000000.0
7_ITO,A,2,2-FS-3v-0.1sv-0.05sd-Py,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.1,1.081e-05,1758000000.0
7_ITO,A,2,2-FS-3v-0.1sv-0.05sd-Py,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.2,2.094e-05,1758000000.0
7_ITO,A,2,2-FS-3v-0.1sv-0.05sd-Py,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,0.3,3.244e-05,1758000000.0
