section,R_start_ohm,R_end_ohm,R_end_over_start,log10_R_end_over_start
A,6716.475823265276,9581.01372666248,1.4264941881387707,0.15427000658236734
B,16173.233765006611,16714.332227884548,1.0334564176057783,0.01429216650523703
D,4566.639302674662,4436.517201566734,0.9715059385067448,-0.01255454035207565
E,14238.677486274111,14132.961535943881,0.9925754375410119,-0.0032364761388842768
F,11891.023525795496,11909.58776897246,1.0015611980866654,0.0006774910028669974
G,3855.6041613870348,3854.9973583630613,0.9998426179144502,-6.83555504153611e-05
H,11294.642829648315,11037.312167251488,0.9772165737086137,-0.01000917595038466
I,9481.065184936699,9485.889417366672,1.000508828104846,0.00022092503650343728
K,3979.9029917418893,3956.678198515185,0.9941644825828935,-0.0025417564794515714
L,33055.666998717505,16414.215036317193,0.4965628143868352,-0.3040258061493053
