# sample: 7_ITO
# blocks: 30 (Section_Sweep triplets left-to-right)
A_s1,A_s1,A_s1,A_s2,A_s2,A_s2,A_s3,A_s3,A_s3,B_s1,B_s1,B_s1,B_s2,B_s2,B_s2,B_s3,B_s3,B_s3,D_s1,D_s1,D_s1,D_s2,D_s2,D_s2,D_s3,D_s3,D_s3,E_s1,E_s1,E_s1,E_s2,E_s2,E_s2,E_s3,E_s3,E_s3,F_s1,F_s1,F_s1,F_s2,F_s2,F_s2,F_s3,F_s3,F_s3,G_s1,G_s1,G_s1,G_s2,G_s2,G_s2,G_s3,G_s3,G_s3,H_s1,H_s1,H_s1,H_s2,H_s2,H_s2,H_s3,H_s3,H_s3,I_s1,I_s1,I_s1,I_s2,I_s2,I_s2,I_s3,I_s3,I_s3,K_s1,K_s1,K_s1,K_s2,K_s2,K_s2,K_s3,K_s3,K_s3,L_s1,L_s1,L_s1,L_s2,L_s2,L_s2,L_s3,L_s3,L_s3
Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time
Rpos=6716.48,Rneg=6218.52,Gpos=0.000148888 S;Gneg=0.00016081 S,Rpos=6210.51,Rneg=6315.19,Gpos=0.000161017 S;Gneg=0.000158348 S,Rpos=6823.71,Rneg=9581.01,Gpos=0.000146548 S;Gneg=0.000104373 S,Rpos=16173.2,Rneg=17118.1,Gpos=6.18306e-05 S;Gneg=5.84178e-05 S,Rpos=17141.4,Rneg=16637.5,Gpos=5.83383e-05 S;Gneg=6.01053e-05 S,Rpos=17704.3,Rneg=16714.3,Gpos=5.64836e-05 S;Gneg=5.98289e-05 S,Rpos=4566.64,Rneg=4516.38,Gpos=0.000218979 S;Gneg=0.000221416 S,Rpos=4543.34,Rneg=4536.96,Gpos=0.000220102 S;Gneg=0.000220412 S,Rpos=4450.83,Rneg=4436.52,Gpos=0.000224677 S;Gneg=0.000225402 S,Rpos=14238.7,Rneg=14044.9,Gpos=7.02312e-05 S;Gneg=7.12e-05 S,Rpos=14328,Rneg=14044.7,Gpos=6.97934e-05 S;Gneg=7.1201e-05 S,Rpos=14357.1,Rneg=14133,Gpos=6.96518e-05 S;Gneg=7.07566e-05 S,Rpos=11891,Rneg=11895.5,Gpos=8.4097e-05 S;Gneg=8.40656e-05 S,Rpos=11884.9,Rneg=11904.9,Gpos=8.41401e-05 S;Gneg=8.39991e-05 S,Rpos=11894,Rneg=11909.6,Gpos=8.40757e-05 S;Gneg=8.3966e-05 S,Rpos=3855.6,Rneg=3854.91,Gpos=0.000259363 S;Gneg=0.00025941 S,Rpos=3855.61,Rneg=3856.11,Gpos=0.000259363 S;Gneg=0.000259329 S,Rpos=3854.61,Rneg=3855,Gpos=0.00025943 S;Gneg=0.000259404 S,Rpos=11294.6,Rneg=11182.9,Gpos=8.85375e-05 S;Gneg=8.94221e-05 S,Rpos=11427,Rneg=11186.2,Gpos=8.75124e-05 S;Gneg=8.9396e-05 S,Rpos=11219.4,Rneg=11037.3,Gpos=8.91316e-05 S;Gneg=9.06018e-05 S,Rpos=9481.07,Rneg=9483.4,Gpos=0.000105473 S;Gneg=0.000105447 S,Rpos=9482.06,Rneg=9486.2,Gpos=0.000105462 S;Gneg=0.000105416 S,Rpos=9485.69,Rneg=9485.89,Gpos=0.000105422 S;Gneg=0.00010542 S,Rpos=3979.9,Rneg=3979.46,Gpos=0.000251262 S;Gneg=0.00025129 S,Rpos=3972.07,Rneg=3964.49,Gpos=0.000251758 S;Gneg=0.00025224 S,Rpos=3957.58,Rneg=3956.68,Gpos=0.000252679 S;Gneg=0.000252737 S,Rpos=33055.7,Rneg=32538.5,Gpos=3.0252e-05 S;Gneg=3.07329e-05 S,Rpos=26970.3,Rneg=37693.5,Gpos=3.70778e-05 S;Gneg=2.65298e-05 S,Rpos=18953.1,Rneg=16414.2,Gpos=5.27618e-05 S;Gneg=6.09228e-05 S
0,2.515e-08,1757000000,0,5.334e-09,1757000000,0,5.539e-09,1757000000,0,1.127e-08,1757000000,0,3.508e-09,1757000000,0,3.395e-09,1757000000,0,3.832e-08,1757000000,0,9.606e-09,1757000000,0,9.351e-09,1757000000,0,1.208e-08,1757000000,0,3.232e-09,1757000000,0,3.281e-09,1757000000,0,1.376e-08,1757000000,0,5.324e-09,1757000000,0,5.503e-09,1757000000,0,4.163e-08,1757000000,0,1.471e-08,1757000000,0,1.459e-08,1757000000,0,1.368e-08,1757000000,0,4.249e-09,1757000000,0,4.212e-09,1757000000,0,1.722e-08,1757000000,0,5.483e-09,1757000000,0,5.337e-09,1757000000,0,4.199e-08,1757000000,0,1.297e-08,1757000000,0,1.351e-08,1757000000,0,2.812e-09,1757000000,0,-2.311e-10,1757000000,0,-9.492e-10,1757000000
0.1,1.466e-05,1757000000,0.1,1.5e-05,1757000000,0.2,3.25e-05,1757000000,0.1,5.948e-06,1757000000,0.1,6.038e-06,1757000000,0.2,1.32e-05,1757000000,0.1,2.246e-05,1757000000,0.1,2.223e-05,1757000000,0.2,4.424e-05,1757000000,0.1,7.076e-06,1757000000,0.1,7.09e-06,1757000000,0.2,1.426e-05,1757000000,0.1,8.425e-06,1757000000,0.1,8.424e-06,1757000000,0.2,1.682e-05,1757000000,0.1,2.598e-05,1757000000,0.1,2.598e-05,1757000000,0.2,5.191e-05,1757000000,0.1,8.779e-06,1757000000,0.1,8.85e-06,1757000000,0.2,1.796e-05,1757000000,0.1,1.056e-05,1757000000,0.1,1.056e-05,1757000000,0.2,2.11e-05,1757000000,0.1,2.515e-05,1757000000,0.1,2.52e-05,1757000000,0.2,5.05e-05,1757000000,0.1,2.536e-06,1757000000,0.1,2.347e-06,1757000000,0.2,2.072e-06,1757000000
0.2,2.921e-05,1757000000,0.2,3.105e-05,1757000000,0.4,6.491e-05,1757000000,0.2,1.2e-05,1757000000,0.2,1.217e-05,1757000000,0.4,2.672e-05,1757000000,0.2,4.435e-05,1757000000,0.2,4.426e-05,1757000000,0.4,8.893e-05,1757000000,0.2,1.412e-05,1757000000,0.2,1.415e-05,1757000000,0.4,2.85e-05,1757000000,0.2,1.684e-05,1757000000,0.2,1.682e-05,1757000000,0.4,3.363e-05,1757000000,0.2,5.192e-05,1757000000,0.2,5.192e-05,1757000000,0.4,0.0001038,1757000000,0.2,1.753e-05,1757000000,0.2,1.768e-05,1757000000,0.4,3.604e-05,1757000000,0.2,2.11e-05,1757000000,0.2,2.11e-05,1757000000,0.4,4.218e-05,1757000000,0.2,5.027e-05,1757000000,0.2,5.034e-05,1757000000,0.4,0.000101,1757000000,0.2,5.037e-06,1757000000,0.2,4.899e-06,1757000000,0.4,5.233e-06,1757000000
0.3,4.457e-05,1757000000,0.3,4.769e-05,1757000000,0.6,9.655e-05,1757000000,0.3,1.82e-05,1757000000,0.3,1.842e-05,1757000000,0.6,4.06e-05,1757000000,0.3,6.688e-05,1757000000,0.3,6.681e-05,1757000000,0.6,0.0001333,1757000000,0.3,2.108e-05,1757000000,0.3,2.12e-05,1757000000,0.6,4.274e-05,1757000000,0.3,2.525e-05,1757000000,0.3,2.524e-05,1757000000,0.6,5.048e-05,1757000000,0.3,7.787e-05,1757000000,0.3,7.787e-05,1757000000,0.6,0.0001557,1757000000,0.3,2.635e-05,1757000000,0.3,2.655e-05,1757000000,0.6,5.419e-05,1757000000,0.3,3.165e-05,1757000000,0.3,3.164e-05,1757000000,0.6,6.327e-05,1757000000,0.3,7.542e-05,1757000000,0.3,7.553e-05,1757000000,0.6,0.0001514,1757000000,0.3,8.099e-06,1757000000,0.3,7.628e-06,1757000000,0.6,1.015e-05,1757000000
0.4,5.943e-05,1757000000,0.4,6.348e-05,1757000000,0.8,0.00013,1757000000,0.4,2.454e-05,1757000000,0.4,2.483e-05,1757000000,0.8,5.469e-05,1757000000,0.4,8.863e-05,1757000000,0.4,8.866e-05,1757000000,0.8,0.0001785,1757000000,0.4,2.808e-05,1757000000,0.4,2.821e-05,1757000000,0.8,5.695e-05,1757000000,0.4,3.365e-05,1757000000,0.4,3.365e-05,1757000000,0.8,6.729e-05,1757000000,0.4,0.0001038,1757000000,0.4,0.0001038,1757000000,0.8,0.0002075,1757000000,0.4,3.535e-05,1757000000,0.4,3.56e-05,1757000000,0.8,7.261e-05,1757000000,0.4,4.22e-05,1757000000,0.4,4.218e-05,1757000000,0.8,8.437e-05,1757000000,0.4,0.0001005,1757000000,0.4,0.0001007,1757000000,0.8,0.0002019,1757000000,0.4,1.17e-05,1757000000,0.4,1.096e-05,1757000000,0.8,1.746e-05,1757000000
0.5,7.485e-05,1757000000,0.5,7.918e-05,1757000000,1,0.0001631,1757000000,0.5,3.104e-05,1757000000,0.5,3.136e-05,1757000000,1,6.911e-05,1757000000,0.5,0.0001095,1757000000,0.5,0.0001109,1757000000,1,0.0002238,1757000000,0.5,3.518e-05,1757000000,0.5,3.524e-05,1757000000,1,7.122e-05,1757000000,0.5,4.206e-05,1757000000,0.5,4.207e-05,1757000000,1,8.409e-05,1757000000,0.5,0.0001297,1757000000,0.5,0.0001297,1757000000,1,0.0002594,1757000000,0.5,4.435e-05,1757000000,0.5,4.451e-05,1757000000,1,9.083e-05,1757000000,0.5,5.276e-05,1757000000,0.5,5.273e-05,1757000000,1,0.0001054,1757000000,0.5,0.0001257,1757000000,0.5,0.0001258,1757000000,1,0.0002524,1757000000,0.5,1.495e-05,1757000000,0.5,1.452e-05,1757000000,1,2.654e-05,1757000000
0.5,7.415e-05,1757000000,0.6,9.496e-05,1757000000,1.2,0.0001951,1757000000,0.5,3.101e-05,1757000000,0.6,3.799e-05,1757000000,1.2,8.37e-05,1757000000,0.5,0.0001088,1757000000,0.6,0.0001335,1757000000,1.2,0.0002685,1757000000,0.5,3.514e-05,1757000000,0.6,4.233e-05,1757000000,1.2,8.535e-05,1757000000,0.5,4.206e-05,1757000000,0.6,5.049e-05,1757000000,1.2,0.0001009,1757000000,0.5,0.0001297,1757000000,0.6,0.0001557,1757000000,1.2,0.0003113,1757000000,0.5,4.433e-05,1757000000,0.6,5.358e-05,1757000000,1.2,0.0001092,1757000000,0.5,5.275e-05,1757000000,0.6,6.328e-05,1757000000,1.2,0.0001265,1757000000,0.5,0.0001256,1757000000,0.6,0.000151,1757000000,1.2,0.000303,1757000000,0.5,1.551e-05,1757000000,0.6,1.866e-05,1757000000,1.2,3.813e-05,1757000000
0.4,5.981e-05,1757000000,0.7,0.0001099,1757000000,1.4,0.0002274,1757000000,0.4,2.44e-05,1757000000,0.7,4.472e-05,1757000000,1.4,9.869e-05,1757000000,0.4,8.792e-05,1757000000,0.7,0.0001551,1757000000,1.4,0.0003153,1757000000,0.4,2.809e-05,1757000000,0.7,4.924e-05,1757000000,1.4,9.946e-05,1757000000,0.4,3.365e-05,1757000000,0.7,5.888e-05,1757000000,1.4,0.0001178,1757000000,0.4,0.0001038,1757000000,0.7,0.0001816,1757000000,1.4,0.0003632,1757000000,0.4,3.524e-05,1757000000,0.7,6.268e-05,1757000000,1.4,0.000128,1757000000,0.4,4.219e-05,1757000000,0.7,7.383e-05,1757000000,1.4,0.0001476,1757000000,0.4,0.0001006,1757000000,0.7,0.0001763,1757000000,1.4,0.0003536,1757000000,0.4,1.202e-05,1757000000,0.7,2.28e-05,1757000000,1.4,5.085e-05,1757000000
