sample,section,sweep_index,sweep_prefix,file_name,Voltage_V,Current_A,Time_s
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.0,1.381e-09,0.3356
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.1,1.014e-07,0.6298
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.2,2.016e-07,0.8979
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.3,3.016e-07,1.173
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.4,4.021e-07,1.45
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.5,5.021e-07,1.753
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.5,5.021e-07,2.058
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.4,4.016e-07,2.327
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.3,3.015e-07,2.616
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.2,2.016e-07,2.891
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.1,1.013e-07,3.174
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,0.0,1.467e-09,3.441
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,-0.1,-9.952e-08,3.718
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,-0.2,-1.998e-07,4.011
