sample,section,sweep_index,file_name,R_pos_0_to_0p5_ohm,R_neg_m0p5_to_0_ohm,R_pos_label,R_neg_label,ohmic,switching_voltages_V
7_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,496789.6235982495,135519.75207801777,497 kΩ,136 kΩ,X,0.05;-0.05
7_ITO,A,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,587218.345439329,20878.422554883542,587 kΩ,20.9 kΩ,X,0.05;-0.05;-0.5
7_ITO,A,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,10625.554507290495,10857.29986145407,10.6 kΩ,10.9 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,B,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,21827.767555312563,21812.13479104188,21.8 kΩ,21.8 kΩ,X,0.05;-0.05
7_ITO,B,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,21825.307866233816,21776.839534744675,21.8 kΩ,21.8 kΩ,X,0.05;-0.05
7_ITO,B,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,21794.82648212358,21776.188616054627,21.8 kΩ,21.8 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,D,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,5418.682974789475,5417.967852129962,5.42 kΩ,5.42 kΩ,X,0.05;-0.05
7_ITO,D,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,5418.12733574502,5416.821723188495,5.42 kΩ,5.42 kΩ,X,0.05;-0.05
7_ITO,D,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,5416.5612035869835,5415.5968512366035,5.42 kΩ,5.42 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,E,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,18287.53676937862,18284.32108944472,18.3 kΩ,18.3 kΩ,X,0.05;-0.05
7_ITO,E,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,18290.431037001075,18287.304101826645,18.3 kΩ,18.3 kΩ,X,0.05;-0.05
7_ITO,E,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,18288.426128375708,18284.39613747618,18.3 kΩ,18.3 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,F,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,15104.090466411524,15081.643852967547,15.1 kΩ,15.1 kΩ,X,0.05;-0.05
7_ITO,F,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,15179.295068549534,15106.505775330463,15.2 kΩ,15.1 kΩ,X,0.05;-0.05
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,15313.929525411184,15280.790543039633,15.3 kΩ,15.3 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,G,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,7102.717027807218,7200.532437257419,7.1 kΩ,7.2 kΩ,X,0.05;-0.05
7_ITO,G,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,7809.721273279107,7628.420093171348,7.81 kΩ,7.63 kΩ,X,0.05;-0.05
7_ITO,G,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,6325.890422451663,6224.1185267189885,6.33 kΩ,6.22 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,H,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,5625.698044308868,5536.851618091087,5.63 kΩ,5.54 kΩ,X,0.05;-0.05
7_ITO,H,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,5753.409131210977,5711.674429988152,5.75 kΩ,5.71 kΩ,X,0.05;-0.05
7_ITO,H,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,5426.782037640885,5311.744515004087,5.43 kΩ,5.31 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,I,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,12527.251114348035,12482.161489838963,12.5 kΩ,12.5 kΩ,X,0.05;-0.05
7_ITO,I,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,12552.100631697018,12495.773304679698,12.6 kΩ,12.5 kΩ,X,0.05;-0.05
7_ITO,I,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,12563.226136803674,12530.918344118923,12.6 kΩ,12.5 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,K,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,4605.329356645916,4602.974355179746,4.61 kΩ,4.6 kΩ,X,0.05;-0.05
7_ITO,K,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,4607.19469395969,4601.094173059315,4.61 kΩ,4.6 kΩ,X,0.05;-0.05
7_ITO,K,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4603.93674958229,4601.518117518941,4.6 kΩ,4.6 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
7_ITO,L,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,12835.65955081193,12840.287826632124,12.8 kΩ,12.8 kΩ,X,0.05;-0.05
7_ITO,L,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,12837.576922760927,12835.351991925614,12.8 kΩ,12.8 kΩ,X,0.05;-0.05
7_ITO,L,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,12831.891939387235,12829.696059261567,12.8 kΩ,12.8 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
