# sample: 7_ITO
# blocks: 30 (Section_Sweep triplets left-to-right)
A_s1,A_s1,A_s1,A_s2,A_s2,A_s2,A_s3,A_s3,A_s3,B_s1,B_s1,B_s1,B_s2,B_s2,B_s2,B_s3,B_s3,B_s3,D_s1,D_s1,D_s1,D_s2,D_s2,D_s2,D_s3,D_s3,D_s3,E_s1,E_s1,E_s1,E_s2,E_s2,E_s2,E_s3,E_s3,E_s3,F_s1,F_s1,F_s1,F_s2,F_s2,F_s2,F_s3,F_s3,F_s3,G_s1,G_s1,G_s1,G_s2,G_s2,G_s2,G_s3,G_s3,G_s3,H_s1,H_s1,H_s1,H_s2,H_s2,H_s2,H_s3,H_s3,H_s3,I_s1,I_s1,I_s1,I_s2,I_s2,I_s2,I_s3,I_s3,I_s3,K_s1,K_s1,K_s1,K_s2,K_s2,K_s2,K_s3,K_s3,K_s3,L_s1,L_s1,L_s1,L_s2,L_s2,L_s2,L_s3,L_s3,L_s3
Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time,Voltage,Current,Time
Rpos=496790,Rneg=135520,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=587218,Rneg=20878.4,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=10625.6,Rneg=10857.3,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=21827.8,Rneg=21812.1,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=21825.3,Rneg=21776.8,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=21794.8,Rneg=21776.2,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=5418.68,Rneg=5417.97,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=5418.13,Rneg=5416.82,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=5416.56,Rneg=5415.6,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=18287.5,Rneg=18284.3,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=18290.4,Rneg=18287.3,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=18288.4,Rneg=18284.4,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=15104.1,Rneg=15081.6,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=15179.3,Rneg=15106.5,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=15313.9,Rneg=15280.8,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=7102.72,Rneg=7200.53,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=7809.72,Rneg=7628.42,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=6325.89,Rneg=6224.12,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=5625.7,Rneg=5536.85,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=5753.41,Rneg=5711.67,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=5426.78,Rneg=5311.74,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=12527.3,Rneg=12482.2,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=12552.1,Rneg=12495.8,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=12563.2,Rneg=12530.9,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=4605.33,Rneg=4602.97,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=4607.19,Rneg=4601.09,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=4603.94,Rneg=4601.52,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,Rpos=12835.7,Rneg=12840.3,file=1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=12837.6,Rneg=12835.4,file=2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,Rpos=12831.9,Rneg=12829.7,file=3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt
0,3.279e-10,1758000000,0,1.477e-10,1758000000,0,5.846e-09,1758000000,0,8.059e-09,1758000000,0,2.861e-09,1758000000,0,2.667e-09,1758000000,0,3.132e-08,1758000000,0,1.241e-08,1758000000,0,1.237e-08,1758000000,0,9.49e-09,1758000000,0,3.706e-09,1758000000,0,3.697e-09,1758000000,0,1.025e-08,1758000000,0,3.427e-09,1758000000,0,3.122e-09,1758000000,0,2.475e-08,1758000000,0,1.001e-08,1758000000,0,1.075e-08,1758000000,0,2.97e-08,1758000000,0,1.152e-08,1758000000,0,1.079e-08,1758000000,0,1.346e-08,1758000000,0,5.174e-09,1758000000,0,5.238e-09,1758000000,0,3.645e-08,1758000000,0,1.47e-08,1758000000,0,1.471e-08,1758000000,0,1.329e-08,1758000000,0,5.312e-09,1758000000,0,5.292e-09,1758000000
0.1,1.668e-07,1758000000,0.1,1.916e-07,1758000000,0.2,1.785e-05,1758000000,0.1,4.589e-06,1758000000,0.1,4.593e-06,1758000000,0.2,9.195e-06,1758000000,0.1,1.848e-05,1758000000,0.1,1.849e-05,1758000000,0.2,3.695e-05,1758000000,0.1,5.478e-06,1758000000,0.1,5.479e-06,1758000000,0.2,1.094e-05,1758000000,0.1,6.637e-06,1758000000,0.1,6.657e-06,1758000000,0.2,1.324e-05,1758000000,0.1,1.392e-05,1758000000,0.1,1.395e-05,1758000000,0.2,2.967e-05,1758000000,0.1,1.795e-05,1758000000,0.1,1.792e-05,1758000000,0.2,3.499e-05,1758000000,0.1,8e-06,1758000000,0.1,8.01e-06,1758000000,0.2,1.603e-05,1758000000,0.1,2.175e-05,1758000000,0.1,2.175e-05,1758000000,0.2,4.35e-05,1758000000,0.1,7.808e-06,1758000000,0.1,7.804e-06,1758000000,0.2,1.56e-05,1758000000
0.2,3.808e-07,1758000000,0.2,4.197e-07,1758000000,0.4,3.598e-05,1758000000,0.2,9.17e-06,1758000000,0.2,9.173e-06,1758000000,0.4,1.838e-05,1758000000,0.2,3.693e-05,1758000000,0.2,3.694e-05,1758000000,0.4,7.387e-05,1758000000,0.2,1.094e-05,1758000000,0.2,1.094e-05,1758000000,0.4,2.188e-05,1758000000,0.2,1.324e-05,1758000000,0.2,1.326e-05,1758000000,0.4,2.646e-05,1758000000,0.2,2.806e-05,1758000000,0.2,2.792e-05,1758000000,0.4,5.945e-05,1758000000,0.2,3.616e-05,1758000000,0.2,3.593e-05,1758000000,0.4,7.002e-05,1758000000,0.2,1.598e-05,1758000000,0.2,1.601e-05,1758000000,0.4,3.204e-05,1758000000,0.2,4.345e-05,1758000000,0.2,4.347e-05,1758000000,0.4,8.697e-05,1758000000,0.2,1.559e-05,1758000000,0.2,1.559e-05,1758000000,0.4,3.118e-05,1758000000
0.3,6.305e-07,1758000000,0.3,7.395e-07,1758000000,0.6,5.38e-05,1758000000,0.3,1.376e-05,1758000000,0.3,1.375e-05,1758000000,0.6,2.756e-05,1758000000,0.3,5.539e-05,1758000000,0.3,5.54e-05,1758000000,0.6,0.0001108,1758000000,0.3,1.641e-05,1758000000,0.3,1.642e-05,1758000000,0.6,3.281e-05,1758000000,0.3,1.99e-05,1758000000,0.3,1.988e-05,1758000000,0.6,3.966e-05,1758000000,0.3,4.213e-05,1758000000,0.3,4.186e-05,1758000000,0.6,8.929e-05,1758000000,0.3,5.358e-05,1758000000,0.3,5.429e-05,1758000000,0.6,0.0001046,1758000000,0.3,2.396e-05,1758000000,0.3,2.4e-05,1758000000,0.6,4.803e-05,1758000000,0.3,6.518e-05,1758000000,0.3,6.518e-05,1758000000,0.6,0.0001304,1758000000,0.3,2.338e-05,1758000000,0.3,2.338e-05,1758000000,0.6,4.677e-05,1758000000
0.4,8.603e-07,1758000000,0.4,1.052e-06,1758000000,0.8,7.211e-05,1758000000,0.4,1.833e-05,1758000000,0.4,1.833e-05,1758000000,0.8,3.673e-05,1758000000,0.4,7.384e-05,1758000000,0.4,7.385e-05,1758000000,0.8,0.0001477,1758000000,0.4,2.188e-05,1758000000,0.4,2.188e-05,1758000000,0.8,4.374e-05,1758000000,0.4,2.653e-05,1758000000,0.4,2.646e-05,1758000000,0.8,5.286e-05,1758000000,0.4,5.658e-05,1758000000,0.4,5.602e-05,1758000000,0.8,0.0001198,1758000000,0.4,7.125e-05,1758000000,0.4,7.353e-05,1758000000,0.8,0.0001384,1758000000,0.4,3.193e-05,1758000000,0.4,3.198e-05,1758000000,0.8,6.399e-05,1758000000,0.4,8.689e-05,1758000000,0.4,8.689e-05,1758000000,0.8,0.0001738,1758000000,0.4,3.117e-05,1758000000,0.4,3.116e-05,1758000000,0.8,6.235e-05,1758000000
0.5,8.95e-07,1758000000,0.5,1.372e-06,1758000000,1,8.981e-05,1758000000,0.5,2.291e-05,1758000000,0.5,2.293e-05,1758000000,1,4.59e-05,1758000000,0.5,9.23e-05,1758000000,0.5,9.231e-05,1758000000,1,0.0001846,1758000000,0.5,2.735e-05,1758000000,0.5,2.735e-05,1758000000,1,5.468e-05,1758000000,0.5,3.315e-05,1758000000,0.5,3.306e-05,1758000000,1,6.604e-05,1758000000,0.5,7.069e-05,1758000000,0.5,6.981e-05,1758000000,1,0.0001496,1758000000,0.5,8.881e-05,1758000000,0.5,9.213e-05,1758000000,1,0.000173,1758000000,0.5,3.992e-05,1758000000,0.5,3.995e-05,1758000000,1,7.994e-05,1758000000,0.5,0.0001086,1758000000,0.5,0.0001086,1758000000,1,0.0002173,1758000000,0.5,3.897e-05,1758000000,0.5,3.895e-05,1758000000,1,7.793e-05,1758000000
0.5,1.055e-06,1758000000,0.6,1.725e-06,1758000000,1.2,0.0001078,1758000000,0.5,2.291e-05,1758000000,0.6,2.751e-05,1758000000,1.2,5.507e-05,1758000000,0.5,9.23e-05,1758000000,0.6,0.0001108,1758000000,1.2,0.0002215,1758000000,0.5,2.735e-05,1758000000,0.6,3.281e-05,1758000000,1.2,6.561e-05,1758000000,0.5,3.307e-05,1758000000,0.6,3.971e-05,1758000000,1.2,7.917e-05,1758000000,0.5,7.007e-05,1758000000,0.6,8.44e-05,1758000000,1.2,0.00018,1758000000,0.5,8.881e-05,1758000000,0.6,0.0001105,1758000000,1.2,0.0002066,1758000000,0.5,3.993e-05,1758000000,0.6,4.788e-05,1758000000,1.2,9.585e-05,1758000000,0.5,0.0001086,1758000000,0.6,0.0001303,1758000000,1.2,0.0002607,1758000000,0.5,3.897e-05,1758000000,0.6,4.674e-05,1758000000,1.2,9.351e-05,1758000000
0.4,7.93e-07,1758000000,0.7,1.898e-06,1758000000,1.4,0.0001261,1758000000,0.4,1.834e-05,1758000000,0.7,3.209e-05,1758000000,1.4,6.425e-05,1758000000,0.4,7.384e-05,1758000000,0.7,0.0001292,1758000000,1.4,0.0002584,1758000000,0.4,2.188e-05,1758000000,0.7,3.828e-05,1758000000,1.4,7.654e-05,1758000000,0.4,2.647e-05,1758000000,0.7,4.625e-05,1758000000,1.4,9.229e-05,1758000000,0.4,5.603e-05,1758000000,0.7,9.882e-05,1758000000,1.4,0.0002107,1758000000,0.4,7.139e-05,1758000000,0.7,0.0001282,1758000000,1.4,0.0002428,1758000000,0.4,3.195e-05,1758000000,0.7,5.59e-05,1758000000,1.4,0.0001117,1758000000,0.4,8.688e-05,1758000000,0.7,0.000152,1758000000,1.4,0.0003041,1758000000,0.4,3.117e-05,1758000000,0.7,5.452e-05,1758000000,1.4,0.0001091,1758000000
