sample,section,sweep_index,file_name,R_pos_0_to_0p5_ohm,R_neg_m0p5_to_0_ohm,R_pos_label,R_neg_label,ohmic,switching_voltages_V
5-ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,998231.0028211704,995798.7251784727,998 kΩ,996 kΩ,X,0.05;-0.05
5-ITO,A,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-A-end.txt,998275.7638396143,13654.971385573437,998 kΩ,13.7 kΩ,X,0.05;-0.05;-0.5
5-ITO,A,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-A-end.txt,7364.091096261558,7266.469301286592,7.36 kΩ,7.27 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
5-ITO,B,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-B-end.txt,44265.230949791796,27278.409744473836,44.3 kΩ,27.3 kΩ,X,0.05;-0.05;-0.45
5-ITO,B,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-B-end.txt,205951.01337460603,27832.85424707588,206 kΩ,27.8 kΩ,X,0.05;-0.05
5-ITO,B,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-B-end.txt,16575.03778590646,15671.529955966273,16.6 kΩ,15.7 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
5-ITO,D,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-D-end.txt,4617.181228283459,4614.80525304153,4.62 kΩ,4.61 kΩ,X,0.05;-0.05
5-ITO,D,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-D-end.txt,4616.940676599466,4616.3347686837105,4.62 kΩ,4.62 kΩ,X,0.05;-0.05
5-ITO,D,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-D-end.txt,4615.597642968139,4609.941338496469,4.62 kΩ,4.61 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
5-ITO,E,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-E-end.txt,13318.661361952742,13295.139991678256,13.3 kΩ,13.3 kΩ,X,0.05;-0.05
5-ITO,E,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-E-end.txt,13344.434632048667,13332.628608678315,13.3 kΩ,13.3 kΩ,X,0.05;-0.05
5-ITO,E,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-E-end.txt,13379.270314665948,13345.342658910504,13.4 kΩ,13.3 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
5-ITO,G,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-G-end.txt,5294.921111669687,5290.235283713325,5.29 kΩ,5.29 kΩ,X,0.05;-0.05
5-ITO,G,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-G-end.txt,5301.271244844517,5293.437951832742,5.3 kΩ,5.29 kΩ,X,0.05;-0.05
5-ITO,G,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-G-end.txt,5309.669904459129,5299.598445009491,5.31 kΩ,5.3 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
5-ITO,H,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-h-end.txt,6765.93786877553,6934.028864399706,6.77 kΩ,6.93 kΩ,X,0.05;-0.05
5-ITO,H,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-h-end.txt,8210.821041050003,7341.785826472702,8.21 kΩ,7.34 kΩ,X,0.05;-0.05
5-ITO,H,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-h-end.txt,6806.519851924162,6706.216578940972,6.81 kΩ,6.71 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
5-ITO,I,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-I-end.txt,12379.33592664071,12364.833126778414,12.4 kΩ,12.4 kΩ,X,0.05;-0.05
5-ITO,I,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-I-end.txt,12374.683130770089,12371.207992790065,12.4 kΩ,12.4 kΩ,X,0.05;-0.05
5-ITO,I,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-I-end.txt,12524.75465571224,12527.437698442447,12.5 kΩ,12.5 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
5-ITO,K,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-k-end.txt,7099.860882914589,7123.478784465715,7.1 kΩ,7.12 kΩ,X,0.05;-0.05
5-ITO,K,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-k-end.txt,6783.668801907182,7944.930283236767,6.78 kΩ,7.94 kΩ,X,0.05;-0.05
5-ITO,K,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-k-end.txt,6723.133518070104,6488.001522517692,6.72 kΩ,6.49 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
5-ITO,L,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-l-end.txt,13119.143107078446,13109.151993691787,13.1 kΩ,13.1 kΩ,X,0.05;-0.05
5-ITO,L,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-l-end.txt,13116.619300055974,13112.717481444108,13.1 kΩ,13.1 kΩ,X,0.05;-0.05
5-ITO,L,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-l-end.txt,13113.526586281847,13096.657094647417,13.1 kΩ,13.1 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
