t_s,V_V,I_A
1.756221243e+09,0.000000000e+00,1.000000000e-10
1.756221243e+09,3.750000000e-02,1.061108348e-10
1.756221243e+09,7.500000000e-02,1.124479949e-10
1.756221243e+09,1.125000000e-01,1.190186164e-10
1.756221243e+09,1.500000000e-01,1.258300426e-10
1.756221243e+09,1.875000000e-01,1.328898305e-10
1.756221243e+09,2.250000000e-01,1.402057561e-10
1.756221243e+09,2.625000000e-01,1.477858207e-10
1.756221243e+09,3.000000000e-01,1.556382572e-10
1.756221243e+09,3.375000000e-01,1.637715364e-10
1.756221243e+09,3.750000000e-01,1.721943735e-10
1.756221243e+09,4.125000000e-01,1.809157349e-10
1.756221243e+09,4.500000000e-01,1.899448454e-10
1.756221243e+09,4.875000000e-01,1.992911946e-10
1.756221243e+09,5.250000000e-01,2.089645449e-10
1.756221243e+09,5.625000000e-01,2.189749388e-10
1.756221243e+09,6.000000000e-01,2.293327063e-10
1.756221243e+09,6.375000000e-01,2.400484732e-10
1.756221243e+09,6.750000000e-01,2.511331688e-10
1.756221243e+09,7.125000000e-01,2.625980345e-10
1.756221243e+09,7.500000000e-01,2.744546325e-10
1.756221243e+09,7.875000000e-01,2.867148539e-10
1.756221243e+09,8.250000000e-01,2.993909286e-10
1.756221243e+09,8.625000000e-01,3.124954338e-10
1.756221243e+09,9.000000000e-01,3.260413038e-10
1.756221243e+09,9.375000000e-01,3.400418398e-10
1.756221243e+09,9.750000000e-01,3.545107197e-10
1.756221243e+09,1.012500000e+00,3.694620085e-10
1.756221243e+09,1.050000000e+00,3.849101687e-10
1.756221243e+09,1.087500000e+00,4.008700716e-10
1.756221243e+09,1.125000000e+00,4.173570074e-10
1.756221243e+09,1.162500000e+00,4.343866977e-10
1.756221243e+09,1.200000000e+00,4.519753063e-10
1.756221244e+09,1.237500000e+00,4.701394520e-10
1.756221244e+09,1.275000000e+00,4.888962202e-10
1.756221244e+09,1.312500000e+00,5.082631760e-10
1.756221244e+09,1.350000000e+00,5.282583769e-10
1.756221244e+09,1.387500000e+00,5.489003863e-10
1.756221244e+09,1.425000000e+00,5.702082873e-10
1.756221244e+09,1.462500000e+00,5.922016963e-10
1.756221244e+09,1.500000000e+00,6.149007778e-10
1.756221244e+09,1.462500000e+00,5.922016963e-10
1.756221244e+09,1.425000000e+00,5.702082873e-10
1.756221244e+09,1.387500000e+00,5.489003863e-10
1.756221244e+09,1.350000000e+00,5.282583769e-10
1.756221244e+09,1.312500000e+00,5.082631760e-10
1.756221244e+09,1.275000000e+00,4.888962202e-10
1.756221244e+09,1.237500000e+00,4.701394520e-10
1.756221244e+09,1.200000000e+00,4.519753063e-10
1.756221244e+09,1.162500000e+00,4.343866977e-10
1.756221244e+09,1.125000000e+00,4.173570074e-10
1.756221244e+09,1.087500000e+00,4.008700716e-10
1.756221244e+09,1.050000000e+00,3.849101687e-10
1.756221244e+09,1.012500000e+00,3.694620085e-10
1.756221244e+09,9.750000000e-01,3.545107197e-10
1.756221244e+09,9.375000000e-01,3.400418398e-10
1.756221244e+09,9.000000000e-01,3.260413038e-10
1.756221244e+09,8.625000000e-01,3.124954338e-10
1.756221244e+09,8.250000000e-01,2.993909286e-10
1.756221244e+09,7.875000000e-01,2.867148539e-10
1.756221244e+09,7.500000000e-01,2.744546325e-10
1.756221244e+09,7.125000000e-01,2.625980345e-10
1.756221244e+09,6.750000000e-01,2.511331688e-10
1.756221244e+09,6.375000000e-01,2.400484732e-10
1.756221244e+09,6.000000000e-01,2.293327063e-10
1.756221244e+09,5.625000000e-01,2.189749388e-10
1.756221244e+09,5.250000000e-01,2.089645449e-10
1.756221244e+09,4.875000000e-01,1.992911946e-10
1.756221245e+09,4.500000000e-01,1.899448454e-10
1.756221245e+09,4.125000000e-01,1.809157349e-10
1.756221245e+09,3.750000000e-01,1.721943735e-10
1.756221245e+09,3.375000000e-01,1.637715364e-10
1.756221245e+09,3.000000000e-01,1.556382572e-10
1.756221245e+09,2.625000000e-01,1.477858207e-10
1.756221245e+09,2.250000000e-01,1.402057561e-10
1.756221245e+09,1.875000000e-01,1.328898305e-10
1.756221245e+09,1.500000000e-01,1.258300426e-10
1.756221245e+09,1.125000000e-01,1.190186164e-10
1.756221245e+09,7.500000000e-02,1.124479949e-10
1.756221245e+09,3.750000000e-02,1.061108348e-10
1.756221245e+09,0.000000000e+00,1.000000000e-10
