t_s,V_V,I_A
1.756223823e+09,0.000000000e+00,2.150800000e+04
1.756223823e+09,1.250000000e-02,2.150800000e+04
1.756223823e+09,2.500000000e-02,2.150800000e+04
1.756223823e+09,3.750000000e-02,2.150800000e+04
1.756223823e+09,5.000000000e-02,2.150800000e+04
1.756223823e+09,6.250000000e-02,2.150800000e+04
1.756223823e+09,7.500000000e-02,2.150800000e+04
1.756223823e+09,8.750000000e-02,2.150800000e+04
1.756223824e+09,1.000000000e-01,2.150800000e+04
1.756223824e+09,1.125000000e-01,2.151600000e+04
1.756223824e+09,1.250000000e-01,2.151600000e+04
1.756223824e+09,1.375000000e-01,2.151600000e+04
1.756223824e+09,1.500000000e-01,2.151600000e+04
1.756223824e+09,1.625000000e-01,2.151600000e+04
1.756223824e+09,1.750000000e-01,2.151600000e+04
1.756223824e+09,1.875000000e-01,2.151600000e+04
1.756223825e+09,2.000000000e-01,2.151600000e+04
1.756223825e+09,2.125000000e-01,2.151600000e+04
1.756223825e+09,2.250000000e-01,2.151600000e+04
1.756223825e+09,2.375000000e-01,2.151600000e+04
1.756223825e+09,2.500000000e-01,2.151600000e+04
1.756223825e+09,2.625000000e-01,2.151600000e+04
1.756223825e+09,2.750000000e-01,2.151600000e+04
1.756223825e+09,2.875000000e-01,2.151600000e+04
1.756223826e+09,3.000000000e-01,2.151600000e+04
1.756223826e+09,3.125000000e-01,2.151600000e+04
1.756223826e+09,3.250000000e-01,2.151600000e+04
1.756223826e+09,3.375000000e-01,2.151600000e+04
1.756223826e+09,3.500000000e-01,2.151600000e+04
1.756223826e+09,3.625000000e-01,2.151600000e+04
1.756223826e+09,3.750000000e-01,2.151600000e+04
1.756223826e+09,3.875000000e-01,2.151600000e+04
1.756223826e+09,4.000000000e-01,2.151600000e+04
1.756223827e+09,4.125000000e-01,2.151600000e+04
1.756223827e+09,4.250000000e-01,2.151600000e+04
1.756223827e+09,4.375000000e-01,2.151600000e+04
1.756223827e+09,4.500000000e-01,2.151600000e+04
1.756223827e+09,4.625000000e-01,2.151600000e+04
1.756223827e+09,4.750000000e-01,2.151600000e+04
1.756223827e+09,4.875000000e-01,2.151600000e+04
1.756223827e+09,5.000000000e-01,2.151600000e+04
1.756223828e+09,4.875000000e-01,2.151600000e+04
1.756223828e+09,4.750000000e-01,2.151600000e+04
1.756223828e+09,4.625000000e-01,2.151600000e+04
1.756223828e+09,4.500000000e-01,2.151600000e+04
1.756223828e+09,4.375000000e-01,2.151600000e+04
1.756223828e+09,4.250000000e-01,2.151600000e+04
1.756223828e+09,4.125000000e-01,2.151600000e+04
1.756223828e+09,4.000000000e-01,2.151600000e+04
1.756223829e+09,3.875000000e-01,2.151600000e+04
1.756223829e+09,3.750000000e-01,2.151600000e+04
1.756223829e+09,3.625000000e-01,2.151600000e+04
1.756223829e+09,3.500000000e-01,2.151600000e+04
1.756223829e+09,3.375000000e-01,2.151600000e+04
1.756223829e+09,3.250000000e-01,2.151600000e+04
1.756223829e+09,3.125000000e-01,2.151600000e+04
1.756223829e+09,3.000000000e-01,2.151600000e+04
1.756223829e+09,2.875000000e-01,2.151600000e+04
1.756223830e+09,2.750000000e-01,2.151600000e+04
1.756223830e+09,2.625000000e-01,2.151600000e+04
1.756223830e+09,2.500000000e-01,2.151600000e+04
1.756223830e+09,2.375000000e-01,2.151600000e+04
1.756223830e+09,2.250000000e-01,2.151600000e+04
1.756223830e+09,2.125000000e-01,2.151600000e+04
1.756223830e+09,2.000000000e-01,2.151600000e+04
1.756223830e+09,1.875000000e-01,2.151600000e+04
1.756223831e+09,1.750000000e-01,2.151600000e+04
1.756223831e+09,1.625000000e-01,2.151600000e+04
1.756223831e+09,1.500000000e-01,2.151600000e+04
1.756223831e+09,1.375000000e-01,2.151600000e+04
1.756223831e+09,1.250000000e-01,2.151600000e+04
1.756223831e+09,1.125000000e-01,2.151600000e+04
1.756223831e+09,1.000000000e-01,2.150800000e+04
1.756223831e+09,8.750000000e-02,2.150800000e+04
1.756223832e+09,7.500000000e-02,2.150800000e+04
1.756223832e+09,6.250000000e-02,2.150800000e+04
1.756223832e+09,5.000000000e-02,2.150800000e+04
1.756223832e+09,3.750000000e-02,2.150800000e+04
1.756223832e+09,2.500000000e-02,2.150800000e+04
1.756223832e+09,1.250000000e-02,2.150800000e+04
1.756223832e+09,0.000000000e+00,2.150800000e+04
