feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,33,12637.82,126.85,1955.17,339.8,-14.9833,14.9686
2,15,5744.46,85.52,7249.84,433.14,-8.6766,8.6619
3,10,3829.64,69.83,5246.58,446.18,-6.7887,6.7741
4,5,1914.82,49.38,7804.31,477.5,-5.3284,5.3138
5,11,4212.61,73.24,6714.11,560.4,-7.4989,7.4843
6,26,9957.07,112.6,3912.39,594.61,-8.9092,8.8946
7,16,6127.43,88.33,9307.73,650.68,-7.7631,7.7485
8,36,13786.71,132.49,6204.07,723.53,-10.622,10.6074
9,32,12254.86,124.91,3217.34,818.86,-9.3408,9.3261
10,15,5744.46,85.52,664.06,878.02,-9.1026,9.088
11,6,2297.79,54.09,2619.05,857.8,-6.7849,6.7703
14,21,8042.25,101.19,1451.87,1072.59,-8.3937,8.379
15,9,3446.68,66.25,6751.47,1056.75,-6.8536,6.8389
16,14,5361.5,82.62,1969.53,1100.08,-8.4663,8.4517
17,92,35232.71,211.8,7192.21,1252.45,-10.4879,10.4733
19,31,11871.89,122.95,4129.16,1240.45,-9.7533,9.7387
21,27,10340.03,114.74,6175.26,1246.65,-8.9371,8.9225
22,12,4595.57,76.49,2778.86,1242.66,-7.5177,7.503
23,52,19914.14,159.23,5292.04,1311.53,-9.2868,9.2721
24,5,1914.82,49.38,5115.46,1326.81,-5.8184,5.8038
25,15,5744.46,85.52,7956.95,1348.99,-7.8714,7.8567
26,18,6893.36,93.69,2501.63,1456.84,-8.1464,8.1318
27,43,16467.46,144.8,8312.93,1514.59,-11.2581,11.2435
28,33,12637.82,126.85,656.47,1580.38,-10.0566,10.042
29,30,11488.93,120.95,8024.79,1583.82,-9.3302,9.3155
30,28,10723.0,116.85,3874.06,1595.61,-9.6971,9.6825
34,30,11488.93,120.95,3570.12,1774.3,-8.7367,8.7221
35,28,10723.0,116.85,5799.55,1803.19,-8.7082,8.6936
36,17,6510.39,91.05,4399.68,1855.65,-8.1575,8.1428
37,29,11105.96,118.91,4803.29,1872.6,-8.6212,8.6066
38,17,6510.39,91.05,2986.07,1920.11,-8.8117,8.7971
39,31,11871.89,122.95,6528.63,1942.43,-10.8586,10.8439
40,6,2297.79,54.09,9076.97,1921.07,-6.6645,6.6499
41,15,5744.46,85.52,878.02,1972.6,-8.3699,8.3553
43,10,3829.64,69.83,2045.01,1953.03,-6.6221,6.6075
45,20,7659.28,98.75,3152.64,2132.09,-8.3602,8.3456
46,42,16084.5,143.11,2533.78,2249.09,-10.579,10.5643
47,7,2680.75,58.42,4369.58,2230.92,-6.7184,6.7038
48,7,2680.75,58.42,9586.25,2225.33,-6.3196,6.305
50,5,1914.82,49.38,2919.77,2238.75,-5.0535,5.0388
51,11,4212.61,73.24,1259.56,2326.99,-6.7337,6.7191
52,21,8042.25,101.19,2131.21,2364.18,-8.4971,8.4825
