feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,35,13403.75,130.64,8046.41,372.38,6.62,6.6346
6,23,8808.18,105.9,8542.5,554.75,5.8959,5.9106
9,25,9574.11,110.41,8890.02,754.6,6.2381,6.2528
11,6,2297.79,54.09,9585.78,724.07,5.0608,5.0754
12,7,2680.75,58.42,9678.5,777.19,5.3184,5.333
18,19,7276.32,96.25,9157.48,2093.93,5.8845,5.8991
19,10,3829.64,69.83,9299.41,2207.44,5.4074,5.4221
22,26,9957.07,112.6,9180.34,5736.11,5.8759,5.8906
24,13,4978.53,79.62,9328.62,6143.31,5.6699,5.6845
26,14,5361.5,82.62,8361.76,6400.62,5.7871,5.8018
27,59,22594.89,169.61,7310.69,7794.29,6.8029,6.8175
28,5,1914.82,49.38,7757.34,7851.27,5.2308,5.2454
30,6,2297.79,54.09,3714.94,9008.48,5.2494,5.264
