feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,38,3638.16,68.06,1318.62,319.55,-3.2403,3.2118
2,101,9669.85,110.96,3238.75,370.66,-3.2042,3.1757
3,15,1436.12,42.76,323.55,345.08,-2.2588,2.2303
5,91,8712.44,105.32,1589.75,460.74,-2.7284,2.6999
6,27,2585.01,57.37,2598.03,433.07,-2.4506,2.4221
8,7,670.19,29.21,3990.77,479.45,-1.897,1.8685
13,38,3638.16,68.06,2535.02,692.4,-3.0536,3.0251
14,15,1436.12,42.76,2590.35,711.68,-2.2799,2.2514
15,58,5552.98,84.08,1959.65,750.73,-3.4815,3.453
17,9,861.67,33.12,611.0,802.35,-2.2704,2.2419
19,51,4882.79,78.85,329.23,949.5,-3.1596,3.1311
20,5,478.71,24.69,2336.59,931.51,-1.8461,1.8176
21,5,478.71,24.69,3381.6,980.43,-1.826,1.7975
22,12,1148.89,38.25,3729.62,1003.75,-2.6275,2.599
24,12,1148.89,38.25,1004.57,1048.6,-2.2426,2.2141
30,183,17520.61,149.36,4287.0,1295.06,-3.711,3.6826
32,6,574.45,27.04,2500.0,1237.77,-2.2774,2.2489
38,49,4691.31,77.29,3506.73,1385.64,-3.053,3.0245
39,14,1340.37,41.31,4363.29,1361.48,-2.1444,2.1159
42,49,4691.31,77.29,4214.43,1678.58,-2.8753,2.8468
43,49,4691.31,77.29,3325.41,1719.52,-3.1157,3.0872
44,75,7180.58,95.62,1436.27,1825.05,-3.1572,3.1287
45,5,478.71,24.69,3242.66,1782.78,-2.0131,1.9846
46,20,1914.82,49.38,819.96,1868.88,-2.7104,2.6819
49,96,9191.14,108.18,347.46,1941.76,-3.2151,3.1866
50,12,1148.89,38.25,866.76,1900.68,-2.1982,2.1697
55,23,2202.04,52.95,2660.17,2027.14,-3.2703,3.2418
56,10,957.41,34.91,2712.33,2020.55,-2.369,2.3405
57,21,2010.56,50.6,4383.1,2015.19,-2.6951,2.6666
62,175,16754.68,146.06,2465.42,2164.16,-3.8187,3.7902
63,165,15797.27,141.82,3621.24,2161.83,-4.1468,4.1183
68,7,670.19,29.21,387.2,2279.84,-1.8622,1.8337
72,19,1819.08,48.13,4493.77,2340.1,-2.557,2.5285
73,137,13116.52,129.23,1940.59,2369.19,-3.8993,3.8708
79,50,4787.05,78.07,1784.15,2479.65,-2.1347,2.1062
81,20,1914.82,49.38,3935.42,2525.44,-2.6004,2.5719
82,266,25467.12,180.07,1763.05,2632.87,-4.6758,4.6473
86,5,478.71,24.69,1150.68,2604.7,-1.9439,1.9154
90,56,5361.5,82.62,3013.52,2740.6,-3.0983,3.0698
93,12,1148.89,38.25,3081.38,2770.71,-2.8183,2.7898
94,52,4978.53,79.62,3491.83,2794.29,-2.5996,2.5711
96,5,478.71,24.69,1757.34,2845.4,-1.8976,1.8691
97,172,16467.46,144.8,387.18,2957.66,-4.0273,3.9988
101,48,4595.57,76.49,2038.08,3078.52,-3.1198,3.0913
102,28,2680.75,58.42,2105.81,3094.42,-2.5143,2.4858
105,17,1627.6,45.52,1400.37,3266.95,-2.8471,2.8186
106,8,765.93,31.23,1450.59,3265.66,-2.1409,2.1124
109,7,670.19,29.21,3129.72,3310.04,-1.9794,1.9509
110,19,1819.08,48.13,848.18,3336.08,-2.1039,2.0754
111,5,478.71,24.69,1430.53,3313.11,-2.029,2.0005
112,26,2489.27,56.3,3848.79,3355.79,-2.7246,2.6961
113,10,957.41,34.91,3900.2,3352.25,-1.9436,1.9151
115,24,2297.79,54.09,3352.9,3405.9,-2.7693,2.7408
118,36,3446.68,66.25,519.13,3550.5,-3.0532,3.0247
120,17,1627.6,45.52,4137.79,3575.46,-2.0558,2.0273
122,72,6893.36,93.69,3136.14,3734.78,-2.8004,2.7719
123,23,2202.04,52.95,4166.17,3731.39,-2.616,2.5875
124,11,1053.15,36.62,3232.52,3746.66,-2.0188,1.9903
130,97,9286.88,108.74,2227.99,3924.08,-3.2429,3.2144
131,85,8137.99,101.79,1540.35,3944.28,-3.2996,3.2711
135,67,6414.65,90.37,3893.74,4188.31,-3.1211,3.0926
136,79,7563.54,98.13,898.34,4225.15,-2.6565,2.628
138,139,13308.01,130.17,4554.34,4392.5,-3.5915,3.563
140,72,6893.36,93.69,1480.48,4424.87,-3.0001,2.9716
141,69,6606.13,91.71,3187.55,4427.81,-2.624,2.5956
143,76,7276.32,96.25,2414.77,4522.99,-2.796,2.7675
144,97,9286.88,108.74,970.3,4622.53,-3.4084,3.3799
146,7,670.19,29.21,1027.4,4691.08,-2.219,2.1905
