feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,431,41264.39,229.21,3675.04,457.88,8.5585,8.5626
3,18,1723.34,46.84,4369.97,663.73,2.9335,2.9376
4,6,574.45,27.04,4334.64,709.39,2.1881,2.1922
5,15,1436.12,42.76,2754.73,823.22,4.7192,4.7233
6,9,861.67,33.12,2720.16,861.06,2.8442,2.8483
8,133,12733.56,127.33,964.5,951.03,4.3222,4.3263
10,30,2872.23,60.47,2554.14,1326.16,3.4291,3.4332
11,5,478.71,24.69,2504.89,1379.65,1.7743,1.7784
12,12,1148.89,38.25,4686.07,1386.17,2.5761,2.5802
13,5,478.71,24.69,2538.16,1405.09,1.8032,1.8073
17,73,6989.1,94.33,1893.55,1811.92,3.4538,3.4579
19,50,4787.05,78.07,326.81,2052.64,4.9744,4.9785
20,23,2202.04,52.95,4391.64,2156.47,2.0952,2.0993
25,531,50838.5,254.42,1771.66,2599.46,11.4431,11.4472
26,153,14648.38,136.57,2420.92,2590.84,4.3594,4.3635
28,141,13499.49,131.1,3055.06,2652.15,4.4075,4.4116
29,38,3638.16,68.06,4214.13,2791.74,3.4725,3.4766
30,9,861.67,33.12,4153.08,2854.97,2.147,2.1511
39,11,1053.15,36.62,987.37,3734.21,2.2935,2.2976
41,7,670.19,29.21,4190.66,3757.34,2.4644,2.4685
42,8,765.93,31.23,4148.73,3811.15,2.3932,2.3973
43,55,5265.76,81.88,1843.09,3848.78,4.2658,4.2699
44,25,2393.53,55.2,1906.07,3891.59,3.7779,3.782
45,8,765.93,31.23,3184.93,4036.2,2.2027,2.2067
46,10,957.41,34.91,2915.85,4352.25,2.353,2.3571
48,108,10340.03,114.74,4149.45,4644.31,3.5405,3.5446
