12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005
3.2118	2.5743	2.4772	1.7829	1.9226
3.1757	2.6443	2.2889	2.1137	2.0648
2.2303	2.5512	1.7084	1.8396	2.0475
2.6999	2.6616	2.0879	1.8639	2.209
2.4221	3.05	1.9234	2.0724	2.1192
1.8685	2.6024	1.7457	1.951	1.7106
3.0251	2.6357	1.5807	2.1667	1.872
2.2514	3.288	1.7735	1.7697	2.0761
3.453	2.7059	2.3427	2.1082	1.8764
2.2419	3.0378	1.8451	1.9515	1.821
3.1311	2.4304	2.5735	1.6058	
1.8176	3.031	2.2338	1.7053	
1.7975	3.1867	1.4734	2.4108	
2.599	2.612	1.8112	2.0731	
2.2141	2.9815	1.779	1.851	
3.6826	2.6514	2.4064	1.8728	
2.2489	2.9111	2.1514	2.3446	
3.0245	2.9571	1.6253	1.7598	
2.1159	2.7562	1.5741	2.2082	
2.8468	2.9516	2.4275	1.814	
3.0872	3.1242	1.7306	1.705	
3.1287	2.993	1.6843	2.1981	
1.9846	2.8899	2.3065	1.7723	
2.6819	3.4243	2.0452	2.1882	
3.1866	2.7422	1.7523	2.0505	
2.1697	2.7194	1.9885	1.8569	
3.2418	2.4714	1.9083	2.5095	
2.3405		1.6508	1.996	
2.6666		1.594	1.7108	
3.7902		1.8983	2.1273	
4.1183		2.1053	1.903	
1.8337		2.0609	2.173	
2.5285		2.4652	2.0286	
3.8708		1.5143	2.0804	
2.1062		1.913	1.8639	
2.5719		1.6512	1.7792	
4.6473		1.8047	1.6684	
1.9154		2.2868	1.775	
3.0698		1.9944	2.0112	
2.7898		1.7597	1.7762	
2.5711		2.9318	1.794	
1.8691		1.6926	2.6156	
3.9988		2.5138	1.6999	
3.0913		2.3905	1.8277	
2.4858		1.5011	1.8807	
2.8186		2.5912	1.8062	
2.1124		1.4438	1.6068	
1.9509		1.6544		
2.0754		1.9382		
2.0005		1.8437		
2.6961		1.908		
1.9151		2.0265		
2.7408		2.4311		
3.0247		2.7529		
2.0273		1.6997		
2.7719		2.0091		
2.5875		2.6277		
1.9903		1.927		
3.2144		2.2531		
3.2711		1.8433		
3.0926		1.712		
2.628		2.1466		
3.563		1.5538		
2.9716		1.4869		
2.5956		1.4571		
2.7675				
3.3799				
2.1905				
