12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005
68.06	27.04	149.36	27.04	36.62
110.96	24.69	105.9	61.47	72.4
42.76	38.25	31.23	29.21	34.91
105.32	24.69	55.2	31.23	84.08
57.37	34.91	42.76	68.95	27.04
29.21	33.12	31.23	34.91	24.69
68.06	31.23	31.23	39.81	24.69
42.76	65.32	24.69	27.04	57.37
84.08	29.21	77.29	52.95	27.04
33.12	46.84	62.46	33.12	33.12
78.85	27.04	78.85	24.69	
24.69	41.31	54.09	27.04	
24.69	48.13	24.69	77.29	
38.25	24.69	36.62	62.46	
38.25	86.23	29.21	24.69	
149.36	29.21	70.7	34.91	
27.04	39.81	70.7	64.38	
77.29	49.38	24.69	29.21	
41.31	24.69	33.12	46.84	
77.29	58.42	106.47	24.69	
77.29	68.95	48.13	24.69	
95.62	34.91	24.69	64.38	
24.69	34.91	103.57	24.69	
49.38	57.37	69.83	56.3	
108.18	55.2	39.81	65.32	
38.25	31.23	62.46	29.21	
52.95	24.69	45.52	112.05	
34.91		34.91	71.55	
50.6		24.69	51.79	
146.06		39.81	66.25	
141.82		61.47	36.62	
29.21		52.95	46.84	
48.13		60.47	42.76	
129.23		24.69	52.95	
78.07		62.46	45.52	
49.38		29.21	24.69	
180.07		29.21	24.69	
24.69		59.46	31.23	
82.62		77.29	55.2	
38.25		38.25	29.21	
79.62		139.66	31.23	
24.69		36.62	95.62	
144.8		78.07	36.62	
76.49		98.13	46.84	
58.42		29.21	33.12	
45.52		113.14	33.12	
31.23		24.69	24.69	
29.21		33.12		
48.13		77.29		
24.69		51.79		
56.3		39.81		
34.91		41.31		
54.09		91.05		
66.25		71.55		
45.52		36.62		
93.69		48.13		
52.95		39.81		
36.62		36.62		
108.74		51.79		
101.79		44.16		
90.37		36.62		
98.13		123.93		
130.17		34.91		
93.69		24.69		
91.71		27.04		
96.25				
108.74				
29.21				
