12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005
44.16	361.66	164.88	34.91	229.21
41.31	49.38	27.04	54.09	46.84
29.21	80.38	39.81	33.12	27.04
33.12	74.88	31.23	72.4	42.76
29.21		149.36	31.23	33.12
27.04		24.69	24.69	127.33
29.21		44.16	34.91	60.47
24.69		29.21	24.69	24.69
34.91		27.04	34.91	38.25
24.69		31.23	45.52	24.69
33.12		91.71	44.16	94.33
31.23		24.69	46.84	78.07
29.21		93.03	228.95	52.95
46.84		24.69	27.04	254.42
29.21		24.69	27.04	136.57
33.12		39.81	24.69	131.1
24.69		39.81	36.62	68.06
24.69		27.04	46.84	33.12
24.69		41.31	29.21	36.62
33.12		39.81	42.76	29.21
55.2		59.46	38.25	31.23
29.21		45.52	33.12	81.88
71.55		33.12	36.62	55.2
24.69		27.04	68.06	31.23
31.23		49.38	42.76	34.91
27.04		52.95	31.23	114.74
63.43		24.69	72.4	
24.69		45.52	27.04	
39.81		29.21	139.66	
29.21		52.95	31.23	
31.23		24.69	52.95	
89.01		29.21		
		36.62		
		34.91		
		24.69		
		86.94		
		45.52		
		24.69		
		38.25		
		27.04		
		61.47		
		84.81		
		29.21		
		55.2		
		67.16		
		68.95		
		33.12		
		29.21		
		24.69		
		31.23		
