12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005
3.0295	19.2528	2.6579	2.4272	8.5626
1.8678	4.8855	1.614	3.6829	2.9376
1.933	5.6988	2.4765	2.0304	2.1922
1.6833	4.7872	1.6567	4.5322	4.7233
1.8155		5.1982	2.0798	2.8483
1.7074		2.0454	1.8718	4.3263
1.817		1.6365	1.7559	3.4332
1.7428		1.5795	2.5584	1.7784
1.8938		1.6853	2.1645	2.5802
1.6282		1.8992	2.4118	1.8073
1.7715		4.8671	2.2993	3.4579
1.8953		1.8118	3.1424	4.9785
3.4645		1.908	15.8462	2.0993
2.5935		1.6064	1.88	11.4472
2.4415		1.6267	2.133	4.3635
1.7687		1.8069	1.8293	4.4116
1.7774		2.8778	3.0312	3.4766
1.7276		1.5018	1.9255	2.1511
1.8795		2.1916	1.8069	2.2976
1.8768		1.9449	2.324	2.4685
2.0474		3.21	2.9716	2.3973
1.9889		2.7525	1.7133	4.2699
2.1806		1.5875	1.6905	3.782
1.8059		1.6691	3.5082	2.2067
1.712		1.8056	1.7645	2.3571
1.8486		1.699	1.8273	3.5446
2.2719		1.6111	2.2538	
1.8804		2.4437	1.7334	
2.0731		2.7034	4.3957	
1.7329		3.2107	2.1416	
1.6906		1.4985	2.7533	
7.6635		1.7131		
		1.5859		
		1.9233		
		1.5721		
		4.0445		
		2.6685		
		1.5809		
		1.6609		
		1.6168		
		2.9733		
		3.4113		
		1.9995		
		3.5774		
		2.105		
		1.9796		
		1.5564		
		1.5319		
		1.6536		
		1.6376		
