12_Hour_Tg	12_Hour_intitial	No_Anneal
3.2118	14.9686	3.738
3.1757	8.6619	3.2409
2.2303	6.7741	3.5449
2.6999	5.3138	3.3432
2.4221	7.4843	3.4259
1.8685	8.8946	3.0281
3.0251	7.7485	4.0065
2.2514	10.6074	4.3283
3.453	9.3261	2.4561
2.2419	9.088	2.7902
3.1311	6.7703	2.7987
1.8176	8.379	2.358
1.7975	6.8389	3.2912
2.599	8.4517	2.3242
2.2141	10.4733	3.9875
3.6826	9.7387	3.4735
2.2489	8.9225	3.851
3.0245	7.503	2.6169
2.1159	9.2721	4.4785
2.8468	5.8038	4.0791
3.0872	7.8567	2.4183
3.1287	8.1318	3.1271
1.9846	11.2435	3.2748
2.6819	10.042	2.9182
3.1866	9.3155	4.5227
2.1697	9.6825	2.8906
3.2418	8.7221	3.3516
2.3405	8.6936	2.7931
2.6666	8.1428	2.7047
3.7902	8.6066	3.1949
4.1183	8.7971	5.8074
1.8337	10.8439	2.5466
2.5285	6.6499	2.557
3.8708	8.3553	3.0688
2.1062	6.6075	2.6781
2.5719	8.3456	2.1045
4.6473	10.5643	3.0923
1.9154	6.7038	3.6545
3.0698	6.305	2.5126
2.7898	5.0388	2.838
2.5711	6.7191	2.4766
1.8691	8.4825	2.048
3.9988	9.6227	2.931
3.0913	8.1254	3.7616
2.4858	12.419	3.307
2.8186	10.983	2.7016
2.1124	6.1963	1.8721
1.9509	6.344	2.3993
2.0754	9.2721	2.9322
2.0005	9.7351	2.5118
2.6961	7.2552	2.8016
1.9151	7.4666	2.7144
2.7408	6.694	3.1376
3.0247	10.0798	2.387
2.0273	7.105	3.4001
2.7719	8.2313	3.2855
2.5875	8.7824	2.561
1.9903	6.4367	2.5685
3.2144	6.4733	2.88
3.2711	9.0613	3.2695
3.0926	5.5245	2.4444
2.628	7.4184	3.1102
3.563	6.6204	3.4576
2.9716	6.1491	3.0526
2.5956	14.66	3.1919
2.7675	12.1144	2.4406
3.3799	9.516	2.1552
2.1905	7.1877	2.7867
2.5743	10.2159	3.6938
2.6443	11.267	2.0634
2.5512	7.2726	2.7599
2.6616	7.1545	2.0205
3.05	8.8427	2.0747
2.6024	5.5111	4.6735
2.6357	11.6685	3.1238
3.288	10.7309	4.053
2.7059	9.1423	3.3351
3.0378	7.439	2.9644
2.4304	6.6181	2.1093
3.031	7.9129	2.0506
3.1867	10.4439	1.9199
