12_Hour_Tg	12_Hour_intitial	No_Anneal
68.06	126.85	71.55
110.96	85.52	41.31
42.76	69.83	33.12
105.32	49.38	57.37
57.37	73.24	68.06
29.21	112.6	38.25
68.06	88.33	39.81
42.76	132.49	94.33
84.08	124.91	24.69
33.12	85.52	39.81
78.85	54.09	36.62
24.69	101.19	33.12
24.69	66.25	68.06
38.25	82.62	24.69
38.25	211.8	52.95
149.36	122.95	51.79
27.04	114.74	66.25
77.29	76.49	33.12
41.31	159.23	86.23
77.29	49.38	104.16
77.29	85.52	24.69
95.62	93.69	33.12
24.69	144.8	52.95
49.38	126.85	29.21
108.18	120.95	87.63
38.25	116.85	24.69
52.95	120.95	59.46
34.91	116.85	24.69
50.6	91.05	34.91
146.06	118.91	52.95
141.82	91.05	190.6
29.21	122.95	27.04
48.13	54.09	24.69
129.23	85.52	46.84
78.07	69.83	24.69
49.38	98.75	27.04
180.07	143.11	49.38
24.69	58.42	66.25
82.62	58.42	27.04
38.25	49.38	50.6
79.62	73.24	27.04
24.69	101.19	41.31
144.8	98.75	60.47
76.49	85.52	73.24
58.42	151.39	63.43
45.52	130.64	58.42
31.23	54.09	27.04
29.21	79.62	27.04
48.13	91.05	71.55
24.69	118.91	46.84
56.3	66.25	66.25
34.91	73.24	38.25
54.09	73.24	56.3
66.25	151.39	31.23
45.52	69.83	66.25
93.69	85.52	74.06
52.95	91.05	24.69
36.62	62.46	38.25
108.74	58.42	52.95
101.79	96.25	54.09
90.37	73.24	42.76
98.13	85.52	41.31
130.17	66.25	70.7
93.69	54.09	70.7
91.71	186.06	72.4
96.25	149.77	42.76
108.74	116.85	27.04
29.21	82.62	60.47
27.04	116.85	86.23
24.69	128.76	67.16
38.25	82.62	50.6
24.69	85.52	39.81
34.91	85.52	24.69
33.12	54.09	387.53
31.23	139.66	64.38
65.32	116.85	74.06
29.21	128.76	63.43
46.84	96.25	51.79
27.04	54.09	52.95
41.31	82.62	33.12
48.13	165.24	27.04
24.69	91.05	64.38
86.23	126.85	50.6
29.21	58.42	94.98
39.81	58.42	31.23
49.38	110.41	24.69
24.69	76.49	38.25
58.42	120.95	78.85
68.95	88.33	61.47
34.91	54.09	38.25
34.91	96.25	70.7
57.37	112.6	45.52
55.2	76.49	59.46
31.23	91.05	55.2
24.69	85.52	34.91
149.36	96.25	58.42
105.9	143.11	29.21
31.23	54.09	104.74
55.2	146.47	60.47
42.76	85.52	51.79
31.23	49.38	27.04
31.23	54.09	34.91
24.69	91.05	42.76
77.29	108.18	46.84
62.46	93.69	97.51
78.85	103.57	63.43
54.09	101.19	67.16
24.69	137.9	148.13
36.62	54.09	55.2
29.21	103.57	158.08
70.7	69.83	24.69
70.7	103.57	36.62
24.69	118.91	75.69
33.12	108.18	27.04
106.47	62.46	50.6
48.13	114.74	44.16
24.69	91.05	52.95
103.57	66.25	33.12
69.83	79.62	24.69
39.81	124.91	44.16
62.46	54.09	31.23
45.52	54.09	52.95
34.91	88.33	50.6
24.69	201.17	29.21
39.81	82.62	46.84
61.47	54.09	118.4
52.95	126.85	34.91
60.47	76.49	62.46
24.69	79.62	36.62
62.46	82.62	68.95
29.21	69.83	31.23
29.21	88.33	52.95
59.46	186.06	24.69
77.29	120.95	41.31
38.25	126.85	44.16
139.66	76.49	24.69
36.62	626.52	31.23
78.07	114.74	68.06
98.13	62.46	29.21
29.21	58.42	24.69
113.14	93.69	62.46
24.69	54.09	29.21
33.12	197.51	24.69
77.29	73.24	38.25
51.79	69.83	36.62
39.81	118.91	64.38
41.31	91.05	59.46
91.05	393.77	80.38
71.55	88.33	57.37
36.62	376.04	110.41
48.13	58.42	24.69
39.81	82.62	29.21
36.62	49.38	54.09
51.79	62.46	83.36
44.16	69.83	81.13
36.62	54.09	81.88
123.93	69.83	49.38
34.91	96.25	31.23
24.69	112.6	29.21
27.04	116.85	63.43
27.04	73.24	27.04
61.47	85.52	24.69
29.21	88.33	69.83
31.23	73.24	66.25
68.95	264.06	49.38
34.91	58.42	38.25
