12_Hour_Tg	12_Hour_intitial	No_Anneal
44.16	130.64	29.21
41.31	105.9	27.04
29.21	110.41	170.33
33.12	54.09	38.25
29.21	58.42	27.04
27.04	96.25	31.23
29.21	69.83	31.23
24.69	112.6	29.21
34.91	79.62	24.69
24.69	82.62	29.21
33.12	169.61	79.62
31.23	49.38	31.23
29.21	54.09	52.95
46.84		471.93
29.21		31.23
33.12		31.23
24.69		24.69
24.69		38.25
24.69		33.12
33.12		173.52
55.2		41.31
29.21		46.84
71.55		24.69
24.69		41.31
31.23		60.47
27.04		29.21
63.43		27.04
24.69		31.23
39.81		29.21
29.21		24.69
31.23		34.91
89.01		29.21
361.66		42.76
49.38		24.69
80.38		70.7
74.88		67.16
164.88		74.88
27.04		29.21
39.81		31.23
31.23		24.69
149.36		108.74
24.69		33.12
44.16		24.69
29.21		24.69
27.04		33.12
31.23		27.04
91.71		29.21
24.69		24.69
93.03		114.74
24.69		70.7
24.69		64.38
39.81		247.62
39.81		50.6
27.04		31.23
41.31		86.23
39.81		319.04
59.46		36.62
45.52		31.23
33.12		75.69
27.04		39.81
49.38		100.59
52.95		57.37
24.69		33.12
45.52		29.21
29.21		45.52
52.95		31.23
24.69		46.84
29.21		27.04
36.62		441.64
34.91		33.12
24.69		24.69
86.94		27.04
45.52		31.23
24.69		111.51
38.25		27.04
27.04		41.31
61.47		168.53
84.81		119.93
29.21		78.07
55.2		33.12
67.16		104.74
68.95		31.23
33.12		33.12
29.21		56.3
24.69		24.69
31.23		66.25
34.91		66.25
54.09		48.13
33.12		31.23
72.4		31.23
31.23		46.84
24.69		31.23
34.91		39.81
24.69		192.5
34.91		24.69
45.52		29.21
44.16		38.25
46.84		152.59
228.95		44.16
27.04		24.69
27.04		38.25
24.69		91.71
36.62		31.23
46.84		50.6
29.21		96.25
42.76		31.23
38.25		86.23
33.12		29.21
36.62		24.69
68.06		24.69
42.76		27.04
31.23		398.7
72.4		31.23
27.04		24.69
139.66		24.69
31.23		194.08
52.95		31.23
229.21		33.12
46.84		705.49
27.04		31.23
42.76		24.69
33.12		31.23
127.33		31.23
60.47		59.46
24.69		34.91
38.25		68.95
24.69		45.52
94.33		24.69
78.07		51.79
52.95		24.69
254.42		27.04
136.57		33.12
131.1		123.93
68.06		117.37
33.12		72.4
36.62		116.32
29.21		61.47
31.23		41.31
81.88		184.42
55.2		31.23
31.23		46.84
34.91		24.69
114.74		77.29
		39.81
		33.12
		56.3
		24.69
		29.21
		24.69
		27.04
		333.98
		29.21
		24.69
		44.16
		39.81
		27.04
		24.69
		24.69
		38.25
		55.2
		24.69
		89.01
		27.04
		24.69
		36.62
		29.21
		27.04
		27.04
		49.38
		38.25
		51.79
		79.62
		29.21
		24.69
		31.23
		42.76
		27.04
		38.25
