12_Hour_Tg	12_Hour_intitial	No_Anneal
3.0295	6.6346	2.2977
1.8678	5.9106	2.288
1.933	6.2528	2.7028
1.6833	5.0754	2.4611
1.8155	5.333	2.3711
1.7074	5.8991	2.3092
1.817	5.4221	2.2919
1.7428	5.8906	2.3626
1.8938	5.6845	2.261
1.6282	5.8018	2.3618
1.7715	6.8175	2.7458
1.8953	5.2454	2.4746
3.4645	5.264	2.559
2.5935		4.2935
2.4415		2.5257
1.7687		2.4024
1.7774		2.2778
1.7276		2.0296
1.8795		1.9906
1.8768		2.4465
2.0474		2.1029
1.9889		1.9523
2.1806		1.9283
1.8059		2.1567
1.712		1.927
1.8486		1.9467
2.2719		1.8802
1.8804		1.9952
2.0731		1.9162
1.7329		1.929
1.6906		1.9845
7.6635		1.8696
19.2528		2.137
4.8855		1.8614
5.6988		2.2377
4.7872		2.053
2.6579		2.2329
1.614		1.9611
2.4765		1.8667
1.6567		1.9334
5.1982		2.1973
2.0454		1.9479
1.6365		1.913
1.5795		1.9783
1.6853		1.934
1.8992		2.1974
4.8671		1.8917
1.8118		1.9599
1.908		2.3752
1.6064		2.2247
1.6267		2.2076
1.8069		2.8255
2.8778		2.0564
1.5018		1.9581
2.1916		2.4039
1.9449		3.0119
3.21		2.0709
2.7525		2.1895
1.5875		2.3853
1.6691		2.1733
1.8056		2.4208
1.699		2.2632
1.6111		2.0689
2.4437		2.042
2.7034		2.1999
3.2107		2.1527
1.4985		2.1877
1.7131		2.251
1.5859		3.3527
1.9233		2.0523
1.5721		2.1098
4.0445		2.0696
2.6685		2.1311
1.5809		2.3111
1.6609		2.1815
1.6168		2.2281
2.9733		2.6937
3.4113		2.2019
1.9995		2.3173
3.5774		1.8414
2.105		2.3197
1.9796		1.9059
1.5564		2.0525
1.5319		1.9562
1.6536		1.8279
1.6376		2.1451
2.4272		2.2663
3.6829		2.0853
2.0304		1.861
4.5322		1.8612
2.0798		1.9776
1.8718		2.0395
1.7559		2.0922
2.5584		2.5701
2.1645		1.9794
2.4118		1.9373
2.2993		2.1283
3.1424		2.384
15.8462		2.2229
1.88		2.1078
2.133		2.2547
1.8293		2.242
3.0312		2.1286
1.9255		2.1084
1.8069		2.2417
2.324		2.0165
2.9716		2.4453
1.7133		1.9527
1.6905		2.0308
3.5082		2.0021
1.7645		2.216
1.8273		5.2776
2.2538		2.3579
1.7334		2.3409
4.3957		2.2814
2.1416		2.8764
2.7533		2.2879
8.5626		2.3871
2.9376		4.014
2.1922		2.3376
4.7233		2.176
2.8483		2.4584
4.3263		2.2787
3.4332		2.5051
1.7784		2.3916
2.5802		2.5265
1.8073		2.4017
3.4579		2.3377
4.9785		2.4614
2.0993		2.2696
11.4472		2.4414
4.3635		1.9586
4.4116		2.4969
3.4766		2.5305
2.1511		2.4418
2.2976		2.2101
2.4685		2.1844
2.3973		2.2164
4.2699		2.5425
3.782		2.1541
2.2067		2.1963
2.3571		2.0145
3.5446		2.2239
		2.045
		2.0715
		2.0613
		2.0866
		2.0373
		1.9427
		2.1017
		3.2574
		2.0859
		2.0398
		2.142
		2.1279
		2.192
		1.9702
		1.9871
		2.053
		2.4188
		2.0124
		2.3471
		2.1325
		2.0015
		1.9892
		2.0413
		2.0998
		2.065
		2.2131
		2.0183
		2.1751
		2.3909
		2.1784
		2.0465
		2.0601
		2.2702
		2.1336
		2.1666
