No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
3.738	2.1045	2.1272	3.5216	3.4563	2.4579	3.9456	3.5995	2.4684	3.9478
3.2409	3.0923	2.142	2.788	3.9752	3.287	2.8939	3.8559	3.715	2.2387
3.5449	3.6545	2.1979	2.0464	2.2137	3.3573	2.5004	3.6026	2.5895	3.247
3.3432	2.5126	2.0044	2.433	1.9426	3.672	2.5584	2.639	3.1619	2.1907
3.4259	2.838	3.1232	2.7116	2.003	2.1312	2.9227	3.9198	2.9922	2.1126
3.0281	2.4766	2.9935	2.4746	2.6418	1.9967	2.5192	3.018	3.4511	4.3426
4.0065	2.048	3.1567	3.2141	2.1502	3.7263	2.9794	2.8054	2.4554	2.1212
4.3283	2.931	2.9552	2.4567	2.006	2.0752	2.7845	2.9401	3.3209	2.1782
2.4561	3.7616	2.3572	3.1502	2.4906	2.3055	3.1667	2.6681	3.1464	2.9602
2.7902	3.307	2.9828	4.258	2.1219	2.9138	3.7381	2.5481	3.365	3.1152
2.7987	2.7016	1.9366	2.656	2.3507	2.0132	4.2035	2.7203	3.217	2.6386
2.358	1.8721	4.0837	2.1654	2.066	2.7036	2.3555	2.2417	2.7657	2.8596
3.2912	2.3993	2.9946	2.7182	2.3901	2.2939	2.6396	4.229	2.5616	2.1821
2.3242	2.9322	2.7658	3.8904	1.8916	2.1163	2.6291	2.7142	5.1923	3.7935
3.9875	2.5118	2.3463	4.3795	1.7676	2.264	4.0079	2.8536	2.8363	3.707
3.4735	2.8016	2.2515	3.8536	2.1222	2.3702	3.4262	4.0923	2.8855	2.9441
3.851	2.7144	2.3984	3.0117	2.5485	1.9297	2.7771	3.0736	4.0921	4.1407
2.6169	3.1376	2.834	2.5089	2.8282	2.1443	2.5698	2.5805	2.7482	3.205
4.4785	2.387	3.8492	2.1138	1.8908	3.4923	2.8763	2.5294	2.6996	2.3714
4.0791	3.4001	3.696	2.9899	2.5144	2.0784	2.4565	3.0303	2.6678	3.0809
2.4183	3.2855	3.1436	2.7404	2.0122	3.3662	2.8398	3.0731	4.0912	3.7256
3.1271	2.561	4.3987	2.3843	2.3565	2.0648	2.7315	3.7529	2.9168	3.7105
3.2748	2.5685	2.0633	3.1714	1.9368	2.0644	2.6604	3.0271	2.5245	3.2769
2.9182	2.88	2.4712	3.1092	3.7295	2.865	3.7757	3.2797	3.1472	3.8865
4.5227	3.2695	2.309	2.9234	2.228	2.6268	2.8686	3.3009	2.013	3.4586
2.8906	2.4444	2.7816	2.4993	3.2532	2.4459	3.4496	2.8637	4.1253	2.186
3.3516	3.1102	3.2974	3.4554	2.8975	2.8794	2.4042	4.4699	3.7223	3.0618
2.7931	3.4576	2.5618	2.5736	2.3948	2.7861	2.7396	2.8307	3.3876	3.4889
2.7047	3.0526	2.9133	2.6237	2.9961	2.2812	2.4389	3.2253	2.5019	2.7195
3.1949	3.1919	2.6344	3.0883	3.1118	2.9321	2.5365	3.0584	3.3115	2.545
5.8074	2.4406	2.2598	2.2805	2.4573	2.0104	2.7988	2.3053	3.4396	4.4415
2.5466	2.1552	3.0772	3.8644	3.4989	2.4991	2.4005	4.9016	3.0986	3.5252
2.557	2.7867	2.2197	2.6036	3.2441	4.2183	2.4432	2.9237	2.5463	2.5096
3.0688	3.6938	3.0601	2.2174	3.7235	1.9101	2.3849	2.567	3.3835	2.9692
2.6781	2.0634	2.2739	2.3747	2.0114	3.2792	4.1721	3.3317	3.5216	2.7963
	2.7599	2.7549	4.0599	3.4033	2.7266	2.6459	2.5842	3.751	2.7975
	2.0205	2.9324	2.2803	2.0854	3.7267	2.4073	2.5467	2.1006	3.1817
	2.0747	2.3905	2.0082	2.0641	3.817	2.4167	2.5865	2.3046	2.5261
	4.6735	2.7151	2.1091	2.3484	3.2246	2.2757	2.2483	2.6536	2.1099
	3.1238	3.819	2.3793	1.859	2.9002	2.7774	2.2187	2.3337	2.1283
	4.053	2.6968	2.0706	2.637	2.7129	3.2926	3.4612	3.9488	1.9825
	3.3351	2.5037	3.4185	2.5689	3.9827	4.0809	2.2652	2.7577	2.1318
	2.9644	2.9843	2.2654	1.9059	3.3413	3.1173	3.6131	4.0575	2.087
	2.1093	3.2393	2.0538	1.9375	2.0397	3.7045	2.7823	3.7138	2.7294
	2.0506	2.2017	2.4415	3.6163	2.6902	3.0533	2.3427	2.2707	2.3581
	1.9199	3.4402	2.1273	2.0339	3.2415	2.8481	2.3058	2.8246	3.5694
	2.9597	2.5512	2.1288	3.1499	2.9647	2.7317	3.1054		3.7813
	2.8551	2.8116	2.783	1.9338	3.304	2.8137	3.2223		
	2.5968	2.015		2.978	2.826		3.5888		
	2.0353	1.9316		3.3743	3.8521		3.8251		
	1.9353	1.9554		1.8941	3.7133				
		2.887		2.4225	2.4832				
		2.5368		1.8736	2.1131				
		2.2959		1.894	3.0788				
				3.4171	2.0655				
				1.8556	1.9728				
				2.8355	2.0775				
				1.9892	4.1515				
				1.8693	2.0009				
				2.993	3.8017				
				2.6574	3.5717				
				3.1817					
				2.89					
				2.8657					
				2.5101					
				3.3186					
				2.2825					
				2.9138					
				2.2826					
				2.8996					
				2.2487					
				2.6292					
				2.096					
				2.7075					
				1.7854					
				2.2746					
				3.3384					
				2.0433					
				2.7169					
