No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
29.21	38.25	108.74	75.69	168.53	39.81	27.04	705.49	33.12	55.2
27.04	33.12	33.12	39.81	119.93	192.5	398.7	31.23	123.93	24.69
170.33	173.52	24.69	100.59	78.07	24.69	31.23	24.69	117.37	89.01
38.25	41.31	24.69	57.37	33.12	29.21	24.69	31.23	72.4	27.04
27.04	46.84	33.12	33.12	104.74	38.25	24.69	31.23	116.32	24.69
31.23	24.69	27.04	29.21	31.23	152.59	194.08	59.46	61.47	36.62
31.23	41.31	29.21	45.52	33.12	44.16	31.23	34.91	41.31	29.21
29.21	60.47	24.69	31.23	56.3	24.69	33.12	68.95	184.42	27.04
24.69	29.21	114.74	46.84	24.69	38.25		45.52	31.23	27.04
29.21	27.04	70.7	27.04	66.25	91.71		24.69	46.84	49.38
79.62	31.23	64.38	441.64	66.25	31.23		51.79	24.69	38.25
31.23	29.21	247.62	33.12	48.13	50.6		24.69	77.29	51.79
52.95	24.69	50.6	24.69	31.23	96.25		27.04	39.81	79.62
471.93	34.91	31.23	27.04	31.23	31.23			33.12	29.21
31.23	29.21	86.23	31.23	46.84	86.23			56.3	24.69
31.23	42.76	319.04	111.51	31.23	29.21			24.69	31.23
24.69	24.69	36.62	27.04		24.69			29.21	42.76
	70.7	31.23	41.31		24.69			24.69	27.04
	67.16							27.04	38.25
	74.88							333.98	
	29.21							29.21	
	31.23							24.69	
	24.69							44.16	
								39.81	
								27.04	
								24.69	
								24.69	
								38.25	
