No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
2.2977	2.0296	2.1973	2.3853	2.6937	2.0922	2.216	4.014	1.9586	2.4188
2.288	1.9906	1.9479	2.1733	2.2019	2.5701	5.2776	2.3376	2.4969	2.0124
2.7028	2.4465	1.913	2.4208	2.3173	1.9794	2.3579	2.176	2.5305	2.3471
2.4611	2.1029	1.9783	2.2632	1.8414	1.9373	2.3409	2.4584	2.4418	2.1325
2.3711	1.9523	1.934	2.0689	2.3197	2.1283	2.2814	2.2787	2.2101	2.0015
2.3092	1.9283	2.1974	2.042	1.9059	2.384	2.8764	2.5051	2.1844	1.9892
2.2919	2.1567	1.8917	2.1999	2.0525	2.2229	2.2879	2.3916	2.2164	2.0413
2.3626	1.927	1.9599	2.1527	1.9562	2.1078	2.3871	2.5265	2.5425	2.0998
2.261	1.9467	2.3752	2.1877	1.8279	2.2547		2.4017	2.1541	2.065
2.3618	1.8802	2.2247	2.251	2.1451	2.242		2.3377	2.1963	2.2131
2.7458	1.9952	2.2076	3.3527	2.2663	2.1286		2.4614	2.0145	2.0183
2.4746	1.9162	2.8255	2.0523	2.0853	2.1084		2.2696	2.2239	2.1751
2.559	1.929	2.0564	2.1098	1.861	2.2417		2.4414	2.045	2.3909
4.2935	1.9845	1.9581	2.0696	1.8612	2.0165			2.0715	2.1784
2.5257	1.8696	2.4039	2.1311	1.9776	2.4453			2.0613	2.0465
2.4024	2.137	3.0119	2.3111	2.0395	1.9527			2.0866	2.0601
2.2778	1.8614	2.0709	2.1815		2.0308			2.0373	2.2702
	2.2377	2.1895	2.2281		2.0021			1.9427	2.1336
	2.053							2.1017	2.1666
	2.2329							3.2574	
	1.9611							2.0859	
	1.8667							2.0398	
	1.9334							2.142	
								2.1279	
								2.192	
								1.9702	
								1.9871	
								2.053	
