12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005	12_Hour_intitial0003	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
3.2118	2.5743	2.4772	1.7829	1.9226	14.9686	3.738	2.1045	2.1272	3.5216	3.4563	2.4579	3.9456	3.5995	2.4684	3.9478
3.1757	2.6443	2.2889	2.1137	2.0648	8.6619	3.2409	3.0923	2.142	2.788	3.9752	3.287	2.8939	3.8559	3.715	2.2387
2.2303	2.5512	1.7084	1.8396	2.0475	6.7741	3.5449	3.6545	2.1979	2.0464	2.2137	3.3573	2.5004	3.6026	2.5895	3.247
2.6999	2.6616	2.0879	1.8639	2.209	5.3138	3.3432	2.5126	2.0044	2.433	1.9426	3.672	2.5584	2.639	3.1619	2.1907
2.4221	3.05	1.9234	2.0724	2.1192	7.4843	3.4259	2.838	3.1232	2.7116	2.003	2.1312	2.9227	3.9198	2.9922	2.1126
1.8685	2.6024	1.7457	1.951	1.7106	8.8946	3.0281	2.4766	2.9935	2.4746	2.6418	1.9967	2.5192	3.018	3.4511	4.3426
3.0251	2.6357	1.5807	2.1667	1.872	7.7485	4.0065	2.048	3.1567	3.2141	2.1502	3.7263	2.9794	2.8054	2.4554	2.1212
2.2514	3.288	1.7735	1.7697	2.0761	10.6074	4.3283	2.931	2.9552	2.4567	2.006	2.0752	2.7845	2.9401	3.3209	2.1782
3.453	2.7059	2.3427	2.1082	1.8764	9.3261	2.4561	3.7616	2.3572	3.1502	2.4906	2.3055	3.1667	2.6681	3.1464	2.9602
2.2419	3.0378	1.8451	1.9515	1.821	9.088	2.7902	3.307	2.9828	4.258	2.1219	2.9138	3.7381	2.5481	3.365	3.1152
3.1311	2.4304	2.5735	1.6058		6.7703	2.7987	2.7016	1.9366	2.656	2.3507	2.0132	4.2035	2.7203	3.217	2.6386
1.8176	3.031	2.2338	1.7053		8.379	2.358	1.8721	4.0837	2.1654	2.066	2.7036	2.3555	2.2417	2.7657	2.8596
1.7975	3.1867	1.4734	2.4108		6.8389	3.2912	2.3993	2.9946	2.7182	2.3901	2.2939	2.6396	4.229	2.5616	2.1821
2.599	2.612	1.8112	2.0731		8.4517	2.3242	2.9322	2.7658	3.8904	1.8916	2.1163	2.6291	2.7142	5.1923	3.7935
2.2141	2.9815	1.779	1.851		10.4733	3.9875	2.5118	2.3463	4.3795	1.7676	2.264	4.0079	2.8536	2.8363	3.707
3.6826	2.6514	2.4064	1.8728		9.7387	3.4735	2.8016	2.2515	3.8536	2.1222	2.3702	3.4262	4.0923	2.8855	2.9441
2.2489	2.9111	2.1514	2.3446		8.9225	3.851	2.7144	2.3984	3.0117	2.5485	1.9297	2.7771	3.0736	4.0921	4.1407
3.0245	2.9571	1.6253	1.7598		7.503	2.6169	3.1376	2.834	2.5089	2.8282	2.1443	2.5698	2.5805	2.7482	3.205
2.1159	2.7562	1.5741	2.2082		9.2721	4.4785	2.387	3.8492	2.1138	1.8908	3.4923	2.8763	2.5294	2.6996	2.3714
2.8468	2.9516	2.4275	1.814		5.8038	4.0791	3.4001	3.696	2.9899	2.5144	2.0784	2.4565	3.0303	2.6678	3.0809
3.0872	3.1242	1.7306	1.705		7.8567	2.4183	3.2855	3.1436	2.7404	2.0122	3.3662	2.8398	3.0731	4.0912	3.7256
3.1287	2.993	1.6843	2.1981		8.1318	3.1271	2.561	4.3987	2.3843	2.3565	2.0648	2.7315	3.7529	2.9168	3.7105
1.9846	2.8899	2.3065	1.7723		11.2435	3.2748	2.5685	2.0633	3.1714	1.9368	2.0644	2.6604	3.0271	2.5245	3.2769
2.6819	3.4243	2.0452	2.1882		10.042	2.9182	2.88	2.4712	3.1092	3.7295	2.865	3.7757	3.2797	3.1472	3.8865
