12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005	12_Hour_intitial0003	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
68.06	27.04	149.36	27.04	36.62	126.85	71.55	27.04	38.25	62.46	68.95	29.21	58.42	27.04	29.21	94.98
110.96	24.69	105.9	61.47	72.4	85.52	41.31	49.38	78.85	29.21	77.29	73.24	48.13	83.36	65.32	24.69
42.76	38.25	31.23	29.21	34.91	69.83	33.12	66.25	61.47	24.69	24.69	74.06	27.04	31.23	27.04	27.04
105.32	24.69	55.2	31.23	84.08	49.38	57.37	27.04	38.25	38.25	31.23	90.37	31.23	31.23	60.47	29.21
57.37	34.91	42.76	68.95	27.04	73.24	68.06	50.6	70.7	36.62	44.16	58.42	24.69	38.25	48.13	27.04
29.21	33.12	31.23	34.91	24.69	112.6	38.25	27.04	45.52	64.38	24.69	34.91	27.04	44.16	91.05	64.38
68.06	31.23	31.23	39.81	24.69	88.33	39.81	41.31	59.46	59.46	24.69	68.95	33.12	29.21	34.91	27.04
42.76	65.32	24.69	27.04	57.37	132.49	94.33	60.47	55.2	80.38	27.04	27.04	38.25	34.91	77.29	49.38
84.08	29.21	77.29	52.95	27.04	124.91	24.69	73.24	34.91	57.37	39.81	29.21	24.69	31.23	42.76	57.37
33.12	46.84	62.46	33.12	33.12	85.52	39.81	63.43	58.42	110.41	38.25	54.09	46.84	27.04	41.31	74.06
78.85	27.04	78.85	24.69		54.09	36.62	58.42	29.21	24.69	33.12	24.69	79.62	86.23	39.81	39.81
24.69	41.31	54.09	27.04		101.19	33.12	27.04	104.74	29.21	29.21	46.84	38.25	33.12	44.16	27.04
24.69	48.13	24.69	77.29		66.25	68.06	27.04	60.47	54.09	33.12	33.12	24.69	80.38	36.62	29.21
38.25	24.69	36.62	62.46		82.62	24.69	71.55	51.79	83.36	34.91	52.95	31.23	41.31	77.29	68.95
38.25	86.23	29.21	24.69		211.8	52.95	46.84	27.04	81.13	24.69	38.25	107.61	27.04	50.6	68.06
149.36	29.21	70.7	34.91		122.95	51.79	66.25	34.91	81.88	29.21	24.69	54.09	78.07	27.04	46.84
27.04	39.81	70.7	64.38		114.74	66.25	38.25	42.76	49.38	36.62	27.04	38.25	45.52	107.05	91.05
77.29	49.38	24.69	29.21		76.49	33.12	56.3	46.84	31.23	70.7	24.69	24.69	24.69	49.38	49.38
41.31	24.69	33.12	46.84		159.23	86.23	31.23	97.51	29.21	24.69	76.49	34.91	34.91	50.6	46.84
77.29	58.42	106.47	24.69		49.38	104.16	66.25	63.43	63.43	56.3	42.76	29.21	38.25	62.46	41.31
77.29	68.95	48.13	24.69		85.52	24.69	74.06	67.16	27.04	60.47	55.2	38.25	38.25	81.88	84.81
95.62	34.91	24.69	64.38		93.69	33.12	24.69	148.13	24.69	27.04	27.04	24.69	68.95	52.95	81.13
24.69	34.91	103.57	24.69		144.8	52.95	38.25	55.2	69.83	45.52	29.21	41.31	24.69	36.62	31.23
49.38	57.37	69.83	56.3		126.85	29.21	52.95	158.08	66.25	78.85	39.81	34.91	39.81	51.79	103.57
108.18	55.2	39.81	65.32		120.95	87.63	54.09	24.69	49.38	24.69	31.23	31.23	33.12	24.69	67.16
38.25	31.23	62.46	29.21		116.85	24.69	42.76	36.62	38.25	51.79	42.76	38.25	36.62	63.43	58.42
52.95	24.69	45.52	112.05		120.95	59.46	41.31	75.69	104.74	66.25	38.25	31.23	72.4	58.42	36.62
34.91		34.91	71.55		116.85	24.69	70.7	27.04	27.04	51.79	41.31	34.91	33.12	66.25	76.49
50.6		24.69	51.79		91.05	34.91	70.7	50.6	31.23	58.42	33.12	29.21	60.47	42.76	38.25
146.06		39.81	66.25		118.91	52.95	72.4	44.16	31.23	96.25	49.38	49.38	36.62	64.38	27.04
141.82		61.47	36.62		91.05	190.6	42.76	52.95	27.04	42.76	34.91	24.69	46.84	89.01	100.59
29.21		52.95	46.84		122.95	27.04	27.04	33.12	38.25	74.88	27.04	44.16	386.43	64.38	56.3
48.13		60.47	42.76		54.09	24.69	60.47	24.69	52.95	59.46	80.38	36.62	29.21	36.62	36.62
129.23		24.69	52.95		85.52	46.84	86.23	44.16	77.29	62.46	24.69	36.62	52.95	65.32	69.83
78.07		62.46	45.52		69.83	24.69	67.16	31.23	85.52	33.12	72.4	105.9	51.79	87.63	48.13
49.38		29.21	24.69		98.75		50.6	52.95	91.05	74.06	42.76	66.25	63.43	82.62	76.49
180.07		29.21	24.69		143.11		39.81	50.6	68.95	38.25	85.52	48.13	61.47	42.76	54.09
24.69		59.46	31.23		58.42		24.69	29.21	27.04	48.13	73.24	29.21	50.6	31.23	48.13
82.62		77.29	55.2		58.42		387.53	46.84	29.21	34.91	34.91	33.12	24.69	33.12	31.23
38.25		38.25	29.21		49.38		64.38	118.4	33.12	31.23	38.25	54.09	24.69	33.12	31.23
79.62		139.66	31.23		73.24		74.06	34.91	27.04	27.04	31.23	44.16	36.62	83.36	24.69
24.69		36.62	95.62		101.19		63.43	62.46	90.37	31.23	108.74	100.59	24.69	42.76	24.69
144.8		78.07	36.62		98.75		51.79	36.62	27.04	24.69	65.32	44.16	50.6	101.79	29.21
76.49		98.13	46.84		85.52		52.95	68.95	24.69	31.23	34.91	42.76	29.21	78.85	29.21
58.42		29.21	33.12		151.39		33.12	31.23	33.12	63.43	38.25	24.69	24.69	27.04	33.12
45.52		113.14	33.12		130.64		27.04	52.95	27.04	44.16	77.29	57.37	29.21	24.69	59.46
31.23		24.69	24.69		54.09		64.38	24.69	33.12	46.84	42.76	24.69	58.42		68.06
29.21		33.12			79.62		50.6	41.31	45.52	39.81	36.62	34.91	72.4		
48.13		77.29			91.05		94.98	44.16		58.42	80.38		77.29		
24.69		51.79			118.91		31.23	24.69		68.95	231.86		85.52		
56.3		39.81			66.25		24.69	31.23		24.69	86.23				
34.91		41.31			73.24			68.06		170.33	50.6				
54.09		91.05			73.24			29.21		24.69	24.69				
66.25		71.55			151.39			24.69		38.25	36.62				
45.52		36.62			69.83					162.64	54.09				
93.69		48.13			85.52					27.04	24.69				
52.95		39.81			91.05					27.04	36.62				
36.62		36.62			62.46					29.21	74.06				
108.74		51.79			58.42					27.04	33.12				
101.79		44.16			96.25					72.4	74.06				
90.37		36.62			73.24					27.04	70.7				
98.13		123.93			85.52					64.38					
130.17		34.91			66.25					68.95					
93.69		24.69			54.09					66.25					
91.71		27.04			186.06					34.91					
96.25					149.77					59.46					
108.74					116.85					24.69					
29.21					82.62					81.13					
					116.85					39.81					
					128.76					74.88					
					82.62					38.25					
					85.52					52.95					
					85.52					60.47					
					54.09					56.3					
					139.66					24.69					
					116.85					33.12					
					128.76					96.88					
					96.25					68.95					
					54.09					27.04					
					82.62										
					165.24										
					91.05										
					126.85										
					58.42										
					58.42										
					110.41										
					76.49										
					120.95										
					88.33										
					54.09										
					96.25										
					112.6										
					76.49										
					91.05										
					85.52										
					96.25										
					143.11										
					54.09										
					146.47										
					85.52										
					49.38										
					54.09										
					91.05										
					108.18										
					93.69										
					103.57										
					101.19										
					137.9										
					54.09										
					103.57										
					69.83										
					103.57										
					118.91										
					108.18										
					62.46										
					114.74										
					91.05										
					66.25										
					79.62										
					124.91										
					54.09										
					54.09										
					88.33										
					201.17										
					82.62										
					54.09										
					126.85										
					76.49										
					79.62										
					82.62										
					69.83										
					88.33										
					186.06										
					120.95										
					126.85										
					76.49										
					626.52										
					114.74										
					62.46										
					58.42										
					93.69										
					54.09										
					197.51										
					73.24										
					69.83										
					118.91										
					91.05										
					393.77										
					88.33										
					376.04										
					58.42										
					82.62										
					49.38										
					62.46										
					69.83										
					54.09										
					69.83										
					96.25										
					112.6										
					116.85										
					73.24										
					85.52										
					88.33										
					73.24										
					264.06										
					58.42										
					62.46										
					159.23										
					88.33										
					157.7										
					112.6										
					91.05										
					73.24										
					91.05										
					54.09										
