12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005	12_Hour_intitial0003	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
44.16	361.66	164.88	34.91	229.21	130.64	29.21	38.25	108.74	75.69	168.53	39.81	27.04	705.49	33.12	55.2
41.31	49.38	27.04	54.09	46.84	105.9	27.04	33.12	33.12	39.81	119.93	192.5	398.7	31.23	123.93	24.69
29.21	80.38	39.81	33.12	27.04	110.41	170.33	173.52	24.69	100.59	78.07	24.69	31.23	24.69	117.37	89.01
33.12	74.88	31.23	72.4	42.76	54.09	38.25	41.31	24.69	57.37	33.12	29.21	24.69	31.23	72.4	27.04
29.21		149.36	31.23	33.12	58.42	27.04	46.84	33.12	33.12	104.74	38.25	24.69	31.23	116.32	24.69
27.04		24.69	24.69	127.33	96.25	31.23	24.69	27.04	29.21	31.23	152.59	194.08	59.46	61.47	36.62
29.21		44.16	34.91	60.47	69.83	31.23	41.31	29.21	45.52	33.12	44.16	31.23	34.91	41.31	29.21
24.69		29.21	24.69	24.69	112.6	29.21	60.47	24.69	31.23	56.3	24.69	33.12	68.95	184.42	27.04
34.91		27.04	34.91	38.25	79.62	24.69	29.21	114.74	46.84	24.69	38.25		45.52	31.23	27.04
24.69		31.23	45.52	24.69	82.62	29.21	27.04	70.7	27.04	66.25	91.71		24.69	46.84	49.38
33.12		91.71	44.16	94.33	169.61	79.62	31.23	64.38	441.64	66.25	31.23		51.79	24.69	38.25
31.23		24.69	46.84	78.07	49.38	31.23	29.21	247.62	33.12	48.13	50.6		24.69	77.29	51.79
29.21		93.03	228.95	52.95	54.09	52.95	24.69	50.6	24.69	31.23	96.25		27.04	39.81	79.62
46.84		24.69	27.04	254.42		471.93	34.91	31.23	27.04	31.23	31.23			33.12	29.21
29.21		24.69	27.04	136.57		31.23	29.21	86.23	31.23	46.84	86.23			56.3	24.69
33.12		39.81	24.69	131.1		31.23	42.76	319.04	111.51	31.23	29.21			24.69	31.23
24.69		39.81	36.62	68.06		24.69	24.69	36.62	27.04		24.69			29.21	42.76
24.69		27.04	46.84	33.12			70.7	31.23	41.31		24.69			24.69	27.04
24.69		41.31	29.21	36.62			67.16							27.04	38.25
33.12		39.81	42.76	29.21			74.88							333.98	
55.2		59.46	38.25	31.23			29.21							29.21	
29.21		45.52	33.12	81.88			31.23							24.69	
71.55		33.12	36.62	55.2			24.69							44.16	
24.69		27.04	68.06	31.23										39.81	
31.23		49.38	42.76	34.91										27.04	
27.04		52.95	31.23	114.74										24.69	
63.43		24.69	72.4											24.69	
24.69		45.52	27.04											38.25	
39.81		29.21	139.66												
29.21		52.95	31.23												
31.23		24.69	52.95												
89.01		29.21													
		36.62													
		34.91													
		24.69													
		86.94													
		45.52													
		24.69													
		38.25													
		27.04													
		61.47													
		84.81													
		29.21													
		55.2													
		67.16													
		68.95													
		33.12													
		29.21													
		24.69													
		31.23													
