12_Hour_Tg_0001	12_Hour_Tg_0002	12_Hour_Tg_0003	12_Hour_Tg_0004	12_Hour_Tg_0005	12_Hour_intitial0003	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
3.0295	19.2528	2.6579	2.4272	8.5626	6.6346	2.2977	2.0296	2.1973	2.3853	2.6937	2.0922	2.216	4.014	1.9586	2.4188
1.8678	4.8855	1.614	3.6829	2.9376	5.9106	2.288	1.9906	1.9479	2.1733	2.2019	2.5701	5.2776	2.3376	2.4969	2.0124
1.933	5.6988	2.4765	2.0304	2.1922	6.2528	2.7028	2.4465	1.913	2.4208	2.3173	1.9794	2.3579	2.176	2.5305	2.3471
1.6833	4.7872	1.6567	4.5322	4.7233	5.0754	2.4611	2.1029	1.9783	2.2632	1.8414	1.9373	2.3409	2.4584	2.4418	2.1325
1.8155		5.1982	2.0798	2.8483	5.333	2.3711	1.9523	1.934	2.0689	2.3197	2.1283	2.2814	2.2787	2.2101	2.0015
1.7074		2.0454	1.8718	4.3263	5.8991	2.3092	1.9283	2.1974	2.042	1.9059	2.384	2.8764	2.5051	2.1844	1.9892
1.817		1.6365	1.7559	3.4332	5.4221	2.2919	2.1567	1.8917	2.1999	2.0525	2.2229	2.2879	2.3916	2.2164	2.0413
1.7428		1.5795	2.5584	1.7784	5.8906	2.3626	1.927	1.9599	2.1527	1.9562	2.1078	2.3871	2.5265	2.5425	2.0998
1.8938		1.6853	2.1645	2.5802	5.6845	2.261	1.9467	2.3752	2.1877	1.8279	2.2547		2.4017	2.1541	2.065
1.6282		1.8992	2.4118	1.8073	5.8018	2.3618	1.8802	2.2247	2.251	2.1451	2.242		2.3377	2.1963	2.2131
1.7715		4.8671	2.2993	3.4579	6.8175	2.7458	1.9952	2.2076	3.3527	2.2663	2.1286		2.4614	2.0145	2.0183
1.8953		1.8118	3.1424	4.9785	5.2454	2.4746	1.9162	2.8255	2.0523	2.0853	2.1084		2.2696	2.2239	2.1751
3.4645		1.908	15.8462	2.0993	5.264	2.559	1.929	2.0564	2.1098	1.861	2.2417		2.4414	2.045	2.3909
2.5935		1.6064	1.88	11.4472		4.2935	1.9845	1.9581	2.0696	1.8612	2.0165			2.0715	2.1784
2.4415		1.6267	2.133	4.3635		2.5257	1.8696	2.4039	2.1311	1.9776	2.4453			2.0613	2.0465
1.7687		1.8069	1.8293	4.4116		2.4024	2.137	3.0119	2.3111	2.0395	1.9527			2.0866	2.0601
1.7774		2.8778	3.0312	3.4766		2.2778	1.8614	2.0709	2.1815		2.0308			2.0373	2.2702
1.7276		1.5018	1.9255	2.1511			2.2377	2.1895	2.2281		2.0021			1.9427	2.1336
1.8795		2.1916	1.8069	2.2976			2.053							2.1017	2.1666
1.8768		1.9449	2.324	2.4685			2.2329							3.2574	
2.0474		3.21	2.9716	2.3973			1.9611							2.0859	
1.9889		2.7525	1.7133	4.2699			1.8667							2.0398	
2.1806		1.5875	1.6905	3.782			1.9334							2.142	
1.8059		1.6691	3.5082	2.2067										2.1279	
1.712		1.8056	1.7645	2.3571										2.192	
1.8486		1.699	1.8273	3.5446										1.9702	
2.2719		1.6111	2.2538											1.9871	
1.8804		2.4437	1.7334											2.053	
2.0731		2.7034	4.3957												
1.7329		3.2107	2.1416												
1.6906		1.4985	2.7533												
7.6635		1.7131													
		1.5859													
		1.9233													
		1.5721													
		4.0445													
		2.6685													
		1.5809													
		1.6609													
		1.6168													
		2.9733													
		3.4113													
		1.9995													
		3.5774													
		2.105													
		1.9796													
		1.5564													
		1.5319													
		1.6536													
		1.6376													
