feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,13,1244.63,39.81,2258.02,948.37,2.0722,2.0922
2,304,29105.28,192.5,2316.83,1112.27,2.5501,2.5701
4,5,478.71,24.69,2405.09,1178.08,1.9594,1.9794
5,7,670.19,29.21,2411.24,1234.27,1.9172,1.9373
7,12,1148.89,38.25,2349.97,1307.08,2.1083,2.1283
8,191,18286.54,152.59,2292.6,1438.61,2.364,2.384
21,16,1531.86,44.16,1467.1,3736.55,2.2029,2.2229
22,5,478.71,24.69,1551.86,3720.16,2.0878,2.1078
24,12,1148.89,38.25,1654.44,3736.14,2.2347,2.2547
28,69,6606.13,91.71,1515.64,3990.75,2.222,2.242
30,8,765.93,31.23,1575.34,3957.93,2.1086,2.1286
34,21,2010.56,50.6,1570.22,4390.55,2.0884,2.1084
36,76,7276.32,96.25,1480.07,4471.5,2.2217,2.2417
41,8,765.93,31.23,3920.01,4511.99,1.9965,2.0165
47,61,5840.2,86.23,1513.75,4622.25,2.4253,2.4453
49,7,670.19,29.21,1397.82,4586.25,1.9327,1.9527
51,5,478.71,24.69,2884.54,4600.78,2.0108,2.0308
64,5,478.71,24.69,2825.83,4692.76,1.9821,2.0021
