feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,6,574.45,27.04,4664.06,347.36,-3.5728,3.5995
3,57,5457.24,83.36,382.12,388.3,-3.8292,3.8559
4,8,765.93,31.23,2891.39,435.42,-3.5759,3.6026
5,8,765.93,31.23,4334.64,437.87,-2.6122,2.639
7,12,1148.89,38.25,4451.24,559.36,-3.8931,3.9198
10,16,1531.86,44.16,1893.96,690.44,-2.9913,3.018
11,7,670.19,29.21,2833.38,756.22,-2.7787,2.8054
12,10,957.41,34.91,941.29,844.42,-2.9133,2.9401
13,8,765.93,31.23,4612.28,946.67,-2.6413,2.6681
15,6,574.45,27.04,4637.96,975.21,-2.5214,2.5481
16,61,5840.2,86.23,1876.58,1035.1,-2.6936,2.7203
19,9,861.67,33.12,1747.12,1056.75,-2.2149,2.2417
22,53,5074.28,80.38,1883.28,1141.68,-4.2023,4.229
26,14,1340.37,41.31,3344.98,1347.5,-2.6874,2.7142
27,6,574.45,27.04,1120.35,1585.13,-2.8269,2.8536
31,50,4787.05,78.07,3511.94,1757.14,-4.0656,4.0923
33,17,1627.6,45.52,2362.73,1990.33,-3.0469,3.0736
34,5,478.71,24.69,446.18,2052.84,-2.5538,2.5805
35,10,957.41,34.91,477.5,2085.13,-2.5027,2.5294
40,12,1148.89,38.25,2800.07,2327.14,-3.0035,3.0303
41,12,1148.89,38.25,1903.13,2436.4,-3.0463,3.0731
42,39,3733.9,68.95,4043.6,2534.5,-3.7262,3.7529
43,5,478.71,24.69,1980.43,2610.57,-3.0004,3.0271
44,13,1244.63,39.81,2185.76,2630.59,-3.253,3.2797
45,9,861.67,33.12,2225.48,2629.92,-3.2742,3.3009
46,11,1053.15,36.62,701.83,2697.92,-2.837,2.8637
53,43,4116.87,72.4,4061.35,3254.45,-4.4432,4.4699
59,9,861.67,33.12,4682.54,3357.25,-2.804,2.8307
60,30,2872.23,60.47,2508.48,3379.32,-3.1985,3.2253
61,11,1053.15,36.62,450.99,3388.19,-3.0316,3.0584
63,18,1723.34,46.84,4116.11,3480.65,-2.2785,2.3053
66,1225,117282.79,386.43,4325.72,3987.3,-4.8748,4.9016
70,7,670.19,29.21,2996.92,3638.52,-2.897,2.9237
71,23,2202.04,52.95,4357.61,3669.7,-2.5402,2.567
74,22,2106.3,51.79,3895.21,3719.09,-3.305,3.3317
75,33,3159.45,63.43,4401.65,3782.25,-2.5575,2.5842
76,31,2967.97,61.47,4041.41,3771.86,-2.52,2.5467
77,21,2010.56,50.6,4357.0,3755.94,-2.5598,2.5865
79,5,478.71,24.69,4154.6,3780.82,-2.2216,2.2483
84,5,478.71,24.69,4350.29,3812.13,-2.192,2.2187
85,11,1053.15,36.62,412.74,3824.94,-3.4344,3.4612
89,5,478.71,24.69,4170.25,3870.84,-2.2384,2.2652
91,21,2010.56,50.6,3509.46,4078.84,-3.5864,3.6131
92,7,670.19,29.21,1280.4,4092.82,-2.7556,2.7823
93,5,478.71,24.69,1242.66,4097.85,-2.316,2.3427
99,7,670.19,29.21,4303.89,4267.54,-2.2791,2.3058
104,28,2680.75,58.42,966.94,4606.16,-3.0787,3.1054
105,43,4116.87,72.4,4237.47,4609.75,-3.1955,3.2223
106,49,4691.31,77.29,2458.36,4623.59,-3.5621,3.5888
107,60,5744.46,85.52,3242.17,4644.49,-3.7984,3.8251
