feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,238,5696.59,85.17,656.83,334.2,-9.0077,9.0868
3,199,4763.12,77.88,1881.35,455.43,-7.4443,7.5234
5,98,2345.66,54.65,384.2,499.02,-5.8909,5.97
6,6,143.61,13.52,423.19,528.38,-4.2236,4.3027
8,29,694.12,29.73,1095.89,697.25,-5.2373,5.3164
9,64,1531.86,44.16,1067.61,715.43,-6.2691,6.3482
10,185,4428.02,75.09,2182.42,1041.68,-5.928,6.0071
12,10,239.35,17.46,1355.19,1013.21,-4.279,4.3581
17,10,239.35,17.46,2181.02,1143.35,-4.1516,4.2307
18,21,502.64,25.3,1326.06,1222.39,-4.8844,4.9635
19,806,19291.82,156.73,535.3,1339.72,-12.348,12.4271
20,259,6199.23,88.84,1597.59,1311.15,-8.4897,8.5688
27,15,359.03,21.38,1582.52,1395.96,-4.0563,4.1354
30,6,143.61,13.52,623.78,1413.89,-4.3247,4.4038
31,67,1603.66,45.19,1586.95,1700.79,-6.5435,6.6226
34,198,4739.18,77.68,900.84,1820.36,-8.2019,8.281
35,825,19746.59,158.56,1173.69,2047.69,-12.0083,12.0874
37,19,454.77,24.06,1067.05,1996.34,-4.6415,4.7206
39,22,526.58,25.89,1282.69,2014.99,-4.2839,4.363
46,6,143.61,13.52,1098.34,2118.4,-4.4192,4.4983
