feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,41,981.35,35.35,2185.1,711.9,4.8034,4.7243
4,239,5720.53,85.34,2171.52,829.0,8.2892,8.2101
5,16,382.96,22.08,859.53,786.14,4.9007,4.8216
7,23,550.51,26.48,638.56,1062.49,4.6885,4.6094
8,468,11201.7,119.43,664.27,1123.44,7.2253,7.1462
9,54,1292.5,40.57,1473.15,1111.38,5.1658,5.0867
12,23,550.51,26.48,1508.13,1108.65,4.5349,4.4558
13,9,215.42,16.56,1540.55,1111.11,4.1427,4.0636
17,199,4763.12,77.88,827.15,1969.07,5.4977,5.4186
19,15,359.03,21.38,858.77,2022.18,4.6673,4.5882
