feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
1,11,1053.15,36.62,742.75,323.79,2.0382,2.0807
14,7,670.19,29.21,2605.54,549.34,5.8786,5.9211
20,10,957.41,34.91,3696.67,670.25,3.6778,3.7203
21,5,478.71,24.69,2876.71,727.98,2.3514,2.3939
22,15,1436.12,42.76,1702.54,753.42,3.1042,3.1467
24,10,957.41,34.91,4305.28,774.95,2.9085,2.951
27,6,574.45,27.04,3065.88,1061.64,4.2523,4.2948
30,45,4308.35,74.06,1187.0,1288.54,8.39,8.4325
31,6,574.45,27.04,4143.84,1389.43,2.0818,2.1243
35,7,670.19,29.21,3792.28,1856.3,2.8639,2.9064
36,23,2202.04,52.95,3867.95,1912.28,8.4934,8.5359
38,10,957.41,34.91,1186.89,2093.93,7.7537,7.7962
39,5,478.71,24.69,3839.53,2115.46,2.044,2.0865
42,11,1053.15,36.62,406.51,2155.31,6.2762,6.3187
44,6,574.45,27.04,3850.29,2167.32,2.0683,2.1108
47,7,670.19,29.21,1766.84,2184.79,2.3644,2.4069
49,10,957.41,34.91,1722.11,2210.37,2.2531,2.2956
57,29,2776.49,59.46,3828.87,2276.47,2.1254,2.1679
58,5,478.71,24.69,3908.02,2254.4,2.0955,2.138
60,6,574.45,27.04,4000.33,2283.11,2.0597,2.1022
61,8,765.93,31.23,3917.56,2318.98,2.0933,2.1358
65,18,1723.34,46.84,1808.0,2526.64,9.0769,9.1194
66,13,1244.63,39.81,4327.86,2763.06,3.4759,3.5184
68,38,3638.16,68.06,2501.54,2861.78,5.2947,5.3372
69,9,861.67,33.12,1464.45,2899.54,6.1939,6.2364
70,12,1148.89,38.25,1947.98,3041.42,3.0569,3.0994
73,13,1244.63,39.81,3282.4,3222.19,2.3876,2.4301
75,10,957.41,34.91,1041.1,3361.06,7.3501,7.3926
78,7,670.19,29.21,1375.45,3377.13,2.032,2.0745
86,6,574.45,27.04,4357.47,3498.04,2.1143,2.1568
89,44,4212.61,73.24,4307.29,3559.42,2.7243,2.7668
93,8,765.93,31.23,1887.23,3609.34,2.1541,2.1966
101,5,478.71,24.69,1980.43,3771.04,1.914,1.9565
103,8,765.93,31.23,1471.38,3835.62,6.8047,6.8472
104,26,2489.27,56.3,1068.04,3867.23,4.9923,5.0348
105,7,670.19,29.21,2693.6,3990.77,2.2658,2.3083
106,6,574.45,27.04,4063.93,4055.77,2.1612,2.2037
108,19,1819.08,48.13,3251.62,4145.12,9.9459,9.9884
111,16,1531.86,44.16,3192.88,4284.49,2.4273,2.4698
115,8,765.93,31.23,2596.62,4344.42,6.6129,6.6554
116,6,574.45,27.04,2630.46,4344.42,2.7691,2.8116
125,6,574.45,27.04,4543.38,4571.1,2.1161,2.1586
