feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
1,31,2967.97,61.47,811.82,316.9,-4.1668,4.1715
4,7,670.19,29.21,2306.4,325.69,-2.8428,2.8476
6,17,1627.6,45.52,1512.03,338.44,-3.0272,3.0319
11,13,1244.63,39.81,2949.72,394.4,-3.3788,3.3836
15,139,13308.01,130.17,3694.55,593.42,-4.4057,4.4104
20,19,1819.08,48.13,4692.04,782.26,-3.6774,3.6822
21,8,765.93,31.23,1285.47,878.18,-2.4849,2.4897
23,211,20201.36,160.38,1396.25,1008.48,-4.9562,4.961
26,75,7180.58,95.62,4183.43,1127.07,-3.926,3.9308
30,84,8042.25,101.19,4028.98,1203.17,-3.7992,3.804
33,32,3063.71,62.46,2468.81,1315.44,-3.4962,3.501
34,34,3255.2,64.38,2556.12,1331.3,-3.5096,3.5144
36,111,10627.26,116.32,3935.93,1519.98,-4.5831,4.5879
37,5,478.71,24.69,3573.39,1522.5,-2.575,2.5797
38,16,1531.86,44.16,3602.01,1561.89,-3.1918,3.1966
40,9,861.67,33.12,2034.14,1557.95,-2.7829,2.7876
41,9,861.67,33.12,1987.39,1576.43,-2.9391,2.9438
48,53,5074.28,80.38,1376.69,1922.42,-3.5753,3.5801
52,18,1723.34,46.84,1030.66,1918.9,-3.4254,3.4301
55,5,478.71,24.69,1066.54,1898.24,-2.6293,2.634
59,6,574.45,27.04,2721.79,2110.24,-2.8871,2.8919
62,159,15222.83,139.22,2918.87,2243.54,-4.7015,4.7063
66,32,3063.71,62.46,830.17,2350.17,-3.3659,3.3707
68,192,18382.28,152.99,3514.25,2424.22,-4.7877,4.7924
69,159,15222.83,139.22,4499.01,2400.28,-4.2527,4.2575
75,209,20009.88,159.62,2435.42,2520.76,-4.7115,4.7163
80,95,9095.4,107.61,378.51,2567.21,-4.1178,4.1226
83,33,3159.45,63.43,1060.61,2638.62,-2.8672,2.8719
88,366,35041.23,211.22,3188.75,3049.47,-5.6651,5.6699
91,193,18478.02,153.38,1943.26,3121.89,-4.636,4.6408
92,93,8903.92,106.47,4442.59,3195.72,-3.9222,3.9269
94,103,9861.33,112.05,669.92,3284.16,-4.1894,4.1941
95,166,15893.02,142.25,3942.66,3316.2,-4.9961,5.0008
97,71,6797.61,93.03,2718.78,3454.15,-3.8476,3.8524
99,117,11201.7,119.43,587.0,3523.76,-4.0223,4.0271
100,67,6414.65,90.37,1124.51,3529.08,-3.7149,3.7196
110,8,765.93,31.23,2614.97,3938.36,-2.5773,2.5821
112,9,861.67,33.12,2025.44,3958.47,-3.0779,3.0827
114,5,478.71,24.69,2677.1,3956.95,-2.7349,2.7397
115,49,4691.31,77.29,322.9,4031.31,-4.298,4.3028
119,19,1819.08,48.13,4137.91,4028.22,-2.7094,2.7142
120,6,574.45,27.04,4200.91,4023.16,-2.7788,2.7836
121,194,18573.76,153.78,3656.46,4136.93,-5.039,5.0437
123,20,1914.82,49.38,2282.29,4148.73,-3.2317,3.2365
129,17,1627.6,45.52,493.27,4348.45,-2.7878,2.7926
131,105,10052.81,113.14,1228.96,4361.66,-4.1823,4.1871
132,5,478.71,24.69,1146.77,4330.72,-2.337,2.3418
133,195,18669.51,154.18,2118.07,4418.28,-5.056,5.0608
143,19,1819.08,48.13,995.98,4507.67,-3.8516,3.8564
145,16,1531.86,44.16,1039.63,4530.33,-2.8905,2.8953
148,25,2393.53,55.2,4414.09,4652.84,-3.4691,3.4738
150,28,2680.75,58.42,3540.68,4682.35,-3.6253,3.6301
151,17,1627.6,45.52,4476.23,4678.25,-3.3209,3.3256
152,5,478.71,24.69,340.51,4673.19,-2.7863,2.7911
