20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009
4.9681	3.5475	3.5041	2.4394	3.1118	3.7149	2.7265	4.1715	3.9009	3.2215
4.4127	2.8602	4.3721	2.3172	3.0935	2.8484	2.8564	2.8476	3.404	7.8863
4.1099	3.4027	2.0012	2.5997	2.8147	4.0918	3.244	3.0319	5.4139	2.2756
4.2192	4.4725	3.9293	2.321	3.0199	2.2866	3.1147	3.3836	4.2967	2.969
4.3468	3.4179	3.3923	3.1714	2.8771	3.949	2.7473	4.4104	2.5469	2.2403
4.9622	3.2014	3.203	2.6332	3.3665	2.3697	2.6415	3.6822	3.659	2.9006
3.9702	2.2102	2.1848	2.2889	2.8594	2.7892	2.7481	2.4897	3.7352	2.246
4.156	3.1198	2.66	2.2185	4.543	2.2906	2.822	4.961	5.2857	3.2644
6.0767	2.6468	2.4288	2.1374	2.9436	2.4163	2.6468	3.9308	3.1534	2.9745
3.9898	2.4726	2.2722	4.7844	3.3525	2.4883	3.0149	3.804	5.6255	2.8483
5.5815	2.5506	2.548	2.4587	4.3093	2.4907	2.3244	3.501	2.4477	3.1352
5.102	2.2495	2.755	2.9753	2.4979	3.9395	4.6828	3.5144	2.2678	3.5379
4.7897	2.342	2.5586	2.7266	2.5394	3.7065	3.5607	4.5879	3.4234	2.6574
4.5341	2.4881	2.3886	3.5552	2.9331	2.4741	3.9341	2.5797	4.3144	2.6531
4.0281	2.3869	2.5475	2.8916	3.2301	2.9325	2.7607	3.1966	4.7052	3.7074
3.7657	2.2532	2.9154	2.4255	2.887	2.7202	2.9452	2.7876	2.9319	2.6029
	2.4079	2.834	2.6006	4.3757	3.4655	2.4649	2.9438	6.183	2.9236
	2.8972	3.0036	3.6815	3.8615	2.4965	2.6761	3.5801	3.1828	2.6866
	2.3398	3.0451	2.7922	3.7753	3.5815	2.8286	3.4301	2.7798	3.5421
	2.4264	2.5702	2.8104	3.1777	3.504	4.4726	2.634	3.8944	3.0437
	3.0997	3.485	3.5089	2.2983	3.4459	5.4863	2.8919	3.8031	3.4567
	4.3872	2.5068	2.7157	3.9225	2.5929	2.379	4.7063	5.3129	3.0204
	4.0937	2.6479	4.0074	2.2459	2.5427	3.4251	3.3707	2.2828	6.3677
	2.8391	2.6383	3.8015	4.4253	4.4188	2.6542	4.7924	3.6536	2.4511
	3.1172	3.9237	2.1627	2.6458	2.2088	2.6031	4.2575	6.0881	3.7365
	2.2789	2.5117	2.7379	2.655	3.1673	2.9897	4.7163	5.1741	3.5807
	2.1978	2.2543	2.3167	3.2504	2.394	4.2796	4.1226	3.5433	3.5186
	2.2039	2.4526	4.043	2.8964	3.7547	4.2775	2.8719	3.4871	5.1837
	2.6231	2.3718	2.4147	2.7006	3.9313	3.2785	5.6699	4.4382	2.5796
	2.854	2.1287	2.4329	2.6749	2.4466	2.6292	4.6408	4.2932	3.9028
	2.0809	2.4561	2.4208	2.915	2.827	2.5518	3.9269	5.4613	2.7483
	4.5931	2.5786	2.8833	3.2249	2.5334	4.7472	4.1941	4.8528	2.7125
	2.5776	2.9649	2.9446	5.0755	4.2194	4.1929	5.0008	4.8488	3.9901
	2.2725	2.939	2.1945	2.4093	3.8798	2.4802	3.8524	2.51	2.3977
	2.7228	2.306	4.356	3.3987	4.6515	4.259	4.0271	2.8212	2.4698
