20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009
60.47	113.14	111.51	24.69	83.36	45.52	29.21	61.47	41.31	67.16
41.31	63.43	192.19	29.21	52.95	38.25	24.69	29.21	24.69	210.07
29.21	124.91	24.69	34.91	51.79	88.33	54.09	45.52	93.69	31.23
29.21	154.18	175.96	29.21	39.81	27.04	58.42	39.81	119.93	67.16
24.69	93.03	86.94	60.47	58.42	126.85	34.91	130.17	29.21	29.21
77.29	62.46	79.62	54.09	44.16	27.04	31.23	48.13	84.08	24.69
24.69	39.81	24.69	24.69	33.12	34.91	34.91	31.23	57.37	27.04
27.04	98.75	45.52	24.69	156.92	24.69	50.6	160.38	145.64	60.47
143.96	48.13	57.37	29.21	45.52	24.69	27.04	95.62	70.7	34.91
31.23	54.09	33.12	195.33	46.84	29.21	44.16	101.19	128.76	51.79
105.32	41.31	44.16	61.47	133.86	27.04	24.69	62.46	27.04	55.2
64.38	29.21	57.37	80.38	27.04	124.91	135.67	64.38	33.12	97.51
45.52	41.31	52.95	36.62	33.12	107.61	91.71	116.32	73.24	24.69
68.06	41.31	50.6	111.51	56.3	31.23	121.45	24.69	85.52	31.23
41.31	39.81	27.04	97.51	42.76	46.84	27.04	44.16	107.05	48.13
24.69	39.81	39.81	36.62	44.16	31.23	24.69	33.12	31.23	29.21
	29.21	41.31	34.91	162.64	84.08	29.21	33.12	84.08	54.09
	36.62	38.25	160.38	93.69	39.81	36.62	80.38	46.84	31.23
	24.69	138.34	46.84	66.25	132.95	34.91	46.84	33.12	88.33
	29.21	24.69	57.37	60.47	87.63	219.71	24.69	130.64	65.32
	46.84	99.98	62.46	24.69	122.45	163.39	27.04	96.25	36.62
	187.7	27.04	41.31	156.53	27.04	27.04	139.22	180.07	55.2
	146.47	56.3	151.39	24.69	33.12	78.07	62.46	27.04	222.47
	77.29	61.47	91.05	144.8	175.27	31.23	152.99	80.38	29.21
	83.36	128.28	27.04	31.23	24.69	34.91	139.22	186.39	62.46
	36.62	48.13	34.91	29.21	54.09	31.23	159.62	134.32	68.95
	27.04	38.25	27.04	86.23	27.04	125.4	107.61	55.2	94.33
	24.69	34.91	166.35	54.09	92.37	161.51	63.43	67.16	137.46
	33.12	38.25	27.04	31.23	104.74	58.42	211.22	121.45	29.21
	51.79	24.69	41.31	31.23	27.04	45.52	153.38	104.74	59.46
	29.21	44.16	39.81	79.62	46.84	27.04	106.47	172.82	31.23
	139.22	45.52	38.25	68.06	27.04	134.77	112.05	148.95	29.21
	54.09	101.19	94.98	192.82	155.75	113.14	142.25	151.39	99.98
	34.91	55.2	27.04	27.04	117.88	27.04	93.03	33.12	33.12
	60.47	49.38	190.91	57.37	264.29	143.96	119.43	42.76	31.23
	124.42	49.38	24.69	64.38	29.21	77.29	90.37	24.69	38.25
	107.05	126.37	29.21	27.04	27.04	29.21	31.23	111.51	143.96
	60.47	52.95	59.46	41.31	29.21	29.21	33.12	27.04	24.69
	57.37	171.76	50.6	45.52	41.31	39.81	24.69	74.88	72.4
	147.3	34.91	149.36	55.2	24.69	27.04	77.29	24.69	84.08
	27.04	163.76	199.35	31.23	68.06	39.81	48.13	36.62	109.86
	75.69	140.53	29.21	45.52	31.23	101.19	27.04	24.69	62.46
	33.12	24.69	188.02	33.12	29.21	141.82	153.78	91.05	46.84
	36.62	48.13	66.25	238.34	45.52	124.91	49.38	102.39	31.23
	122.45	36.62	33.12	38.25	33.12	52.95	45.52	77.29	86.23
	24.69	116.85	27.04	143.53	177.69	59.46	113.14	86.94	173.17
	103.57	42.76	84.08	88.33	45.52	51.79	24.69	132.49	24.69
	98.75	29.21	188.67	54.09	41.31	36.62	154.18	34.91	27.04
	52.95	120.95	24.69	29.21	34.91	49.38	48.13	93.03	91.71
	36.62	24.69	117.37	34.91	169.25	27.04	44.16	55.2	56.3
	34.91	27.04	24.69	91.05	123.93	34.91	55.2	45.52	160.0
	96.25	29.21	59.46	31.23	34.91	27.04	58.42	24.69	24.69
	24.69	80.38	39.81	29.21	42.76	24.69	45.52	176.31	27.04
	128.76	104.74	24.69	92.37	27.04	72.4	24.69	65.32	31.23
	42.76	130.64	87.63	54.09	122.45	106.47		29.21	33.12
	114.21	83.36	68.95	50.6	54.09	59.46		29.21	66.25
		70.7	57.37	34.91	54.09	54.09		24.69	125.4
		45.52	39.81	24.69	69.83	95.62		24.69	148.54
		38.25	168.89	34.91	31.23	24.69		24.69	29.21
		45.52	62.46		57.37	27.04			84.08
		108.18	27.04		80.38	51.79			88.33
		34.91	38.25		42.76	29.21			29.21
			38.25		49.38	130.17			27.04
					31.23	88.33			36.62
						24.69			51.79
						128.28			69.83
									34.91
									81.88
									24.69
									24.69
									52.95
