20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009
41.31	31.23	36.62	31.23	27.04	27.04	42.76	48.13	24.69	44.16
29.21	29.21	29.21	49.38	27.04	51.79	42.76	29.21	27.04	29.21
31.23	58.42	34.91	39.81	31.23	33.12	24.69	41.31	24.69	232.91
91.71	24.69	24.69	33.12	194.71	29.21	31.23	29.21	29.21	27.04
197.2	64.38	42.76	46.84	31.23	172.11	34.91	24.69	27.04	24.69
271.79	56.3	34.91	65.32	34.91	27.04	54.09	132.03	61.47	24.69
34.91	50.6	27.04	41.31	27.04	36.62	50.6	29.21	39.81	39.81
	54.09	74.06	27.04	41.31	48.13	27.04	36.62	41.31	24.69
	34.91	27.04	93.03	27.04	24.69	27.04	230.8	34.91	24.69
	190.6	29.21	33.12	31.23	31.23	29.21	144.38	24.69	27.04
	24.69	52.95	24.69	24.69	195.33	29.21	24.69	44.16	36.62
	57.37	34.91	44.16	27.04	166.35	24.69	24.69	31.23	29.21
	27.04	24.69	42.76	44.16	104.16	33.12	27.04	24.69	24.69
	42.76	36.62	128.76	50.6	36.62	49.38	31.23	24.69	38.25
	24.69	27.04	24.69	27.04	31.23	45.52	24.69	36.62	24.69
	81.13	29.21	87.63	34.91	51.79	27.04	27.04	24.69	29.21
	50.6	34.91	78.85	173.17	39.81	56.3	41.31	24.69	36.62
	48.13	59.46	31.23	24.69	41.31	237.57	31.23	41.31	29.21
	33.12	24.69	29.21	50.6	27.04	24.69	24.69	29.21	39.81
	24.69	27.04	41.31	58.42	24.69	46.84	27.04	29.21	33.12
	27.04	31.23	48.13	33.12	211.8	27.04	225.46	24.69	31.23
	74.06	46.84	31.23	48.13	24.69	27.04	147.72	52.95	33.12
	29.21	39.81	33.12	49.38	29.21	48.13	24.69	31.23	29.21
	33.12	68.06	27.04	31.23	34.91	38.25	57.37	34.91	
	34.91	33.12	58.42	24.69	29.21	24.69	34.91		
	24.69	38.25	34.91	24.69	24.69	198.74	31.23		
	48.13	39.81	31.23	38.25	29.21	233.17	27.04		
	33.12	34.91	24.69	34.91	128.28	24.69	45.52		
	66.25	29.21		31.23	29.21	31.23	29.21		
	49.38	27.04		27.04	29.21	27.04	24.69		
	33.12	73.24		31.23	33.12	27.04	66.25		
	31.23	31.23		303.78		38.25			
	98.13	24.69		31.23		46.84			
	42.76	31.23		135.22		24.69			
	24.69	56.3		36.62					
	34.91	29.21		45.52					
	24.69	27.04		42.76					
	29.21	48.13		33.12					
	52.95	44.16							
	41.31	31.23							
	29.21	27.04							
		27.04							
