20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009
10.7102	2.491	2.0807	2.602	2.4944	3.8944	2.9091	2.9231	8.5371	4.2377
8.4742	1.996	5.9211	8.6146	6.6725	8.6767	2.6598	2.5032	9.3159	2.2752
7.5169	2.3049	3.7203	8.5079	8.6752	8.8208	2.2972	3.5172	2.2809	4.8183
5.6017	1.996	2.3939	7.1044	6.363	2.1842	8.3132	8.9898	2.483	8.5653
13.9297	4.8147	3.1467	3.7665	2.5637	3.8463	2.7028	4.2277	2.2781	2.1891
52.1441	7.918	2.951	3.688	2.5444	2.3455	3.843	3.661	2.8786	2.1615
4.7543	10.1617	4.2948	8.0489	2.2478	9.2299	2.7458	3.3154	3.2452	2.4587
	2.3004	8.4325	2.9096	4.3415	4.224	2.4447	9.8808	8.4382	2.3951
	2.3977	2.1243	9.1208	7.4006	2.3824	2.4977	4.7548	2.7976	2.4066
	4.809	2.9064	3.2004	3.6175	6.9167	2.465	3.9778	7.7655	2.247
	2.0722	8.5359	2.0942	2.6109	5.4328	4.5001	2.3785	2.3438	2.4406
	2.6904	7.7962	9.0186	2.6123	5.4112	3.454	2.4126	3.3032	4.1995
	2.239	2.0865	2.1972	4.7326	3.1703	2.7339	2.5769	2.2715	2.887
	2.3654	6.3187	3.0458	4.3963	2.5509	8.8586	9.9412	2.4658	10.3451
	1.95	2.1108	1.9949	2.5798	3.6021	9.238	3.0167	2.5908	2.4155
	2.5569	2.4069	9.6085	9.3902	10.9287	3.5028	8.5923	2.2606	2.3006
	2.3374	2.2956	5.3161	4.5048	9.475	2.6409	9.3884	6.7953	10.7936
	2.3621	2.1679	2.5644	3.0411	3.6247	5.5089	2.9889	3.4528	2.5204
	6.3127	2.138	3.193	4.0571	6.8331	2.5732	5.7707	2.5907	4.0266
	2.1404	2.1022	8.353	7.7733	3.6392	3.445	6.59	6.4172	8.2167
	7.1641	2.1358	8.4468	9.0911	5.0404	2.5738	5.3121	2.4764	9.2039
	4.9681	9.1194	2.3213	10.9592	2.4287	2.5161	4.199	2.5058	2.3282
	5.3571	3.5184	4.1279	4.8632	2.5494	4.859	5.3955	2.1875	2.6061
	5.1508	5.3372	2.0439	2.6939	2.4581	9.7755	5.0292	2.4518	
	2.2633	6.2364	4.447	2.3397	2.3925	2.428	3.7028		
	2.4376	3.0994	7.1672	2.4377	2.2129	4.6972	3.1455		
	3.5266	2.4301	2.3511	4.3316	3.2502	4.646	5.6699		
	6.022	7.3926	2.2243	3.178	4.8342	2.4905	9.5179		
	9.0062	2.0745		8.1085	2.3003	7.5258	8.2987		
	3.4417	2.1568		8.0725	8.21	2.8326	6.0766		
	4.3169	2.7668		8.0683	2.8199	8.6413	3.0127		
	2.2639	2.1966		6.5813		9.5239			
	2.616	1.9565		2.8678		11.4319			
	2.2603	6.8472		3.697		3.0846			
	1.9514	5.0348		2.7387					
	6.9538	2.3083		4.5476					
	2.6648	2.2037		2.7498					
	2.006	9.9884		2.4647					
	2.4649	2.4698							
	6.2346	6.6554							
	2.1777	2.8116							
		2.1586							
