20_Min_00001	20_Min_00002
5.3727	9.0868
6.0602	7.5234
9.6584	5.97
14.7767	4.3027
5.9059	5.3164
12.5403	6.3482
9.6782	6.0071
7.7412	4.3581
5.952	4.2307
6.0123	4.9635
8.4513	12.4271
11.8267	8.5688
8.6509	4.1354
6.7738	4.4038
5.6947	6.6226
10.2241	8.281
8.6304	12.0874
12.17	4.7206
7.4845	4.363
7.907	4.4983
7.0727	
5.9625	
7.0797	
6.9604	
8.7712	
6.0624	
9.9112	
8.7425	
6.9402	
6.2584	
5.8058	
6.9151	
6.2066	
6.4309	
8.3675	
8.5301	
9.4917	
5.4024	
7.2458	
7.6761	
8.6533	
4.8706	
6.5285	
7.9862	
8.7958	
12.5544	
7.9298	
7.1965	
7.067	
6.2455	
6.0244	
5.5808	
5.7898	
12.9952	
6.0546	
8.068	
11.7194	
6.2399	
7.0366	
10.8373	
5.8122	
9.219	
7.5041	
6.5285	
10.8001	
5.3633	
6.8624	
12.7058	
10.0098	
8.4704	
5.8632	
10.1797	
5.223	
6.9766	
5.7575	
8.9122	
11.0803	
8.8891	
8.1185	
6.1106	
13.0986	
7.4854	
7.8056	
7.585	
7.2431	
9.2238	
8.4098	
7.6354	
12.2478	
8.6332	
7.6062	
8.559	
6.7642	
6.2671	
5.3165	
8.3629	
7.5173	
6.3109	
11.4737	
6.2045	
5.3629	
9.329	
5.8249	
9.5849	
5.2756	
12.825	
10.7113	
10.7665	
7.7198	
