20_Min_00001	20_Min_00002
54.09	85.17
58.42	77.88
130.64	54.65
187.37	13.52
58.42	29.73
159.23	44.16
54.09	75.09
103.57	17.46
73.24	17.46
66.25	25.3
98.75	156.73
124.91	88.84
118.91	21.38
98.75	13.52
69.83	45.19
118.91	77.68
98.75	158.56
124.91	24.06
91.05	25.89
103.57	13.52
69.83	
82.62	
76.49	
98.75	
91.05	
85.52	
137.9	
126.85	
62.46	
66.25	
66.25	
66.25	
66.25	
88.33	
91.05	
120.95	
105.9	
79.62	
85.52	
124.91	
101.19	
49.38	
69.83	
85.52	
105.9	
180.75	
101.19	
76.49	
82.62	
54.09	
58.42	
69.83	
62.46	
193.77	
66.25	
116.85	
175.27	
58.42	
91.05	
149.77	
62.46	
128.76	
103.57	
69.83	
163.76	
66.25	
82.62	
173.87	
144.8	
69.83	
73.24	
157.7	
54.09	
85.52	
85.52	
122.95	
160.76	
98.75	
93.69	
58.42	
176.65	
79.62	
96.25	
93.69	
82.62	
130.64	
110.41	
91.05	
196.27	
118.91	
110.41	
112.6	
62.46	
79.62	
54.09	
96.25	
73.24	
62.46	
154.57	
73.24	
62.46	
124.91	
69.83	
122.95	
62.46	
180.75	
130.64	
165.24	
101.19	
