20_Min	20_Min_Tg	No_Anneal
5.3727	4.9681	3.738
6.0602	4.4127	3.2409
9.6584	4.1099	3.5449
14.7767	4.2192	3.3432
5.9059	4.3468	3.4259
12.5403	4.9622	3.0281
9.6782	3.9702	4.0065
7.7412	4.156	4.3283
5.952	6.0767	2.4561
6.0123	3.9898	2.7902
8.4513	5.5815	2.7987
11.8267	5.102	2.358
8.6509	4.7897	3.2912
6.7738	4.5341	2.3242
5.6947	4.0281	3.9875
10.2241	3.7657	3.4735
8.6304	3.5475	3.851
12.17	2.8602	2.6169
7.4845	3.4027	4.4785
7.907	4.4725	4.0791
7.0727	3.4179	2.4183
5.9625	3.2014	3.1271
7.0797	2.2102	3.2748
6.9604	3.1198	2.9182
8.7712	2.6468	4.5227
6.0624	2.4726	2.8906
9.9112	2.5506	3.3516
8.7425	2.2495	2.7931
6.9402	2.342	2.7047
6.2584	2.4881	3.1949
5.8058	2.3869	5.8074
6.9151	2.2532	2.5466
6.2066	2.4079	2.557
6.4309	2.8972	3.0688
8.3675	2.3398	2.6781
8.5301	2.4264	2.1045
9.4917	3.0997	3.0923
5.4024	4.3872	3.6545
7.2458	4.0937	2.5126
7.6761	2.8391	2.838
8.6533	3.1172	2.4766
4.8706	2.2789	2.048
6.5285	2.1978	2.931
7.9862	2.2039	3.7616
8.7958	2.6231	3.307
12.5544	2.854	2.7016
7.9298	2.0809	1.8721
7.1965	4.5931	2.3993
7.067	2.5776	2.9322
6.2455	2.2725	2.5118
6.0244	2.7228	2.8016
5.5808	3.5852	2.7144
5.7898	3.4721	3.1376
12.9952	3.2177	2.387
6.0546	2.5043	3.4001
8.068	3.7577	3.2855
11.7194	2.3406	2.561
6.2399	3.3446	2.5685
7.0366	2.4125	2.88
10.8373	2.2248	3.2695
5.8122	3.8617	2.4444
9.219	2.0519	3.1102
7.5041	3.5096	3.4576
6.5285	3.3334	3.0526
10.8001	2.464	3.1919
5.3633	2.9643	2.4406
6.8624	2.5987	2.1552
12.7058	3.1237	2.7867
10.0098	2.0096	3.6938
8.4704	3.757	2.0634
5.8632	2.7543	2.7599
10.1797	4.0983	2.0205
5.223	3.5041	2.0747
6.9766	4.3721	4.6735
5.7575	2.0012	3.1238
8.9122	3.9293	4.053
11.0803	3.3923	3.3351
8.8891	3.203	2.9644
8.1185	2.1848	2.1093
6.1106	2.66	2.0506
13.0986	2.4288	1.9199
7.4854	2.2722	2.9597
7.8056	2.548	2.8551
7.585	2.755	2.5968
7.2431	2.5586	2.0353
9.2238	2.3886	1.9353
8.4098	2.5475	2.1272
7.6354	2.9154	2.142
12.2478	2.834	2.1979
8.6332	3.0036	2.0044
7.6062	3.0451	3.1232
8.559	2.5702	2.9935
6.7642	3.485	3.1567
6.2671	2.5068	2.9552
5.3165	2.6479	2.3572
8.3629	2.6383	2.9828
7.5173	3.9237	1.9366
6.3109	2.5117	4.0837
11.4737	2.2543	2.9946
6.2045	2.4526	2.7658
5.3629	2.3718	2.3463
9.329	2.1287	2.2515
5.8249	2.4561	2.3984
9.5849	2.5786	2.834
5.2756	2.9649	3.8492
12.825	2.939	3.696
10.7113	2.306	3.1436
10.7665	2.9722	4.3987
7.7198	3.861	2.0633
9.0868	3.1316	2.4712
7.5234	4.6759	2.309
5.97	2.3134	2.7816
4.3027	4.1158	3.2974
5.3164	3.8794	2.5618
6.3482	2.421	2.9133
6.0071	3.1314	2.6344
4.3581	2.5926	2.2598
4.2307	4.0824	3.0772
4.9635	2.4915	2.2197
12.4271	2.3214	3.0601
8.5688	3.4584	2.2739
4.1354	2.0772	2.7549
4.4038	2.2361	2.9324
6.6226	1.9436	2.3905
8.281	3.3274	2.7151
12.0874	2.894	3.819
4.7206	3.2551	2.6968
4.363	3.0553	2.5037
4.4983	3.128	2.9843
	2.9656	3.2393
	2.537	2.2017
	2.3306	3.4402
	3.6584	2.5512
	2.2139	2.8116
	2.4394	2.015
	2.3172	1.9316
	2.5997	1.9554
	2.321	2.887
	3.1714	2.5368
	2.6332	2.2959
	2.2889	3.5216
	2.2185	2.788
	2.1374	2.0464
	4.7844	2.433
	2.4587	2.7116
	2.9753	2.4746
	2.7266	3.2141
	3.5552	2.4567
	2.8916	3.1502
	2.4255	4.258
	2.6006	2.656
	3.6815	2.1654
	2.7922	2.7182
	2.8104	3.8904
	3.5089	4.3795
	2.7157	3.8536
	4.0074	3.0117
	3.8015	2.5089
	2.1627	2.1138
	2.7379	2.9899
	2.3167	2.7404
	4.043	2.3843
	2.4147	3.1714
	2.4329	3.1092
	2.4208	2.9234
	2.8833	2.4993
	2.9446	3.4554
	2.1945	2.5736
	4.356	2.6237
	2.0787	3.0883
	2.6623	2.2805
	2.8633	3.8644
	2.496	2.6036
	3.9925	2.2174
	4.0642	2.3747
	2.4207	4.0599
	4.2085	2.2803
	2.672	2.0082
	2.3482	2.1091
	2.226	2.3793
	2.9212	2.0706
	4.4258	3.4185
	2.1303	2.2654
	2.9114	2.0538
	2.0816	2.4415
	2.9214	2.1273
	2.7378	2.1288
	2.1629	2.783
	3.2492	3.4563
	3.086	3.9752
	2.7621	2.2137
	2.7717	1.9426
	4.029	2.003
	3.1357	2.6418
	2.3902	2.1502
	2.5102	2.006
	2.9321	2.4906
	3.1118	2.1219
	3.0935	2.3507
	2.8147	2.066
	3.0199	2.3901
	2.8771	1.8916
	3.3665	1.7676
	2.8594	2.1222
	4.543	2.5485
	2.9436	2.8282
	3.3525	1.8908
	4.3093	2.5144
	2.4979	2.0122
	2.5394	2.3565
	2.9331	1.9368
	3.2301	3.7295
	2.887	2.228
	4.3757	3.2532
	3.8615	2.8975
	3.7753	2.3948
	3.1777	2.9961
	2.2983	3.1118
	3.9225	2.4573
	2.2459	3.4989
	4.4253	3.2441
	2.6458	3.7235
	2.655	2.0114
	3.2504	3.4033
	2.8964	2.0854
	2.7006	2.0641
	2.6749	2.3484
	2.915	1.859
	3.2249	2.637
	5.0755	2.5689
	2.4093	1.9059
	3.3987	1.9375
	3.7283	3.6163
	2.6787	2.0339
	3.102	3.1499
	3.1746	1.9338
	2.9099	2.978
	2.4203	3.3743
	2.9871	1.8941
	2.5571	2.4225
	4.8018	1.8736
	3.1746	1.894
	4.1026	3.4171
	3.3624	1.8556
	2.888	2.8355
	2.8622	1.9892
	2.563	1.8693
	3.5164	2.993
	3.2963	2.6574
	2.8365	3.1817
	3.6237	2.89
	2.8045	2.8657
	3.1045	2.5101
	2.8453	3.3186
	2.7023	2.2825
	2.9717	2.9138
	3.7149	2.2826
	2.8484	2.8996
