20_Min	20_Min_Tg	No_Anneal
54.09	60.47	71.55
58.42	41.31	41.31
130.64	29.21	33.12
187.37	29.21	57.37
58.42	24.69	68.06
159.23	77.29	38.25
54.09	24.69	39.81
103.57	27.04	94.33
73.24	143.96	24.69
66.25	31.23	39.81
98.75	105.32	36.62
124.91	64.38	33.12
118.91	45.52	68.06
98.75	68.06	24.69
69.83	41.31	52.95
118.91	24.69	51.79
98.75	113.14	66.25
124.91	63.43	33.12
91.05	124.91	86.23
103.57	154.18	104.16
69.83	93.03	24.69
82.62	62.46	33.12
76.49	39.81	52.95
98.75	98.75	29.21
91.05	48.13	87.63
85.52	54.09	24.69
137.9	41.31	59.46
126.85	29.21	24.69
62.46	41.31	34.91
66.25	41.31	52.95
66.25	39.81	190.6
66.25	39.81	27.04
66.25	29.21	24.69
88.33	36.62	46.84
91.05	24.69	24.69
120.95	29.21	27.04
105.9	46.84	49.38
79.62	187.7	66.25
85.52	146.47	27.04
124.91	77.29	50.6
101.19	83.36	27.04
49.38	36.62	41.31
69.83	27.04	60.47
85.52	24.69	73.24
105.9	33.12	63.43
180.75	51.79	58.42
101.19	29.21	27.04
76.49	139.22	27.04
82.62	54.09	71.55
54.09	34.91	46.84
58.42	60.47	66.25
69.83	124.42	38.25
62.46	107.05	56.3
193.77	60.47	31.23
66.25	57.37	66.25
116.85	147.3	74.06
175.27	27.04	24.69
58.42	75.69	38.25
91.05	33.12	52.95
149.77	36.62	54.09
62.46	122.45	42.76
128.76	24.69	41.31
103.57	103.57	70.7
69.83	98.75	70.7
163.76	52.95	72.4
66.25	36.62	42.76
82.62	34.91	27.04
173.87	96.25	60.47
144.8	24.69	86.23
69.83	128.76	67.16
73.24	42.76	50.6
157.7	114.21	39.81
54.09	111.51	24.69
85.52	192.19	387.53
85.52	24.69	64.38
122.95	175.96	74.06
160.76	86.94	63.43
98.75	79.62	51.79
93.69	24.69	52.95
58.42	45.52	33.12
176.65	57.37	27.04
79.62	33.12	64.38
96.25	44.16	50.6
93.69	57.37	94.98
82.62	52.95	31.23
130.64	50.6	24.69
110.41	27.04	38.25
91.05	39.81	78.85
196.27	41.31	61.47
118.91	38.25	38.25
110.41	138.34	70.7
112.6	24.69	45.52
62.46	99.98	59.46
79.62	27.04	55.2
54.09	56.3	34.91
96.25	61.47	58.42
73.24	128.28	29.21
62.46	48.13	104.74
154.57	38.25	60.47
73.24	34.91	51.79
62.46	38.25	27.04
124.91	24.69	34.91
69.83	44.16	42.76
122.95	45.52	46.84
62.46	101.19	97.51
180.75	55.2	63.43
130.64	49.38	67.16
165.24	49.38	148.13
101.19	126.37	55.2
85.17	52.95	158.08
77.88	171.76	24.69
54.65	34.91	36.62
13.52	163.76	75.69
29.73	140.53	27.04
44.16	24.69	50.6
75.09	48.13	44.16
17.46	36.62	52.95
17.46	116.85	33.12
25.3	42.76	24.69
156.73	29.21	44.16
88.84	120.95	31.23
21.38	24.69	52.95
13.52	27.04	50.6
45.19	29.21	29.21
77.68	80.38	46.84
158.56	104.74	118.4
24.06	130.64	34.91
25.89	83.36	62.46
13.52	70.7	36.62
	45.52	68.95
	38.25	31.23
	45.52	52.95
	108.18	24.69
	34.91	41.31
	24.69	44.16
	29.21	24.69
	34.91	31.23
	29.21	68.06
	60.47	29.21
	54.09	24.69
	24.69	62.46
	24.69	29.21
	29.21	24.69
	195.33	38.25
	61.47	36.62
	80.38	64.38
	36.62	59.46
	111.51	80.38
	97.51	57.37
	36.62	110.41
	34.91	24.69
	160.38	29.21
	46.84	54.09
	57.37	83.36
	62.46	81.13
	41.31	81.88
	151.39	49.38
	91.05	31.23
	27.04	29.21
	34.91	63.43
	27.04	27.04
	166.35	24.69
	27.04	69.83
	41.31	66.25
	39.81	49.38
	38.25	38.25
	94.98	104.74
	27.04	27.04
	190.91	31.23
	24.69	31.23
	29.21	27.04
	59.46	38.25
	50.6	52.95
	149.36	77.29
	199.35	85.52
	29.21	91.05
	188.02	68.95
	66.25	27.04
	33.12	29.21
	27.04	33.12
	84.08	27.04
	188.67	90.37
	24.69	27.04
	117.37	24.69
	24.69	33.12
	59.46	27.04
	39.81	33.12
	24.69	45.52
	87.63	68.95
	68.95	77.29
	57.37	24.69
	39.81	31.23
	168.89	44.16
	62.46	24.69
	27.04	24.69
	38.25	27.04
	38.25	39.81
	83.36	38.25
	52.95	33.12
	51.79	29.21
	39.81	33.12
	58.42	34.91
	44.16	24.69
	33.12	29.21
	156.92	36.62
	45.52	70.7
	46.84	24.69
	133.86	56.3
	27.04	60.47
	33.12	27.04
	56.3	45.52
	42.76	78.85
	44.16	24.69
	162.64	51.79
	93.69	66.25
	66.25	51.79
	60.47	58.42
	24.69	96.25
	156.53	42.76
	24.69	74.88
	144.8	59.46
	31.23	62.46
	29.21	33.12
	86.23	74.06
	54.09	38.25
	31.23	48.13
	31.23	34.91
	79.62	31.23
	68.06	27.04
	192.82	31.23
	27.04	24.69
	57.37	31.23
	64.38	63.43
	27.04	44.16
	41.31	46.84
	45.52	39.81
	55.2	58.42
	31.23	68.95
	45.52	24.69
	33.12	170.33
	238.34	24.69
	38.25	38.25
	143.53	162.64
	88.33	27.04
	54.09	27.04
	29.21	29.21
	34.91	27.04
	91.05	72.4
	31.23	27.04
	29.21	64.38
	92.37	68.95
	54.09	66.25
	50.6	34.91
	34.91	59.46
	24.69	24.69
	34.91	81.13
	45.52	39.81
	38.25	74.88
	88.33	38.25
	27.04	52.95
	126.85	60.47
	27.04	56.3
	34.91	24.69
	24.69	33.12
	24.69	96.88
	29.21	68.95
	27.04	27.04
	124.91	29.21
