20_Min	20_Min_Tg	No_Anneal
79.62	41.31	29.21
132.49	29.21	27.04
110.41	31.23	170.33
98.75	91.71	38.25
98.75	197.2	27.04
163.76	271.79	31.23
69.83	34.91	31.23
54.09	31.23	29.21
96.25	29.21	24.69
110.41	58.42	29.21
149.77	24.69	79.62
132.49	64.38	31.23
110.41	56.3	52.95
143.11	50.6	471.93
157.7	54.09	31.23
73.24	34.91	31.23
103.57	190.6	24.69
118.91	24.69	38.25
62.46	57.37	33.12
154.57	27.04	173.52
66.25	42.76	41.31
110.41	24.69	46.84
198.74	81.13	24.69
136.12	50.6	41.31
93.69	48.13	60.47
91.05	33.12	29.21
82.62	24.69	27.04
141.39	27.04	31.23
69.83	74.06	29.21
105.9	29.21	24.69
49.38	33.12	34.91
82.62	34.91	29.21
49.38	24.69	42.76
58.42	48.13	24.69
175.27	33.12	70.7
160.76	66.25	67.16
96.25	49.38	74.88
126.85	33.12	29.21
88.33	31.23	31.23
96.25	98.13	24.69
101.19	42.76	108.74
178.03	24.69	33.12
149.77	34.91	24.69
173.87	24.69	24.69
101.19	29.21	33.12
124.91	52.95	27.04
73.24	41.31	29.21
204.78	29.21	24.69
110.41	36.62	114.74
35.35	29.21	70.7
85.34	34.91	64.38
22.08	24.69	247.62
26.48	42.76	50.6
119.43	34.91	31.23
40.57	27.04	86.23
26.48	74.06	319.04
16.56	27.04	36.62
77.88	29.21	31.23
21.38	52.95	75.69
	34.91	39.81
	24.69	100.59
	36.62	57.37
	27.04	33.12
	29.21	29.21
	34.91	45.52
	59.46	31.23
	24.69	46.84
	27.04	27.04
	31.23	441.64
	46.84	33.12
	39.81	24.69
	68.06	27.04
	33.12	31.23
	38.25	111.51
	39.81	27.04
	34.91	41.31
	29.21	168.53
	27.04	119.93
	73.24	78.07
	31.23	33.12
	24.69	104.74
	31.23	31.23
	56.3	33.12
	29.21	56.3
	27.04	24.69
	48.13	66.25
	44.16	66.25
	31.23	48.13
	27.04	31.23
	27.04	31.23
	31.23	46.84
	49.38	31.23
	39.81	39.81
	33.12	192.5
	46.84	24.69
	65.32	29.21
	41.31	38.25
	27.04	152.59
	93.03	44.16
	33.12	24.69
	24.69	38.25
	44.16	91.71
	42.76	31.23
	128.76	50.6
	24.69	96.25
	87.63	31.23
	78.85	86.23
	31.23	29.21
	29.21	24.69
	41.31	24.69
	48.13	27.04
	31.23	398.7
	33.12	31.23
	27.04	24.69
	58.42	24.69
	34.91	194.08
	31.23	31.23
	24.69	33.12
	27.04	705.49
	27.04	31.23
	31.23	24.69
	194.71	31.23
	31.23	31.23
	34.91	59.46
	27.04	34.91
	41.31	68.95
	27.04	45.52
	31.23	24.69
	24.69	51.79
	27.04	24.69
	44.16	27.04
	50.6	33.12
	27.04	123.93
	34.91	117.37
	173.17	72.4
	24.69	116.32
	50.6	61.47
	58.42	41.31
	33.12	184.42
	48.13	31.23
	49.38	46.84
	31.23	24.69
	24.69	77.29
	24.69	39.81
	38.25	33.12
	34.91	56.3
	31.23	24.69
	27.04	29.21
	31.23	24.69
	303.78	27.04
	31.23	333.98
	135.22	29.21
	36.62	24.69
	45.52	44.16
	42.76	39.81
	33.12	27.04
	27.04	24.69
	51.79	24.69
	33.12	38.25
	29.21	55.2
	172.11	24.69
	27.04	89.01
	36.62	27.04
	48.13	24.69
	24.69	36.62
	31.23	29.21
	195.33	27.04
	166.35	27.04
	104.16	49.38
	36.62	38.25
	31.23	51.79
	51.79	79.62
	39.81	29.21
	41.31	24.69
	27.04	31.23
	24.69	42.76
	211.8	27.04
	24.69	38.25
	29.21	
	34.91	
	29.21	
	24.69	
	29.21	
	128.28	
	29.21	
	29.21	
	33.12	
	42.76	
	42.76	
	24.69	
	31.23	
	34.91	
	54.09	
	50.6	
	27.04	
	27.04	
	29.21	
	29.21	
	24.69	
	33.12	
	49.38	
	45.52	
	27.04	
	56.3	
	237.57	
	24.69	
	46.84	
	27.04	
	27.04	
	48.13	
	38.25	
	24.69	
	198.74	
	233.17	
	24.69	
	31.23	
	27.04	
	27.04	
	38.25	
	46.84	
	24.69	
	48.13	
	29.21	
	41.31	
	29.21	
	24.69	
	132.03	
	29.21	
	36.62	
	230.8	
	144.38	
	24.69	
	24.69	
	27.04	
	31.23	
	24.69	
	27.04	
	41.31	
	31.23	
	24.69	
	27.04	
	225.46	
	147.72	
	24.69	
	57.37	
	34.91	
	31.23	
	27.04	
	45.52	
	29.21	
	24.69	
	66.25	
	24.69	
	27.04	
	24.69	
	29.21	
	27.04	
	61.47	
	39.81	
	41.31	
	34.91	
	24.69	
	44.16	
	31.23	
	24.69	
	24.69	
	36.62	
	24.69	
	24.69	
	41.31	
	29.21	
	29.21	
	24.69	
	52.95	
	31.23	
	34.91	
	44.16	
	29.21	
	232.91	
	27.04	
	24.69	
	24.69	
	39.81	
	24.69	
	24.69	
	27.04	
	36.62	
	29.21	
	24.69	
	38.25	
	24.69	
	29.21	
	36.62	
	29.21	
	39.81	
	33.12	
	31.23	
	33.12	
	29.21	
