20_Min	20_Min_Tg	No_Anneal
6.2343	10.7102	2.2977
9.3265	8.4742	2.288
6.2193	7.5169	2.7028
6.2752	5.6017	2.4611
6.8142	13.9297	2.3711
7.868	52.1441	2.3092
5.1147	4.7543	2.2919
4.685	2.491	2.3626
5.2317	1.996	2.261
5.7933	2.3049	2.3618
9.1297	1.996	2.7458
8.4303	4.8147	2.4746
5.1228	7.918	2.559
13.1483	10.1617	4.2935
6.4523	2.3004	2.5257
5.1877	2.3977	2.4024
8.6732	4.809	2.2778
7.6108	2.0722	2.0296
4.6154	2.6904	1.9906
7.6538	2.239	2.4465
4.9196	2.3654	2.1029
6.1599	1.95	1.9523
14.7012	2.5569	1.9283
6.948	2.3374	2.1567
4.8993	2.3621	1.927
6.1556	6.3127	1.9467
5.9047	2.1404	1.8802
6.8441	7.1641	1.9952
4.8715	4.9681	1.9162
4.7652	5.3571	1.929
4.8139	5.1508	1.9845
5.7255	2.2633	1.8696
4.401	2.4376	2.137
15.2651	3.5266	1.8614
6.8212	6.022	2.2377
12.177	9.0062	2.053
6.4843	3.4417	2.2329
6.4751	4.3169	1.9611
6.7155	2.2639	1.8667
6.0775	2.616	1.9334
6.8277	2.2603	2.1973
10.4906	1.9514	1.9479
6.2236	6.9538	1.913
10.8696	2.6648	1.9783
6.3396	2.006	1.934
7.6353	2.4649	2.1974
7.9656	6.2346	1.8917
14.7335	2.1777	1.9599
17.7785	2.0807	2.3752
4.7243	5.9211	2.2247
8.2101	3.7203	2.2076
4.8216	2.3939	2.8255
4.6094	3.1467	2.0564
7.1462	2.951	1.9581
5.0867	4.2948	2.4039
4.4558	8.4325	3.0119
4.0636	2.1243	2.0709
5.4186	2.9064	2.1895
4.5882	8.5359	2.3853
	7.7962	2.1733
	2.0865	2.4208
	6.3187	2.2632
	2.1108	2.0689
	2.4069	2.042
	2.2956	2.1999
	2.1679	2.1527
	2.138	2.1877
	2.1022	2.251
	2.1358	3.3527
	9.1194	2.0523
	3.5184	2.1098
	5.3372	2.0696
	6.2364	2.1311
	3.0994	2.3111
	2.4301	2.1815
	7.3926	2.2281
	2.0745	2.6937
	2.1568	2.2019
	2.7668	2.3173
	2.1966	1.8414
	1.9565	2.3197
