20_Min_00001	20_Min_00002	20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
5.3727	9.0868	4.9681	3.5475	3.5041	2.4394	3.1118	3.7149	2.7265	4.1715	3.9009	3.2215	3.738	2.1045	2.1272	3.5216	3.4563	2.4579	3.9456	3.5995	2.4684	3.9478
6.0602	7.5234	4.4127	2.8602	4.3721	2.3172	3.0935	2.8484	2.8564	2.8476	3.404	7.8863	3.2409	3.0923	2.142	2.788	3.9752	3.287	2.8939	3.8559	3.715	2.2387
9.6584	5.97	4.1099	3.4027	2.0012	2.5997	2.8147	4.0918	3.244	3.0319	5.4139	2.2756	3.5449	3.6545	2.1979	2.0464	2.2137	3.3573	2.5004	3.6026	2.5895	3.247
14.7767	4.3027	4.2192	4.4725	3.9293	2.321	3.0199	2.2866	3.1147	3.3836	4.2967	2.969	3.3432	2.5126	2.0044	2.433	1.9426	3.672	2.5584	2.639	3.1619	2.1907
5.9059	5.3164	4.3468	3.4179	3.3923	3.1714	2.8771	3.949	2.7473	4.4104	2.5469	2.2403	3.4259	2.838	3.1232	2.7116	2.003	2.1312	2.9227	3.9198	2.9922	2.1126
12.5403	6.3482	4.9622	3.2014	3.203	2.6332	3.3665	2.3697	2.6415	3.6822	3.659	2.9006	3.0281	2.4766	2.9935	2.4746	2.6418	1.9967	2.5192	3.018	3.4511	4.3426
9.6782	6.0071	3.9702	2.2102	2.1848	2.2889	2.8594	2.7892	2.7481	2.4897	3.7352	2.246	4.0065	2.048	3.1567	3.2141	2.1502	3.7263	2.9794	2.8054	2.4554	2.1212
7.7412	4.3581	4.156	3.1198	2.66	2.2185	4.543	2.2906	2.822	4.961	5.2857	3.2644	4.3283	2.931	2.9552	2.4567	2.006	2.0752	2.7845	2.9401	3.3209	2.1782
5.952	4.2307	6.0767	2.6468	2.4288	2.1374	2.9436	2.4163	2.6468	3.9308	3.1534	2.9745	2.4561	3.7616	2.3572	3.1502	2.4906	2.3055	3.1667	2.6681	3.1464	2.9602
6.0123	4.9635	3.9898	2.4726	2.2722	4.7844	3.3525	2.4883	3.0149	3.804	5.6255	2.8483	2.7902	3.307	2.9828	4.258	2.1219	2.9138	3.7381	2.5481	3.365	3.1152
8.4513	12.4271	5.5815	2.5506	2.548	2.4587	4.3093	2.4907	2.3244	3.501	2.4477	3.1352	2.7987	2.7016	1.9366	2.656	2.3507	2.0132	4.2035	2.7203	3.217	2.6386
11.8267	8.5688	5.102	2.2495	2.755	2.9753	2.4979	3.9395	4.6828	3.5144	2.2678	3.5379	2.358	1.8721	4.0837	2.1654	2.066	2.7036	2.3555	2.2417	2.7657	2.8596
8.6509	4.1354	4.7897	2.342	2.5586	2.7266	2.5394	3.7065	3.5607	4.5879	3.4234	2.6574	3.2912	2.3993	2.9946	2.7182	2.3901	2.2939	2.6396	4.229	2.5616	2.1821
6.7738	4.4038	4.5341	2.4881	2.3886	3.5552	2.9331	2.4741	3.9341	2.5797	4.3144	2.6531	2.3242	2.9322	2.7658	3.8904	1.8916	2.1163	2.6291	2.7142	5.1923	3.7935
5.6947	6.6226	4.0281	2.3869	2.5475	2.8916	3.2301	2.9325	2.7607	3.1966	4.7052	3.7074	3.9875	2.5118	2.3463	4.3795	1.7676	2.264	4.0079	2.8536	2.8363	3.707
10.2241	8.281	3.7657	2.2532	2.9154	2.4255	2.887	2.7202	2.9452	2.7876	2.9319	2.6029	3.4735	2.8016	2.2515	3.8536	2.1222	2.3702	3.4262	4.0923	2.8855	2.9441
8.6304	12.0874		2.4079	2.834	2.6006	4.3757	3.4655	2.4649	2.9438	6.183	2.9236	3.851	2.7144	2.3984	3.0117	2.5485	1.9297	2.7771	3.0736	4.0921	4.1407
12.17	4.7206		2.8972	3.0036	3.6815	3.8615	2.4965	2.6761	3.5801	3.1828	2.6866	2.6169	3.1376	2.834	2.5089	2.8282	2.1443	2.5698	2.5805	2.7482	3.205
