20_Min_00001	20_Min_00002	20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
54.09	85.17	60.47	113.14	111.51	24.69	83.36	45.52	29.21	61.47	41.31	67.16	71.55	27.04	38.25	62.46	68.95	29.21	58.42	27.04	29.21	94.98
58.42	77.88	41.31	63.43	192.19	29.21	52.95	38.25	24.69	29.21	24.69	210.07	41.31	49.38	78.85	29.21	77.29	73.24	48.13	83.36	65.32	24.69
130.64	54.65	29.21	124.91	24.69	34.91	51.79	88.33	54.09	45.52	93.69	31.23	33.12	66.25	61.47	24.69	24.69	74.06	27.04	31.23	27.04	27.04
187.37	13.52	29.21	154.18	175.96	29.21	39.81	27.04	58.42	39.81	119.93	67.16	57.37	27.04	38.25	38.25	31.23	90.37	31.23	31.23	60.47	29.21
58.42	29.73	24.69	93.03	86.94	60.47	58.42	126.85	34.91	130.17	29.21	29.21	68.06	50.6	70.7	36.62	44.16	58.42	24.69	38.25	48.13	27.04
159.23	44.16	77.29	62.46	79.62	54.09	44.16	27.04	31.23	48.13	84.08	24.69	38.25	27.04	45.52	64.38	24.69	34.91	27.04	44.16	91.05	64.38
54.09	75.09	24.69	39.81	24.69	24.69	33.12	34.91	34.91	31.23	57.37	27.04	39.81	41.31	59.46	59.46	24.69	68.95	33.12	29.21	34.91	27.04
103.57	17.46	27.04	98.75	45.52	24.69	156.92	24.69	50.6	160.38	145.64	60.47	94.33	60.47	55.2	80.38	27.04	27.04	38.25	34.91	77.29	49.38
73.24	17.46	143.96	48.13	57.37	29.21	45.52	24.69	27.04	95.62	70.7	34.91	24.69	73.24	34.91	57.37	39.81	29.21	24.69	31.23	42.76	57.37
66.25	25.3	31.23	54.09	33.12	195.33	46.84	29.21	44.16	101.19	128.76	51.79	39.81	63.43	58.42	110.41	38.25	54.09	46.84	27.04	41.31	74.06
98.75	156.73	105.32	41.31	44.16	61.47	133.86	27.04	24.69	62.46	27.04	55.2	36.62	58.42	29.21	24.69	33.12	24.69	79.62	86.23	39.81	39.81
124.91	88.84	64.38	29.21	57.37	80.38	27.04	124.91	135.67	64.38	33.12	97.51	33.12	27.04	104.74	29.21	29.21	46.84	38.25	33.12	44.16	27.04
118.91	21.38	45.52	41.31	52.95	36.62	33.12	107.61	91.71	116.32	73.24	24.69	68.06	27.04	60.47	54.09	33.12	33.12	24.69	80.38	36.62	29.21
98.75	13.52	68.06	41.31	50.6	111.51	56.3	31.23	121.45	24.69	85.52	31.23	24.69	71.55	51.79	83.36	34.91	52.95	31.23	41.31	77.29	68.95
69.83	45.19	41.31	39.81	27.04	97.51	42.76	46.84	27.04	44.16	107.05	48.13	52.95	46.84	27.04	81.13	24.69	38.25	107.61	27.04	50.6	68.06
118.91	77.68	24.69	39.81	39.81	36.62	44.16	31.23	24.69	33.12	31.23	29.21	51.79	66.25	34.91	81.88	29.21	24.69	54.09	78.07	27.04	46.84
98.75	158.56		29.21	41.31	34.91	162.64	84.08	29.21	33.12	84.08	54.09	66.25	38.25	42.76	49.38	36.62	27.04	38.25	45.52	107.05	91.05
124.91	24.06		36.62	38.25	160.38	93.69	39.81	36.62	80.38	46.84	31.23	33.12	56.3	46.84	31.23	70.7	24.69	24.69	24.69	49.38	49.38
91.05	25.89		24.69	138.34	46.84	66.25	132.95	34.91	46.84	33.12	88.33	86.23	31.23	97.51	29.21	24.69	76.49	34.91	34.91	50.6	46.84
103.57	13.52		29.21	24.69	57.37	60.47	87.63	219.71	24.69	130.64	65.32	104.16	66.25	63.43	63.43	56.3	42.76	29.21	38.25	62.46	41.31
69.83			46.84	99.98	62.46	24.69	122.45	163.39	27.04	96.25	36.62	24.69	74.06	67.16	27.04	60.47	55.2	38.25	38.25	81.88	84.81
82.62			187.7	27.04	41.31	156.53	27.04	27.04	139.22	180.07	55.2	33.12	24.69	148.13	24.69	27.04	27.04	24.69	68.95	52.95	81.13
76.49			146.47	56.3	151.39	24.69	33.12	78.07	62.46	27.04	222.47	52.95	38.25	55.2	69.83	45.52	29.21	41.31	24.69	36.62	31.23
98.75			77.29	61.47	91.05	144.8	175.27	31.23	152.99	80.38	29.21	29.21	52.95	158.08	66.25	78.85	39.81	34.91	39.81	51.79	103.57
91.05			83.36	128.28	27.04	31.23	24.69	34.91	139.22	186.39	62.46	87.63	54.09	24.69	49.38	24.69	31.23	31.23	33.12	24.69	67.16
85.52			36.62	48.13	34.91	29.21	54.09	31.23	159.62	134.32	68.95	24.69	42.76	36.62	38.25	51.79	42.76	38.25	36.62	63.43	58.42
137.9			27.04	38.25	27.04	86.23	27.04	125.4	107.61	55.2	94.33	59.46	41.31	75.69	104.74	66.25	38.25	31.23	72.4	58.42	36.62
126.85			24.69	34.91	166.35	54.09	92.37	161.51	63.43	67.16	137.46	24.69	70.7	27.04	27.04	51.79	41.31	34.91	33.12	66.25	76.49
62.46			33.12	38.25	27.04	31.23	104.74	58.42	211.22	121.45	29.21	34.91	70.7	50.6	31.23	58.42	33.12	29.21	60.47	42.76	38.25
66.25			51.79	24.69	41.31	31.23	27.04	45.52	153.38	104.74	59.46	52.95	72.4	44.16	31.23	96.25	49.38	49.38	36.62	64.38	27.04
66.25			29.21	44.16	39.81	79.62	46.84	27.04	106.47	172.82	31.23	190.6	42.76	52.95	27.04	42.76	34.91	24.69	46.84	89.01	100.59
66.25			139.22	45.52	38.25	68.06	27.04	134.77	112.05	148.95	29.21	27.04	27.04	33.12	38.25	74.88	27.04	44.16	386.43	64.38	56.3
66.25			54.09	101.19	94.98	192.82	155.75	113.14	142.25	151.39	99.98	24.69	60.47	24.69	52.95	59.46	80.38	36.62	29.21	36.62	36.62
88.33			34.91	55.2	27.04	27.04	117.88	27.04	93.03	33.12	33.12	46.84	86.23	44.16	77.29	62.46	24.69	36.62	52.95	65.32	69.83
91.05			60.47	49.38	190.91	57.37	264.29	143.96	119.43	42.76	31.23	24.69	67.16	31.23	85.52	33.12	72.4	105.9	51.79	87.63	48.13
120.95			124.42	49.38	24.69	64.38	29.21	77.29	90.37	24.69	38.25		50.6	52.95	91.05	74.06	42.76	66.25	63.43	82.62	76.49
105.9			107.05	126.37	29.21	27.04	27.04	29.21	31.23	111.51	143.96		39.81	50.6	68.95	38.25	85.52	48.13	61.47	42.76	54.09
79.62			60.47	52.95	59.46	41.31	29.21	29.21	33.12	27.04	24.69		24.69	29.21	27.04	48.13	73.24	29.21	50.6	31.23	48.13
85.52			57.37	171.76	50.6	45.52	41.31	39.81	24.69	74.88	72.4		387.53	46.84	29.21	34.91	34.91	33.12	24.69	33.12	31.23
124.91			147.3	34.91	149.36	55.2	24.69	27.04	77.29	24.69	84.08		64.38	118.4	33.12	31.23	38.25	54.09	24.69	33.12	31.23
101.19			27.04	163.76	199.35	31.23	68.06	39.81	48.13	36.62	109.86		74.06	34.91	27.04	27.04	31.23	44.16	36.62	83.36	24.69
49.38			75.69	140.53	29.21	45.52	31.23	101.19	27.04	24.69	62.46		63.43	62.46	90.37	31.23	108.74	100.59	24.69	42.76	24.69
69.83			33.12	24.69	188.02	33.12	29.21	141.82	153.78	91.05	46.84		51.79	36.62	27.04	24.69	65.32	44.16	50.6	101.79	29.21
85.52			36.62	48.13	66.25	238.34	45.52	124.91	49.38	102.39	31.23		52.95	68.95	24.69	31.23	34.91	42.76	29.21	78.85	29.21
105.9			122.45	36.62	33.12	38.25	33.12	52.95	45.52	77.29	86.23		33.12	31.23	33.12	63.43	38.25	24.69	24.69	27.04	33.12
180.75			24.69	116.85	27.04	143.53	177.69	59.46	113.14	86.94	173.17		27.04	52.95	27.04	44.16	77.29	57.37	29.21	24.69	59.46
101.19			103.57	42.76	84.08	88.33	45.52	51.79	24.69	132.49	24.69		64.38	24.69	33.12	46.84	42.76	24.69	58.42		68.06
76.49			98.75	29.21	188.67	54.09	41.31	36.62	154.18	34.91	27.04		50.6	41.31	45.52	39.81	36.62	34.91	72.4		
82.62			52.95	120.95	24.69	29.21	34.91	49.38	48.13	93.03	91.71		94.98	44.16		58.42	80.38		77.29		
54.09			36.62	24.69	117.37	34.91	169.25	27.04	44.16	55.2	56.3		31.23	24.69		68.95	231.86		85.52		
58.42			34.91	27.04	24.69	91.05	123.93	34.91	55.2	45.52	160.0		24.69	31.23		24.69	86.23				
69.83			96.25	29.21	59.46	31.23	34.91	27.04	58.42	24.69	24.69			68.06		170.33	50.6				
62.46			24.69	80.38	39.81	29.21	42.76	24.69	45.52	176.31	27.04			29.21		24.69	24.69				
193.77			128.76	104.74	24.69	92.37	27.04	72.4	24.69	65.32	31.23			24.69		38.25	36.62				
66.25			42.76	130.64	87.63	54.09	122.45	106.47		29.21	33.12					162.64	54.09				
116.85			114.21	83.36	68.95	50.6	54.09	59.46		29.21	66.25					27.04	24.69				
175.27				70.7	57.37	34.91	54.09	54.09		24.69	125.4					27.04	36.62				
58.42				45.52	39.81	24.69	69.83	95.62		24.69	148.54					29.21	74.06				
91.05				38.25	168.89	34.91	31.23	24.69		24.69	29.21					27.04	33.12				
149.77				45.52	62.46		57.37	27.04			84.08					72.4	74.06				
62.46				108.18	27.04		80.38	51.79			88.33					27.04	70.7				
128.76				34.91	38.25		42.76	29.21			29.21					64.38					
103.57					38.25		49.38	130.17			27.04					68.95					
69.83							31.23	88.33			36.62					66.25					
163.76								24.69			51.79					34.91					
66.25								128.28			69.83					59.46					
82.62											34.91					24.69					
173.87											81.88					81.13					
144.8											24.69					39.81					
69.83											24.69					74.88					
73.24											52.95					38.25					
157.7																52.95					
54.09																60.47					
85.52																56.3					
85.52																24.69					
122.95																33.12					
160.76																96.88					
98.75																68.95					
93.69																27.04					
58.42																					
176.65																					
79.62																					
96.25																					
93.69																					
82.62																					
130.64																					
110.41																					
91.05																					
196.27																					
118.91																					
110.41																					
112.6																					
62.46																					
79.62																					
54.09																					
96.25																					
73.24																					
62.46																					
154.57																					
73.24																					
62.46																					
124.91																					
69.83																					
122.95																					
62.46																					
180.75																					
130.64																					
165.24																					
101.19																					
