20_Min_00001	20_Min_00002	20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
79.62	35.35	41.31	31.23	36.62	31.23	27.04	27.04	42.76	48.13	24.69	44.16	29.21	38.25	108.74	75.69	168.53	39.81	27.04	705.49	33.12	55.2
132.49	85.34	29.21	29.21	29.21	49.38	27.04	51.79	42.76	29.21	27.04	29.21	27.04	33.12	33.12	39.81	119.93	192.5	398.7	31.23	123.93	24.69
110.41	22.08	31.23	58.42	34.91	39.81	31.23	33.12	24.69	41.31	24.69	232.91	170.33	173.52	24.69	100.59	78.07	24.69	31.23	24.69	117.37	89.01
98.75	26.48	91.71	24.69	24.69	33.12	194.71	29.21	31.23	29.21	29.21	27.04	38.25	41.31	24.69	57.37	33.12	29.21	24.69	31.23	72.4	27.04
98.75	119.43	197.2	64.38	42.76	46.84	31.23	172.11	34.91	24.69	27.04	24.69	27.04	46.84	33.12	33.12	104.74	38.25	24.69	31.23	116.32	24.69
163.76	40.57	271.79	56.3	34.91	65.32	34.91	27.04	54.09	132.03	61.47	24.69	31.23	24.69	27.04	29.21	31.23	152.59	194.08	59.46	61.47	36.62
69.83	26.48	34.91	50.6	27.04	41.31	27.04	36.62	50.6	29.21	39.81	39.81	31.23	41.31	29.21	45.52	33.12	44.16	31.23	34.91	41.31	29.21
54.09	16.56		54.09	74.06	27.04	41.31	48.13	27.04	36.62	41.31	24.69	29.21	60.47	24.69	31.23	56.3	24.69	33.12	68.95	184.42	27.04
96.25	77.88		34.91	27.04	93.03	27.04	24.69	27.04	230.8	34.91	24.69	24.69	29.21	114.74	46.84	24.69	38.25		45.52	31.23	27.04
110.41	21.38		190.6	29.21	33.12	31.23	31.23	29.21	144.38	24.69	27.04	29.21	27.04	70.7	27.04	66.25	91.71		24.69	46.84	49.38
149.77			24.69	52.95	24.69	24.69	195.33	29.21	24.69	44.16	36.62	79.62	31.23	64.38	441.64	66.25	31.23		51.79	24.69	38.25
132.49			57.37	34.91	44.16	27.04	166.35	24.69	24.69	31.23	29.21	31.23	29.21	247.62	33.12	48.13	50.6		24.69	77.29	51.79
110.41			27.04	24.69	42.76	44.16	104.16	33.12	27.04	24.69	24.69	52.95	24.69	50.6	24.69	31.23	96.25		27.04	39.81	79.62
143.11			42.76	36.62	128.76	50.6	36.62	49.38	31.23	24.69	38.25	471.93	34.91	31.23	27.04	31.23	31.23			33.12	29.21
157.7			24.69	27.04	24.69	27.04	31.23	45.52	24.69	36.62	24.69	31.23	29.21	86.23	31.23	46.84	86.23			56.3	24.69
73.24			81.13	29.21	87.63	34.91	51.79	27.04	27.04	24.69	29.21	31.23	42.76	319.04	111.51	31.23	29.21			24.69	31.23
103.57			50.6	34.91	78.85	173.17	39.81	56.3	41.31	24.69	36.62	24.69	24.69	36.62	27.04		24.69			29.21	42.76
118.91			48.13	59.46	31.23	24.69	41.31	237.57	31.23	41.31	29.21		70.7	31.23	41.31		24.69			24.69	27.04
62.46			33.12	24.69	29.21	50.6	27.04	24.69	24.69	29.21	39.81		67.16							27.04	38.25
154.57			24.69	27.04	41.31	58.42	24.69	46.84	27.04	29.21	33.12		74.88							333.98	
66.25			27.04	31.23	48.13	33.12	211.8	27.04	225.46	24.69	31.23		29.21							29.21	
110.41			74.06	46.84	31.23	48.13	24.69	27.04	147.72	52.95	33.12		31.23							24.69	
198.74			29.21	39.81	33.12	49.38	29.21	48.13	24.69	31.23	29.21		24.69							44.16	
136.12			33.12	68.06	27.04	31.23	34.91	38.25	57.37	34.91										39.81	
93.69			34.91	33.12	58.42	24.69	29.21	24.69	34.91											27.04	
91.05			24.69	38.25	34.91	24.69	24.69	198.74	31.23											24.69	
82.62			48.13	39.81	31.23	38.25	29.21	233.17	27.04											24.69	
141.39			33.12	34.91	24.69	34.91	128.28	24.69	45.52											38.25	
69.83			66.25	29.21		31.23	29.21	31.23	29.21												
105.9			49.38	27.04		27.04	29.21	27.04	24.69												
49.38			33.12	73.24		31.23	33.12	27.04	66.25												
82.62			31.23	31.23		303.78		38.25													
49.38			98.13	24.69		31.23		46.84													
58.42			42.76	31.23		135.22		24.69													
175.27			24.69	56.3		36.62															
160.76			34.91	29.21		45.52															
96.25			24.69	27.04		42.76															
126.85			29.21	48.13		33.12															
88.33			52.95	44.16																	
96.25			41.31	31.23																	
101.19			29.21	27.04																	
178.03				27.04																	
149.77																					
173.87																					
101.19																					
124.91																					
73.24																					
204.78																					
110.41																					
