20_Min_00001	20_Min_00002	20_Min_Tg_0000	20_Min_Tg_0001	20_Min_Tg_0002	20_Min_Tg_0003	20_Min_Tg_0004	20_Min_Tg_0005	20_Min_Tg_0006	20_Min_Tg_0007	20_Min_Tg_0008	20_Min_Tg_0009	No_Anneal_0000	No_Anneal_0001	No_Anneal_0002	No_Anneal_0003	No_Anneal_0004	No_Anneal_0005	No_Anneal_0006	No_Anneal_0007	No_Anneal_0008	No_Anneal_0009
6.2343	4.7243	10.7102	2.491	2.0807	2.602	2.4944	3.8944	2.9091	2.9231	8.5371	4.2377	2.2977	2.0296	2.1973	2.3853	2.6937	2.0922	2.216	4.014	1.9586	2.4188
9.3265	8.2101	8.4742	1.996	5.9211	8.6146	6.6725	8.6767	2.6598	2.5032	9.3159	2.2752	2.288	1.9906	1.9479	2.1733	2.2019	2.5701	5.2776	2.3376	2.4969	2.0124
6.2193	4.8216	7.5169	2.3049	3.7203	8.5079	8.6752	8.8208	2.2972	3.5172	2.2809	4.8183	2.7028	2.4465	1.913	2.4208	2.3173	1.9794	2.3579	2.176	2.5305	2.3471
6.2752	4.6094	5.6017	1.996	2.3939	7.1044	6.363	2.1842	8.3132	8.9898	2.483	8.5653	2.4611	2.1029	1.9783	2.2632	1.8414	1.9373	2.3409	2.4584	2.4418	2.1325
6.8142	7.1462	13.9297	4.8147	3.1467	3.7665	2.5637	3.8463	2.7028	4.2277	2.2781	2.1891	2.3711	1.9523	1.934	2.0689	2.3197	2.1283	2.2814	2.2787	2.2101	2.0015
7.868	5.0867	52.1441	7.918	2.951	3.688	2.5444	2.3455	3.843	3.661	2.8786	2.1615	2.3092	1.9283	2.1974	2.042	1.9059	2.384	2.8764	2.5051	2.1844	1.9892
5.1147	4.4558	4.7543	10.1617	4.2948	8.0489	2.2478	9.2299	2.7458	3.3154	3.2452	2.4587	2.2919	2.1567	1.8917	2.1999	2.0525	2.2229	2.2879	2.3916	2.2164	2.0413
4.685	4.0636		2.3004	8.4325	2.9096	4.3415	4.224	2.4447	9.8808	8.4382	2.3951	2.3626	1.927	1.9599	2.1527	1.9562	2.1078	2.3871	2.5265	2.5425	2.0998
5.2317	5.4186		2.3977	2.1243	9.1208	7.4006	2.3824	2.4977	4.7548	2.7976	2.4066	2.261	1.9467	2.3752	2.1877	1.8279	2.2547		2.4017	2.1541	2.065
5.7933	4.5882		4.809	2.9064	3.2004	3.6175	6.9167	2.465	3.9778	7.7655	2.247	2.3618	1.8802	2.2247	2.251	2.1451	2.242		2.3377	2.1963	2.2131
9.1297			2.0722	8.5359	2.0942	2.6109	5.4328	4.5001	2.3785	2.3438	2.4406	2.7458	1.9952	2.2076	3.3527	2.2663	2.1286		2.4614	2.0145	2.0183
8.4303			2.6904	7.7962	9.0186	2.6123	5.4112	3.454	2.4126	3.3032	4.1995	2.4746	1.9162	2.8255	2.0523	2.0853	2.1084		2.2696	2.2239	2.1751
5.1228			2.239	2.0865	2.1972	4.7326	3.1703	2.7339	2.5769	2.2715	2.887	2.559	1.929	2.0564	2.1098	1.861	2.2417		2.4414	2.045	2.3909
13.1483			2.3654	6.3187	3.0458	4.3963	2.5509	8.8586	9.9412	2.4658	10.3451	4.2935	1.9845	1.9581	2.0696	1.8612	2.0165			2.0715	2.1784
6.4523			1.95	2.1108	1.9949	2.5798	3.6021	9.238	3.0167	2.5908	2.4155	2.5257	1.8696	2.4039	2.1311	1.9776	2.4453			2.0613	2.0465
5.1877			2.5569	2.4069	9.6085	9.3902	10.9287	3.5028	8.5923	2.2606	2.3006	2.4024	2.137	3.0119	2.3111	2.0395	1.9527			2.0866	2.0601
8.6732			2.3374	2.2956	5.3161	4.5048	9.475	2.6409	9.3884	6.7953	10.7936	2.2778	1.8614	2.0709	2.1815		2.0308			2.0373	2.2702
7.6108			2.3621	2.1679	2.5644	3.0411	3.6247	5.5089	2.9889	3.4528	2.5204		2.2377	2.1895	2.2281		2.0021			1.9427	2.1336
4.6154			6.3127	2.138	3.193	4.0571	6.8331	2.5732	5.7707	2.5907	4.0266		2.053							2.1017	2.1666
7.6538			2.1404	2.1022	8.353	7.7733	3.6392	3.445	6.59	6.4172	8.2167		2.2329							3.2574	
4.9196			7.1641	2.1358	8.4468	9.0911	5.0404	2.5738	5.3121	2.4764	9.2039		1.9611							2.0859	
6.1599			4.9681	9.1194	2.3213	10.9592	2.4287	2.5161	4.199	2.5058	2.3282		1.8667							2.0398	
14.7012			5.3571	3.5184	4.1279	4.8632	2.5494	4.859	5.3955	2.1875	2.6061		1.9334							2.142	
6.948			5.1508	5.3372	2.0439	2.6939	2.4581	9.7755	5.0292	2.4518										2.1279	
4.8993			2.2633	6.2364	4.447	2.3397	2.3925	2.428	3.7028											2.192	
6.1556			2.4376	3.0994	7.1672	2.4377	2.2129	4.6972	3.1455											1.9702	
5.9047			3.5266	2.4301	2.3511	4.3316	3.2502	4.646	5.6699											1.9871	
6.8441			6.022	7.3926	2.2243	3.178	4.8342	2.4905	9.5179											2.053	
4.8715			9.0062	2.0745		8.1085	2.3003	7.5258	8.2987												
4.7652			3.4417	2.1568		8.0725	8.21	2.8326	6.0766												
4.8139			4.3169	2.7668		8.0683	2.8199	8.6413	3.0127												
5.7255			2.2639	2.1966		6.5813		9.5239													
4.401			2.616	1.9565		2.8678		11.4319													
15.2651			2.2603	6.8472		3.697		3.0846													
6.8212			1.9514	5.0348		2.7387															
12.177			6.9538	2.3083		4.5476															
6.4843			2.6648	2.2037		2.7498															
6.4751			2.006	9.9884		2.4647															
6.7155			2.4649	2.4698																	
6.0775			6.2346	6.6554																	
6.8277			2.1777	2.8116																	
10.4906				2.1586																	
6.2236																					
10.8696																					
6.3396																					
7.6353																					
7.9656																					
14.7335																					
17.7785																					
