feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
3,32,3063.71,62.46,606.04,544.89,-3.5507,3.5216
4,7,670.19,29.21,1290.19,560.53,-2.8171,2.788
5,5,478.71,24.69,1256.36,571.43,-2.0755,2.0464
9,12,1148.89,38.25,2301.04,761.58,-2.4621,2.433
11,11,1053.15,36.62,3494.04,835.26,-2.7407,2.7116
13,34,3255.2,64.38,3921.38,1004.66,-2.5037,2.4746
17,29,2776.49,59.46,2713.75,1087.46,-3.2432,3.2141
19,53,5074.28,80.38,4160.17,1167.15,-2.4858,2.4567
20,27,2585.01,57.37,725.88,1132.13,-3.1793,3.1502
21,100,9574.11,110.41,3978.18,1198.92,-4.2871,4.258
25,5,478.71,24.69,2285.71,1328.77,-2.6851,2.656
26,7,670.19,29.21,546.55,1492.87,-2.1945,2.1654
27,24,2297.79,54.09,1412.26,1556.59,-2.7474,2.7182
29,57,5457.24,83.36,3996.64,1700.66,-3.9195,3.8904
33,54,5170.02,81.13,568.96,1836.09,-4.4086,4.3795
35,55,5265.76,81.88,3208.86,1862.12,-3.8827,3.8536
37,20,1914.82,49.38,2682.0,1858.61,-3.0409,3.0117
39,8,765.93,31.23,1472.6,1956.95,-2.538,2.5089
41,7,670.19,29.21,1494.27,1980.71,-2.1429,2.1138
43,33,3159.45,63.43,2773.23,2102.83,-3.019,2.9899
44,6,574.45,27.04,631.12,2177.1,-2.7695,2.7404
45,5,478.71,24.69,659.49,2174.17,-2.4134,2.3843
46,40,3829.64,69.83,3567.27,2283.76,-3.2005,3.1714
47,36,3446.68,66.25,2075.18,2438.85,-3.1383,3.1092
52,20,1914.82,49.38,3725.05,2927.59,-2.9525,2.9234
53,12,1148.89,38.25,314.74,2959.07,-2.5284,2.4993
55,90,8616.69,104.74,1022.29,3024.24,-3.4845,3.4554
58,6,574.45,27.04,2749.51,3227.33,-2.6027,2.5736
60,8,765.93,31.23,826.81,3292.56,-2.6528,2.6237
61,8,765.93,31.23,856.16,3292.56,-3.1174,3.0883
62,6,574.45,27.04,4593.93,3312.13,-2.3096,2.2805
63,12,1148.89,38.25,4633.89,3323.55,-3.8935,3.8644
64,23,2202.04,52.95,2190.5,3353.19,-2.6327,2.6036
72,49,4691.31,77.29,1717.12,3627.54,-2.2465,2.2174
73,60,5744.46,85.52,1810.5,3624.92,-2.4038,2.3747
77,68,6510.39,91.05,1586.42,3707.98,-4.089,4.0599
78,39,3733.9,68.95,1796.38,3748.31,-2.3095,2.2803
79,6,574.45,27.04,1725.38,3711.68,-2.0373,2.0082
81,7,670.19,29.21,1656.42,3729.38,-2.1383,2.1091
83,9,861.67,33.12,3412.7,3772.56,-2.4085,2.3793
88,6,574.45,27.04,1756.36,3816.05,-2.0998,2.0706
91,67,6414.65,90.37,1947.31,3957.27,-3.4477,3.4185
92,6,574.45,27.04,2997.39,4274.3,-2.2945,2.2654
98,5,478.71,24.69,4641.88,4522.5,-2.083,2.0538
101,9,861.67,33.12,1365.51,4546.64,-2.4706,2.4415
105,6,574.45,27.04,4592.3,4603.72,-2.1564,2.1273
106,9,861.67,33.12,4618.4,4632.53,-2.1579,2.1288
107,17,1627.6,45.52,4148.15,4647.17,-2.8121,2.783
