feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,height_nm
5,47,4499.83,75.69,1804.97,1815.17,2.3562,2.3853
10,13,1244.63,39.81,1671.68,2303.93,2.1442,2.1733
11,83,7946.51,100.59,1532.08,2434.16,2.3917,2.4208
13,27,2585.01,57.37,1631.51,2417.92,2.234,2.2632
17,9,861.67,33.12,1453.58,2571.21,2.0398,2.0689
20,7,670.19,29.21,3324.01,2894.88,2.0129,2.042
22,17,1627.6,45.52,3355.59,2966.5,2.1708,2.1999
23,8,765.93,31.23,3232.63,2996.58,2.1235,2.1527
25,18,1723.34,46.84,3292.02,3019.68,2.1586,2.1877
26,6,574.45,27.04,3331.7,3082.19,2.2219,2.251
28,1600,153185.69,441.64,555.27,4083.13,3.3235,3.3527
29,9,861.67,33.12,315.29,3805.18,2.0232,2.0523
31,5,478.71,24.69,497.06,3802.35,2.0807,2.1098
34,6,574.45,27.04,609.92,3892.69,2.0405,2.0696
40,8,765.93,31.23,313.11,3994.62,2.1019,2.1311
42,102,9765.59,111.51,3971.07,4140.67,2.2819,2.3111
44,6,574.45,27.04,311.48,4106.33,2.1523,2.1815
54,14,1340.37,41.31,4018.73,4381.46,2.199,2.2281
