x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-1.479527e-01	-5.613872e-02	-9.181394e-02	9.181394e-02	2.022114e-01
2.006745e+01	6.067329e-02	-3.976294e-02	1.004362e-01	-1.004362e-01	2.022114e-01
4.013490e+01	-1.404918e-01	-2.338717e-02	-1.171046e-01	1.171046e-01	2.022114e-01
6.020235e+01	9.185205e-02	-7.011403e-03	9.886345e-02	-9.886345e-02	2.022114e-01
8.026980e+01	-5.104344e-01	9.364368e-03	-5.197987e-01	5.197987e-01	2.022114e-01
1.003372e+02	-9.853170e-01	2.574014e-02	-1.011057e+00	1.011057e+00	2.022114e-01
1.204047e+02	2.867915e-01	4.211591e-02	2.446756e-01	-2.446756e-01	2.022114e-01
1.404721e+02	7.993755e-02	5.849168e-02	2.144587e-02	-2.144587e-02	2.022114e-01
1.605396e+02	1.171759e-04	7.486745e-02	-7.475028e-02	7.475028e-02	2.022114e-01
1.806070e+02	-8.764865e-02	9.124322e-02	-1.788919e-01	1.788919e-01	2.022114e-01
2.006745e+02	7.508899e-02	1.076190e-01	-3.253001e-02	3.253001e-02	2.022114e-01
2.207419e+02	-3.013685e-02	1.239948e-01	-1.541316e-01	1.541316e-01	2.022114e-01
2.408094e+02	1.287169e-01	1.403705e-01	-1.165359e-02	1.165359e-02	2.022114e-01
2.608768e+02	1.597776e-01	1.567463e-01	3.031297e-03	-3.031297e-03	2.022114e-01
