filename,profile,n_points,feature_type,width_nm,height_nm,width_at_05pct_nm,width_at_10pct_nm,width_at_20pct_nm
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,1,12,hole,58.082,1.362,80.072,68.982,58.082
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,2,11,hole,125.611,1.112,144.048,137.902,125.611
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,3,12,hole,46.73,1.237,137.663,51.041,46.73
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,4,11,hole,78.954,0.858,107.658,83.776,78.954
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,5,15,hole,102.265,1.423,146.24,117.065,102.265
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,6,14,hole,43.295,1.011,201.335,189.551,43.295
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,7,13,hole,89.642,1.045,122.504,110.848,89.642
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,8,9,protrusion,69.125,0.56,100.39,86.701,69.125
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,9,13,protrusion,119.268,0.812,140.932,131.015,119.268
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,10,11,protrusion,120.605,0.592,143.47,135.849,120.605
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,11,8,protrusion,79.83,0.622,88.434,85.566,79.83
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,12,10,protrusion,129.301,0.459,144.284,139.29,129.301
Si.ito.2pacz.pmma.12hr_anneal+tganneal.txt,13,8,protrusion,79.813,0.449,89.545,86.301,79.813
