x_nm	y_raw_nm	baseline_nm	y_corrected_nm	signal_nm	threshold_nm
0.000000e+00	-2.477788e-01	-3.279498e-01	8.017102e-02	8.017102e-02	6.834452e-02
1.840064e+01	-3.752948e-01	-2.752683e-01	-1.000265e-01	-1.000265e-01	6.834452e-02
3.680128e+01	-2.135981e-01	-2.225867e-01	8.988607e-03	8.988607e-03	6.834452e-02
5.520191e+01	-6.283633e-02	-1.699052e-01	1.070688e-01	1.070688e-01	6.834452e-02
7.360255e+01	-1.630453e-01	-1.172236e-01	-4.582161e-02	-4.582161e-02	6.834452e-02
9.200319e+01	-2.277666e-01	-6.454210e-02	-1.632246e-01	-1.632246e-01	6.834452e-02
1.104038e+02	-2.934455e-01	-1.186055e-02	-2.815850e-01	-2.815850e-01	6.834452e-02
1.288045e+02	3.154533e-01	4.082100e-02	2.746323e-01	2.746323e-01	6.834452e-02
1.472051e+02	4.352251e-01	9.350251e-02	3.417226e-01	3.417226e-01	6.834452e-02
1.656057e+02	2.447125e-01	1.461841e-01	9.852842e-02	9.852842e-02	6.834452e-02
1.840064e+02	1.201927e-01	1.988656e-01	-7.867293e-02	-7.867293e-02	6.834452e-02
