profile	feature_type	width_nm	height_nm
1	hole	88.181	1.947
2	hole	61.092	2.29
3	hole	55.499	1.419
4	protrusion	64.419	6.433
5	protrusion	124.931	1.823
6	protrusion	129.026	1.821
7	protrusion	120.803	0.342
8	hole	57.123	0.708
9	hole	63.715	1.421
10	hole	56.06	1.782
11	hole	51.503	0.978
12	protrusion	193.926	16.679
13	hole	44.558	1.304
14	hole	64.646	1.578
15	hole	98.573	1.244
16	hole	41.134	1.061
17	hole	89.735	1.11
18	hole	44.43	1.467
19	hole	39.727	1.677
20	hole	41.799	2.482
21	hole	56.008	1.167
22	hole	51.865	1.765
23	hole	54.021	0.922
24	hole	63.27	2.588
25	hole	59.732	1.067
26	hole	74.302	1.993
27	hole	61.607	1.372
28	hole	32.833	1.16
29	hole	95.699	1.874
30	hole	57.957	1.705
31	hole	54.395	1.776
32	hole	64.854	1.912
33	hole	49.38	1.286
34	hole	34.162	0.771
35	hole	88.244	0.903
36	hole	60.866	1.839
37	hole	72.489	1.637
