filename,profile,n_points,feature_type,width_nm,height_nm,width_at_05pct_nm,width_at_10pct_nm,width_at_20pct_nm
Si.ito.2pacz.pmma.12hr_anneal.txt,1,11,hole,88.181,1.947,134.324,115.773,88.181
Si.ito.2pacz.pmma.12hr_anneal.txt,2,10,hole,61.092,2.29,85.846,72.632,61.092
Si.ito.2pacz.pmma.12hr_anneal.txt,3,11,hole,55.499,1.419,136.737,60.02,55.499
Si.ito.2pacz.pmma.12hr_anneal.txt,4,11,protrusion,64.419,6.433,86.865,74.731,64.419
Si.ito.2pacz.pmma.12hr_anneal.txt,5,15,protrusion,124.931,1.823,178.583,144.347,124.931
Si.ito.2pacz.pmma.12hr_anneal.txt,6,16,protrusion,129.026,1.821,180.116,168.403,129.026
Si.ito.2pacz.pmma.12hr_anneal.txt,7,11,protrusion,120.803,0.342,135.742,130.763,120.803
Si.ito.2pacz.pmma.12hr_anneal.txt,8,11,hole,57.123,0.708,72.456,66.247,57.123
Si.ito.2pacz.pmma.12hr_anneal.txt,9,9,hole,63.715,1.421,96.331,70.995,63.715
Si.ito.2pacz.pmma.12hr_anneal.txt,10,9,hole,56.06,1.782,115.908,108.625,56.06
Si.ito.2pacz.pmma.12hr_anneal.txt,11,9,hole,51.503,0.978,66.44,61.283,51.503
Si.ito.2pacz.pmma.12hr_anneal.txt,12,25,protrusion,193.926,16.679,265.064,225.036,193.926
Si.ito.2pacz.pmma.12hr_anneal.txt,13,10,hole,44.558,1.304,85.501,51.003,44.558
Si.ito.2pacz.pmma.12hr_anneal.txt,14,10,hole,64.646,1.578,104.655,94.716,64.646
Si.ito.2pacz.pmma.12hr_anneal.txt,15,10,hole,98.573,1.244,115.619,108.612,98.573
Si.ito.2pacz.pmma.12hr_anneal.txt,16,8,hole,41.134,1.061,68.766,63.193,41.134
Si.ito.2pacz.pmma.12hr_anneal.txt,17,11,hole,89.735,1.11,130.392,111.218,89.735
Si.ito.2pacz.pmma.12hr_anneal.txt,18,11,hole,44.43,1.467,131.072,51.039,44.43
Si.ito.2pacz.pmma.12hr_anneal.txt,19,12,hole,39.727,1.677,47.83,45.129,39.727
Si.ito.2pacz.pmma.12hr_anneal.txt,20,11,hole,41.799,2.482,52.378,48.852,41.799
Si.ito.2pacz.pmma.12hr_anneal.txt,21,11,hole,56.008,1.167,93.148,84.88,56.008
Si.ito.2pacz.pmma.12hr_anneal.txt,22,11,hole,51.865,1.765,70.408,60.113,51.865
Si.ito.2pacz.pmma.12hr_anneal.txt,23,10,hole,54.021,0.922,81.847,76.801,54.021
Si.ito.2pacz.pmma.12hr_anneal.txt,24,10,hole,63.27,2.588,79.703,71.151,63.27
Si.ito.2pacz.pmma.12hr_anneal.txt,25,9,hole,59.732,1.067,73.811,69.118,59.732
Si.ito.2pacz.pmma.12hr_anneal.txt,26,10,hole,74.302,1.993,124.432,117.508,74.302
Si.ito.2pacz.pmma.12hr_anneal.txt,27,9,hole,61.607,1.372,116.044,91.786,61.607
Si.ito.2pacz.pmma.12hr_anneal.txt,28,6,hole,32.833,1.16,40.283,36.937,32.833
Si.ito.2pacz.pmma.12hr_anneal.txt,29,15,hole,95.699,1.874,139.495,112.264,95.699
Si.ito.2pacz.pmma.12hr_anneal.txt,30,9,hole,57.957,1.705,71.271,66.833,57.957
Si.ito.2pacz.pmma.12hr_anneal.txt,31,12,hole,54.395,1.776,67.258,62.971,54.395
Si.ito.2pacz.pmma.12hr_anneal.txt,32,12,hole,64.854,1.912,140.206,82.535,64.854
Si.ito.2pacz.pmma.12hr_anneal.txt,33,12,hole,49.38,1.286,131.681,116.726,49.38
Si.ito.2pacz.pmma.12hr_anneal.txt,34,8,hole,34.162,0.771,86.573,38.432,34.162
Si.ito.2pacz.pmma.12hr_anneal.txt,35,9,hole,88.244,0.903,123.914,118.638,88.244
Si.ito.2pacz.pmma.12hr_anneal.txt,36,13,hole,60.866,1.839,122.051,81.946,60.866
Si.ito.2pacz.pmma.12hr_anneal.txt,37,13,hole,72.489,1.637,144.526,132.398,72.489
