Profile 1             Profile 2             Profile 3             Profile 4             Profile 5             Profile 6             Profile 7             Profile 8             Profile 9             Profile 10             Profile 11             Profile 12             Profile 13             
x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           
[m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         
0  -3.9977605e-10            0  6.4958954e-10            0  -2.0402813e-11            0  1.4668884e-10            0  -8.264574e-11            0  -1.4795266e-10            0  -1.5790018e-10            0  2.8363571e-10            0  2.5747191e-10            0  4.6388139e-10            0  1.7518079e-10            0  5.3360454e-10            0  6.4863064e-10            
1.7625793e-08  -3.4563756e-10            1.9068937e-08  6.2261574e-10            2.0076278e-08  -1.2525181e-10            1.8346613e-08  2.1530563e-10            2.0583818e-08  1.0509666e-10            2.0067449e-08  6.0673294e-11            1.8951362e-08  7.3998124e-12            1.9297076e-08  3.2991931e-10            1.7766433e-08  2.854335e-10            1.8939655e-08  5.245978e-10            1.7053424e-08  1.7909003e-10            1.9704168e-08  5.7800734e-10            1.9585213e-08  5.8943775e-10            
3.5251585e-08  -2.8713951e-10            3.8137874e-08  1.6287935e-10            4.0152556e-08  1.6074438e-10            3.6693227e-08  4.6931596e-10            4.1167637e-08  3.5135356e-10            4.0134897e-08  -1.4049179e-10            3.7902724e-08  1.1106116e-10            3.8594152e-08  4.4322913e-10            3.5532866e-08  3.3386364e-10            3.7879309e-08  6.5871159e-10            3.4106848e-08  5.7698822e-10            3.9408336e-08  7.5084158e-10            3.9170427e-08  7.7644273e-10            
5.2877378e-08  -1.6199257e-10            5.7206811e-08  -5.6831509e-10            6.0228834e-08  2.7774503e-10            5.503984e-08  3.8834402e-10            6.1751455e-08  2.5840595e-10            6.0202346e-08  9.1852051e-11            5.6854087e-08  1.0423556e-10            5.7891228e-08  5.7421801e-10            5.3299299e-08  5.7079177e-10            5.6818964e-08  7.7090074e-10            5.1160271e-08  9.1172265e-10            5.9112504e-08  8.9979438e-10            5.875564e-08  9.1059865e-10            
7.0503171e-08  -1.1214989e-11            7.6275748e-08  -5.3264365e-10            8.0305112e-08  2.0902292e-10            7.3386454e-08  -5.6663267e-10            8.2335274e-08  1.897718e-10            8.0269795e-08  -5.1043438e-10            7.5805449e-08  -7.1463708e-11            7.7188304e-08  7.4995085e-10            7.1065733e-08  7.2838739e-10            7.5758619e-08  9.2352069e-10            6.8213695e-08  1.1090288e-09            7.8816672e-08  9.5787036e-10            7.8340853e-08  8.9415153e-10            
8.8128964e-08  -2.0749044e-10            9.5344685e-08  1.7031703e-10            1.0038139e-07  2.1842032e-10            9.1733067e-08  -6.9534334e-10            1.0291909e-07  1.5327806e-10            1.0033724e-07  -9.8531698e-10            9.4756811e-08  -3.6880411e-10            9.648538e-08  1.2015883e-09            8.8832166e-08  9.7230982e-10            9.4698273e-08  1.1022289e-09            8.5267119e-08  1.194235e-09            9.852084e-08  1.0259852e-09            9.7926067e-08  1.073075e-09            
1.0575476e-07  -1.45815e-09            1.1441362e-07  2.0712098e-10            1.2045767e-07  -1.2119779e-09            1.1007968e-07  6.6676959e-11            1.2350291e-07  2.0442953e-10            1.2040469e-07  2.8679154e-10            1.1370817e-07  -1.2826224e-09            1.1578246e-07  1.2400047e-09            1.065986e-07  1.1279065e-09            1.1363793e-07  1.0945706e-09            1.0232054e-07  9.0108812e-10            1.1822501e-07  1.116451e-09            1.1751128e-07  5.7020116e-10            
1.2338055e-07  -1.1171382e-09            1.3348256e-07  2.593741e-10            1.4053395e-07  -8.2109838e-10            1.2842629e-07  -3.697384e-10            1.4408673e-07  -1.3092245e-09            1.4047214e-07  7.9937546e-11            1.3265954e-07  -6.2954818e-10            1.3507953e-07  8.5541491e-10            1.2436503e-07  1.1434311e-09            1.3257758e-07  1.2096863e-09            1.1937397e-07  5.3623868e-10            1.3792918e-07  1.0450009e-09            1.3709649e-07  6.7788165e-10            
1.4100634e-07  -3.8932324e-10            1.525515e-07  9.8120522e-11            1.6061022e-07  1.5363629e-10            1.4677291e-07  1.241538e-10            1.6467055e-07  -6.6991383e-10            1.6053959e-07  1.1717588e-13            1.516109e-07  -5.2471362e-10            1.5437661e-07  8.0409931e-10            1.4213147e-07  7.7966329e-10            1.5151724e-07  7.9451952e-10            -          -              1.5763334e-07  8.0674334e-10            -          -              
